Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Mary Poppins,1964,2h 19m,G,7.8,190K,,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",https://www.imdb.com/title/tt0058331/?ref_=sr_i_1
2. My Fair Lady,1964,2h 50m,G,7.7,104K,,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society.",https://www.imdb.com/title/tt0058385/?ref_=sr_i_2
3. Goldfinger,1964,1h 50m,Approved,7.7,207K,,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",https://www.imdb.com/title/tt0058150/?ref_=sr_i_3
4. The Carpetbaggers,1964,2h 30m,PG,6.5,2.6K,,"Jonas Cord is a disagreeable young tycoon who's building planes, directing films, and catting around on the corporate make in 1930s Hollywood.",https://www.imdb.com/title/tt0057917/?ref_=sr_i_4
5. A Fistful of Dollars,1964,1h 39m,R,7.9,239K,,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",https://www.imdb.com/title/tt0058461/?ref_=sr_i_5
6. A Hard Day's Night,1964,1h 27m,G,7.5,49K,,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live TV performance.",https://www.imdb.com/title/tt0058182/?ref_=sr_i_6
7. What a Way to Go!,1964,1h 51m,Approved,6.9,6.1K,,"Four-time widow Louisa May Foster sees a psychologist to discuss her marriages, in which her husbands (humble businessman Edgar, blase millionaire Rod, bohemian painter Larry, and nightclub singer Pinky) got rich and died due to greed.",https://www.imdb.com/title/tt0058743/?ref_=sr_i_7
8. The Unsinkable Molly Brown,1964,2h 8m,Approved,6.6,4.4K,,"A poor, uneducated mountain girl leaves her cabin in search of respect, a wealthy husband, and a better life in this fictionalized biopic of Margaret ""Molly"" Brown, who survived the 1912 sinking of the RMS Titanic.",https://www.imdb.com/title/tt0058708/?ref_=sr_i_8
9. Father Goose,1964,1h 58m,Approved,7.3,13K,,"During World War II, a man persuaded to live on an isolated island and spot aircraft finds himself responsible for a teacher and several students, all female.",https://www.imdb.com/title/tt0058092/?ref_=sr_i_9
10. A Shot in the Dark,1964,1h 42m,Approved,7.3,32K,,Bumbling Inspector Jacques Clouseau falls in love with murder suspect Maria Gambrelli and tries to clear her name.,https://www.imdb.com/title/tt0058586/?ref_=sr_i_10
11. Robin and the 7 Hoods,1964,2h 3m,Approved,6.4,5.8K,,"In Prohibition-era Chicago, two rival gangs compete for control of the city's rackets.",https://www.imdb.com/title/tt0058529/?ref_=sr_i_11
12. The Night of the Iguana,1964,2h 5m,Approved,7.6,13K,,An ostracized Episcopal clergyman leads a busload of middle-aged Baptist women on a tour of the Mexican coast and comes to terms with the failure haunting his life.,https://www.imdb.com/title/tt0058404/?ref_=sr_i_12
13. Sex and the Single Girl,1964,1h 50m,Not Rated,6.4,4.9K,,A womanizing reporter for a sleazy tabloid magazine impersonates his hen-pecked neighbor in order to get an expose on renowned psychologist Helen Gurley Brown.,https://www.imdb.com/title/tt0058580/?ref_=sr_i_13
14. Send Me No Flowers,1964,1h 40m,Approved,6.9,7.6K,,"When a hypochondriac believes he is dying, he makes plans for his wife--which she discovers and misunderstands.",https://www.imdb.com/title/tt0058571/?ref_=sr_i_14
15. Seven Days in May,1964,1h 58m,Approved,7.8,18K,,United States military leaders plot to overthrow the President because he supports a nuclear disarmament treaty and they fear a Soviet sneak attack.,https://www.imdb.com/title/tt0058576/?ref_=sr_i_15
"16. Hush...Hush, Sweet Charlotte",1964,2h 13m,Approved,7.5,16K,,"An aging, reclusive Southern belle plagued by a horrifying family secret descends into madness after the arrival of a lost relative.",https://www.imdb.com/title/tt0058213/?ref_=sr_i_16
17. The Train,1964,2h 13m,Approved,7.8,20K,,"In 1944, a German colonel loads a train with French art treasures to send to Germany. The Resistance must stop it without damaging the cargo.",https://www.imdb.com/title/tt0059825/?ref_=sr_i_17
18. Roustabout,1964,1h 41m,PG,6.0,3.4K,,"After a singer loses his job at a coffee shop, he finds employment at a struggling carnival, but his attempted romance with a teenager leads to friction with her father.",https://www.imdb.com/title/tt0058534/?ref_=sr_i_18
19. Marnie,1964,2h 10m,PG,7.1,55K,,"Mark marries Marnie although she is a habitual thief and has serious psychological problems, and tries to help her confront and resolve them.",https://www.imdb.com/title/tt0058329/?ref_=sr_i_19
20. Bedtime Story,1964,1h 39m,Not Rated,6.7,2.5K,,"Two scam artists preying on women for their money clash in a Mediterranean hot spot. Will the cultured, high-class con artist come out on top, or will the rough small-change scammer rise to win the wager?",https://www.imdb.com/title/tt0057878/?ref_=sr_i_20
21. Viva Las Vegas,1964,1h 25m,Approved,6.4,9.5K,,A race-car driver preparing for the Grand Prix wiles his time in Las Vegas working as a waiter to pay for his new engine and soon strikes up a romance with a beautiful young woman.,https://www.imdb.com/title/tt0058725/?ref_=sr_i_21
"22. Kiss Me, Stupid",1964,2h 5m,PG-13,6.9,8.8K,,"Jealous piano teacher Orville Spooner sends his beautiful wife, Zelda, away for the night while he tries to sell a song to famous nightclub singer Dino, who is stranded in town.",https://www.imdb.com/title/tt0058265/?ref_=sr_i_22
"23. Hey There, It's Yogi Bear",1964,1h 29m,G,6.5,1.2K,,"In the end, Ranger Smith on the helicopter take Yogi, Boo Boo and Cindy home from the tallest building.",https://www.imdb.com/title/tt0154587/?ref_=sr_i_23
24. The Fall of the Roman Empire,1964,3h 8m,Approved,6.7,11K,,"The death of Marcus Aurelius leads to a succession crisis, in which the deceased emperor's son, Commodus, demonstrates that he is unwilling to let anything undermine his claim to the Roman Empire.",https://www.imdb.com/title/tt0058085/?ref_=sr_i_24
25. The Outrage,1964,1h 36m,Approved,6.2,2.6K,,Travelers in the 1870s Southwest discuss a recent murder trial in which all the principals told differing stories about the events.,https://www.imdb.com/title/tt0058437/?ref_=sr_i_25
26. Of Human Bondage,1964,1h 40m,Approved,6.5,1.1K,,A medical student becomes obsessed with his faithless lover.,https://www.imdb.com/title/tt0058425/?ref_=sr_i_26
27. The Moon-Spinners,1964,1h 58m,PG,6.5,3.1K,,"A teenager encounters romance, intrigue and a search for stolen jewels during her visit to the island of Crete.",https://www.imdb.com/title/tt0058371/?ref_=sr_i_27
28. Behold a Pale Horse,1964,1h 58m,Approved,6.7,2.3K,,"Famous Spanish bandit Artiguez returns to his native Spanish village after 20 years in French exile, but Spanish cop Vinolas sets a trap for him.",https://www.imdb.com/title/tt0057879/?ref_=sr_i_28
29. The New Interns,1964,2h 3m,,6.1,231,,"Sequel to the 1962 film 'The Interns', this medical melodrama details the work of interns, nurses and doctors at a major American hospital.",https://www.imdb.com/title/tt0058398/?ref_=sr_i_29
30. Lady in a Cage,1964,1h 34m,Approved,6.7,3.9K,,A woman trapped in a home elevator is terrorized by a group of vicious hoodlums.,https://www.imdb.com/title/tt0058283/?ref_=sr_i_30
31. First Men in the Moon,1964,1h 43m,Approved,6.5,6.6K,,"When a spaceship lands on the moon, it is hailed as a new accomplishment, before it becomes clear that a Victorian party completed the journey in 1899, leading investigators to that mission's last survivor.",https://www.imdb.com/title/tt0058100/?ref_=sr_i_31
32. Children of the Damned,1964,1h 29m,Approved,6.2,5.1K,,"Six impossibly intelligent children from all over the world with dangerous psychic powers hide in a church in England after the military tries to experiment on them. Besieged, they warn the military to back off before carnage ensues.",https://www.imdb.com/title/tt0056931/?ref_=sr_i_32
33. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3,531K,,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",https://www.imdb.com/title/tt0057012/?ref_=sr_i_33
34. Charulata,1964,1h 57m,Not Rated,8.1,7.4K,,"The lonely wife of a newspaper editor falls in love with her visiting cousin-in-law, who shares her love for literature.",https://www.imdb.com/title/tt0057935/?ref_=sr_i_34
35. Band of Outsiders,1964,1h 35m,Not Rated,7.6,28K,,Two crooks with a fondness for old Hollywood B-movies convince a languages student to help them commit a robbery.,https://www.imdb.com/title/tt0057869/?ref_=sr_i_35
36. That Man from Rio,1964,1h 52m,Not Rated,7.0,6.5K,,A young private on military leave comes to the rescue of his girlfriend who's been abducted by thieves and brought to Rio de Janeiro. An extravagant adventure ensues.,https://www.imdb.com/title/tt0058203/?ref_=sr_i_36
37. The Umbrellas of Cherbourg,1964,1h 31m,Not Rated,7.8,32K,,A young woman separated from her lover by war faces a life-altering decision.,https://www.imdb.com/title/tt0058450/?ref_=sr_i_37
38. Diary of a Chambermaid,1964,1h 37m,Not Rated,7.4,10K,,"A sophisticated and self-assured woman from Paris joins a middle-class rural estate as a maid and causes quite a stir among the variously uptight, perverse and violent inhabitants.",https://www.imdb.com/title/tt0058249/?ref_=sr_i_38
39. Nothing But a Man,1964,1h 35m,Not Rated,7.9,2.1K,,A black man and his school-teacher wife face discriminatory challenges in 1960s America.,https://www.imdb.com/title/tt0058414/?ref_=sr_i_39
40. Looking for Love,1964,1h 25m,Approved,5.7,448,,"Girl quits singing dream to pursue husband. Works at brokerage hoping to marry coworker. Coworker uses her idea to develop product. She gets singing opportunity, must choose between career and marriage.",https://www.imdb.com/title/tt0059398/?ref_=sr_i_40
41. Santa Claus Conquers the Martians,1964,1h 21m,Not Rated,2.7,13K,,The Martians kidnap Santa Claus because there is nobody on Mars to give their children presents.,https://www.imdb.com/title/tt0058548/?ref_=sr_i_41
42. Fail Safe,1964,1h 52m,Approved,8.0,25K,,A technical malfunction sends American planes to Moscow to deliver a nuclear attack. Can all-out war be averted?,https://www.imdb.com/title/tt0058083/?ref_=sr_i_42
43. Zulu,1964,2h 18m,Approved,7.7,44K,,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,https://www.imdb.com/title/tt0058777/?ref_=sr_i_43
44. Onibaba,1964,1h 43m,Not Rated,7.9,23K,,"Two women kill samurai and sell their belongings for a living. While one of them is having an affair with their neighbor, the other woman meets a mysterious samurai wearing a bizarre mask.",https://www.imdb.com/title/tt0058430/?ref_=sr_i_44
45. Woman in the Dunes,1964,2h 27m,Not Rated,8.5,24K,,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.,https://www.imdb.com/title/tt0058625/?ref_=sr_i_45
46. Blood and Black Lace,1964,1h 28m,Not Rated,7.1,14K,,"A masked, shadowy killer brutally murders the models of a scandalous fashion house in Rome.",https://www.imdb.com/title/tt0058567/?ref_=sr_i_46
47. The Bargee,1964,1h 42m,Not Rated,6.2,546,,"A lock-keeper entrusts his daughter with a canal Casanova, and she soon falls pregnant. He refuses to open his locks until the guilty party confesses.",https://www.imdb.com/title/tt0057872/?ref_=sr_i_47
48. Red Desert,1964,1h 57m,Not Rated,7.4,18K,,"In an industrial area, unstable Giuliana attempts to cope with life by starting an affair with a co-worker at the plant her husband manages.",https://www.imdb.com/title/tt0058003/?ref_=sr_i_48
49. Zorba the Greek,1964,2h 22m,Not Rated,7.6,25K,,A reserved English writer travelling to Crete on a matter of business finds his life changed forever when he meets the gregarious Alexis Zorba.,https://www.imdb.com/title/tt0057831/?ref_=sr_i_49
50. Kwaidan,1964,3h 3m,Not Rated,7.9,21K,,A collection of four Japanese folk tales with supernatural themes.,https://www.imdb.com/title/tt0058279/?ref_=sr_i_50
51. The Pawnbroker,1964,1h 56m,Approved,7.6,11K,,"A Jewish pawnbroker, victim of Nazi persecution, loses all faith in his fellow man until he realizes too late the tragedy of his actions.",https://www.imdb.com/title/tt0059575/?ref_=sr_i_51
52. This Special Friendship,1964,1h 39m,TV-14,7.6,3.1K,,A tale of the tender relationship between a twelve-year-old boy and the upperclassman who is the object of his desire. All set in the rigid atmosphere of a Jesuit-run school.,https://www.imdb.com/title/tt0057842/?ref_=sr_i_52
53. Becket,1964,2h 28m,PG-13,7.8,16K,,"King Henry II of England comes to terms with his affection for his close friend and confidant Thomas Becket, who finds his true honor by observing God's divine will rather than the King's.",https://www.imdb.com/title/tt0057877/?ref_=sr_i_53
54. The Masque of the Red Death,1964,1h 29m,Not Rated,6.9,17K,,"A European prince terrorizes the local peasantry while using his castle as a refuge against the ""Red Death"" plague that stalks the land.",https://www.imdb.com/title/tt0058333/?ref_=sr_i_54
55. The Last Man on Earth,1964,1h 26m,Not Rated,6.7,22K,,"When a disease turns all of humanity into the living dead, the last man on earth becomes a reluctant vampire hunter.",https://www.imdb.com/title/tt0058700/?ref_=sr_i_55
