Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. The Four Horsemen of the Apocalypse,1921,2h 30m,Passed,7.1,3.8K,,An extended family split up in France and Germany find themselves on opposing sides of the battlefield during World War I.,https://www.imdb.com/title/tt0012190/?ref_=sr_i_1
2. Destiny,1921,1h 54m,Not Rated,7.6,7.4K,,"When a woman's fiancé disappears, Death gives her three chances to save him from his fate.",https://www.imdb.com/title/tt0012494/?ref_=sr_i_2
3. The Last Door,1921,50m,,,,,"At a reception given at the Rogers mansion in his honor, Somerset Carroll surprises the guests by averring that he would give aid to a female convict reported to have escaped. Later, alone in the library, he is appealed to by a young girl who confesses to being pursued by the police, and he takes her to his own house. There she reveals herself to be Helen Rogers, playing a game with him on the advice of her guests. He then declares himself a crook, holding the real Carroll prisoner, with the intention of robbing the Rogers mansion. She follows and shields ""The Magnet"" from the police, the real Carroll having escaped and notified them, and through her interference he eludes his would-be captors.",https://www.imdb.com/title/tt0012378/?ref_=sr_i_3
4. The Kid,1921,1h 8m,Passed,8.2,146K,,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",https://www.imdb.com/title/tt0012349/?ref_=sr_i_4
5. The Phantom Carriage,1921,1h 47m,Not Rated,8.0,16K,,"On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.",https://www.imdb.com/title/tt0012364/?ref_=sr_i_5
6. The Affairs of Anatol,1921,1h 57m,Unrated,6.6,1.5K,,Socialite Anatol Spencer seeks a better relation than he has with his wife. He sets up the friend of his youth Emilie in an apartment and she two-times him; he comforts near-suicidal Annie and she robs him.,https://www.imdb.com/title/tt0011909/?ref_=sr_i_6
7. Miss Lulu Bett,1921,1h 11m,Not Rated,6.8,461,,"A once-timid young woman gains newfound confidence after a failed marriage, much to the chagrin of her miserable family.",https://www.imdb.com/title/tt0012465/?ref_=sr_i_7
8. Seven Years Bad Luck,1921,1h 2m,TV-G,7.0,1.5K,,"After breaking a mirror in his home, superstitious Max tries to avoid situations which could bring bad luck-- but in doing so, causes himself the worst luck imaginable.",https://www.imdb.com/title/tt0127834/?ref_=sr_i_8
9. The Sheik,1921,1h 26m,Passed,6.2,4K,,"A charming Arabian sheik becomes infatuated with an adventurous, modern-thinking Englishwoman and abducts her to his home in the Saharan desert.",https://www.imdb.com/title/tt0012675/?ref_=sr_i_9
10. Orphans of the Storm,1921,2h 30m,Not Rated,7.3,5.8K,,"Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.",https://www.imdb.com/title/tt0012532/?ref_=sr_i_10
11. The Haunted Castle,1921,1h 9m,Not Rated,6.1,2.3K,,"In the castle Vogeloed, a few aristocrats are awaiting baroness Safferstätt. But first Count Oetsch invites himself.. Everyone thinks he murdered his brother, baroness Safferstat's first husband, three years ago. So he is rather undesirable. But Oetsch stays; arguing he is not the murderer and will find the real one...",https://www.imdb.com/title/tt0012651/?ref_=sr_i_11
"12. Mysteries of India, Part I: Truth",1921,2h,,6.7,445,,The unfaithful wife of a cruel Indian prince attempts to escape from his domination.,https://www.imdb.com/title/tt0012314/?ref_=sr_i_12
13. The Wildcat,1921,1h 19m,Not Rated,6.8,1.5K,,"A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained.",https://www.imdb.com/title/tt0011960/?ref_=sr_i_13
14. The Three Musketeers,1921,1h 59m,,6.9,1.3K,,"Cardinal Richelieu, engaged in intrigue at the court of Louis XIII, attempts to rule by threatening the queen, who is secretly in love with the Duke of Buckingham. From Gascony comes D'Artagnan to join the King's Musketeers in his quest for adventure. He wins the right to membership by proving his prowess with the sword and forms an eternal alliance with Athos, Porthos, and Aramis, the Three Musketeers. After many adventures, he embarks on a dangerous mission to England to recover a diamond brooch, a gift of the king, which the queen has given to Buckingham as a token of affection. He recovers it and returns in time to save the queen from the wrath of Louis, defeat the cardinal's intrigue, and win Constance, the queen's seamstress.",https://www.imdb.com/title/tt0012752/?ref_=sr_i_14
"15. Mysteries of India, Part II: Above All Law",1921,1h 40m,,6.7,468,,Irene saves Herbert and the two help Princess Savitri flee the palace.,https://www.imdb.com/title/tt0012313/?ref_=sr_i_15
