Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. Sherlock Jr.,1924,45m,Passed,8.1,66K,,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",https://www.imdb.com/title/tt0015324/?ref_=sr_i_1
2. Die Nibelungen: Siegfried,1924,1h 40m,Not Rated,8.1,7.3K,,"Siegfried, son of King Siegmund of Xanten, sets off on a treacherous journey to the Kingdom of Burgundy to ask King Gunther for the hand of his sister, the beautiful Princess Kriemhild.",https://www.imdb.com/title/tt0015175/?ref_=sr_i_2
3. The Navigator,1924,59m,Unrated,7.5,12K,,Two spoiled rich people find themselves trapped on an empty passenger ship.,https://www.imdb.com/title/tt0015163/?ref_=sr_i_3
4. The Last Laugh,1924,1h 30m,Not Rated,8.0,17K,,"An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel.",https://www.imdb.com/title/tt0015064/?ref_=sr_i_4
5. Die Nibelungen: Kriemhild's Revenge,1924,2h 9m,Not Rated,7.9,5.6K,,"Princess Kriemhild vows to avenge her husband's murder but must overcome her brothers who swore allegiance to Hagen. She marries Etzel, King of the Huns, and persuades his army to attack Hagen, but she loses more than she bargained for.",https://www.imdb.com/title/tt0015174/?ref_=sr_i_5
6. Greed,1924,2h 20m,Not Rated,8.0,12K,,The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,https://www.imdb.com/title/tt0015881/?ref_=sr_i_6
7. Helen of Troy,1924,3h 24m,,6.6,163,,"Helena is a 1924 German silent drama film directed by Manfred Noa and starring Edy Darclea, Vladimir Gajdarov and Albert Steinrück.",https://www.imdb.com/title/tt0133848/?ref_=sr_i_7
8. The Thief of Bagdad,1924,2h 35m,Not Rated,7.7,7.7K,,A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,https://www.imdb.com/title/tt0015400/?ref_=sr_i_8
9. Peter Pan,1924,1h 45m,,7.1,1.5K,,"Peter Pan enters the nursery of the Darling children and, with the help of fairy dust, leads them off to Never Never Land, where they meet the nefarious Captain Hook.",https://www.imdb.com/title/tt0015224/?ref_=sr_i_9
10. He Who Gets Slapped,1924,1h 35m,,7.7,4.9K,,A bitter clown endeavors to rescue the young woman he loves from the lecherous baron who once betrayed him.,https://www.imdb.com/title/tt0014972/?ref_=sr_i_10
11. The Last Man on Earth,1924,1h 10m,,6.0,107,,"In 1940, a man becomes a hermit after rejection. By 1950, a plague kills all post-pubescent males except him. Now desired by millions of women, he still yearns for his initial love interest, making him a treasured last man.",https://www.imdb.com/title/tt0015051/?ref_=sr_i_11
12. The Iron Horse,1924,2h 30m,Passed,7.2,2.8K,,"After witnessing the murder of his father by a renegade as a boy, the grown-up Brandon helps to realize his father's dream of a transcontinental railway.",https://www.imdb.com/title/tt0015016/?ref_=sr_i_12
13. The Hands of Orlac,1924,1h 32m,Not Rated,7.0,3.9K,,"A world-famous pianist loses both hands in an accident. When new hands are grafted on, he doesn't know they once belonged to a murderer.",https://www.imdb.com/title/tt0015202/?ref_=sr_i_13
14. Michael,1924,1h 33m,Not Rated,7.1,2.3K,,"A love triangle story between a famous painter, his young male model and an unscrupulous princess.",https://www.imdb.com/title/tt0015136/?ref_=sr_i_14
15. The Enemy Sex,1924,1h 20m,,4.4,13,,"When chorus girl ""Dodo"" Baxter is invited to a party given by millionaire Albert Sassoon, she meets five wealthy and worldly-wise men who attempt various schemes to add her to their conquests. But she beats them all at their own game and declines offers of a stage career, wealth, and position in favor of restoring the health of an alcoholic, Garry Lindaberry.",https://www.imdb.com/title/tt0014871/?ref_=sr_i_15
16. The Saga of Gösta Berling,1924,3h 3m,Not Rated,7.0,1.6K,,A drunkard priest who has been cast out by his community struggles to atone and regain his honour and dignity.,https://www.imdb.com/title/tt0014109/?ref_=sr_i_16
17. Waxworks,1924,1h 47m,Not Rated,6.6,2.6K,,A wax museum hires a writer to give the sculptures stories. The writer imagines himself and the museum owner's daughter in the stories.,https://www.imdb.com/title/tt0014586/?ref_=sr_i_17
