Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Cleopatra,1963,3h 12m,Approved,7.0,39K,,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,https://www.imdb.com/title/tt0056937/?ref_=sr_i_1
2. It's a Mad Mad Mad Mad World,1963,3h 30m,Approved,7.5,47K,,"A group of motorists witnesses a car crash in the California desert, and after the driver's dying words indicate the location of a hidden stash of loot, they turn against each other in a race across the state to get to it.",https://www.imdb.com/title/tt0057193/?ref_=sr_i_2
3. Tom Jones,1963,2h 9m,Not Rated,6.4,15K,,The romantic and chivalrous adventures of adopted bastard Tom Jones in 18th-century England.,https://www.imdb.com/title/tt0057590/?ref_=sr_i_3
4. Irma la Douce,1963,2h 27m,Approved,7.3,22K,,"When a policeman falls in love with a prostitute, he doesn't want her to see other men, so he creates an alter-ego who will be her only customer.",https://www.imdb.com/title/tt0057187/?ref_=sr_i_4
5. From Russia with Love,1963,1h 55m,PG,7.3,149K,,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by the organization Spectre.,https://www.imdb.com/title/tt0057076/?ref_=sr_i_5
6. The Sword in the Stone,1963,1h 19m,G,7.1,109K,,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.",https://www.imdb.com/title/tt0057546/?ref_=sr_i_6
7. Charade,1963,1h 53m,Approved,7.8,88K,,Romance and intrigue ensue in Paris as a woman is pursued by several men who want to get their hands on a fortune her murdered husband had stolen. She soon loses trust in those who claim they want to help her.,https://www.imdb.com/title/tt0056923/?ref_=sr_i_7
8. Bye Bye Birdie,1963,1h 52m,G,6.6,9.6K,,"A rock singer travels to a small Ohio town to make his ""farewell"" television performance and kiss his biggest fan before he is drafted.",https://www.imdb.com/title/tt0056891/?ref_=sr_i_8
9. The Great Escape,1963,2h 52m,Approved,8.2,264K,,Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.,https://www.imdb.com/title/tt0057115/?ref_=sr_i_9
10. The Thrill of It All,1963,1h 48m,Approved,6.9,6.1K,,A homemaker's sudden rise to fame as a soap spokesperson leads to chaos in her home life.,https://www.imdb.com/title/tt0057581/?ref_=sr_i_10
11. The Birds,1963,1h 59m,PG-13,7.6,210K,,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,https://www.imdb.com/title/tt0056869/?ref_=sr_i_11
12. The Pink Panther,1963,1h 55m,Approved,7.0,58K,,"The bumbling Inspector Clouseau travels to Rome to catch a notorious jewel thief known as ""The Phantom"" before he conducts his most daring heist yet: a princess' priceless diamond with one slight imperfection, known as ""The Pink Panther"".",https://www.imdb.com/title/tt0057413/?ref_=sr_i_12
13. The V.I.P.s,1963,1h 59m,Not Rated,6.3,4.3K,,"As fog delays departure for a group of travelers bound for New York City, they wait at the lounge of London's Heathrow airport, each passenger at a moment of crisis in his or her life.",https://www.imdb.com/title/tt0057634/?ref_=sr_i_13
14. Hud,1963,1h 52m,Approved,7.8,24K,,"Honest, hard-working Texas rancher Homer Bannon has a conflict with his unscrupulous, selfish, arrogant, egotistical son Hud, who sank into alcoholism after accidentally killing his brother in a car crash.",https://www.imdb.com/title/tt0057163/?ref_=sr_i_14
15. The Prize,1963,2h 14m,Approved,6.8,5.5K,,"As the Nobel Prize winners come to Stockholm to receive their awards, their lives are overturned and perturbed in various ways.",https://www.imdb.com/title/tt0057426/?ref_=sr_i_15
16. The Nutty Professor,1963,1h 47m,Approved,6.6,20K,,A timid chemistry teacher discovers a magical potion that can transform him into a suave and handsome womanizer.,https://www.imdb.com/title/tt0057372/?ref_=sr_i_16
"17. Take Her, She's Mine",1963,1h 38m,Approved,6.2,1.5K,,A father's attempts to protect his college-age daughter from trouble backfire and he finds himself in the middle of scandal after scandal.,https://www.imdb.com/title/tt0057556/?ref_=sr_i_17
18. Savage Sam,1963,1h 43m,Approved,6.0,1.2K,,"Travis, Arliss, and Lisbeth are captured by Apaches while their dog, Sam, tracks their trail.",https://www.imdb.com/title/tt0057473/?ref_=sr_i_18
19. Captain Sindbad,1963,1h 25m,Approved,5.5,1.1K,,"To marry Princess Jana, Captain Sindbad must battle deadly obstacles and fight El Kerim, the evil ruler who also wants to marry the princess.",https://www.imdb.com/title/tt0056904/?ref_=sr_i_19
20. Jason and the Argonauts,1963,1h 44m,G,7.3,32K,,The legendary Greek hero leads a team of intrepid adventurers in a perilous quest for the legendary Golden Fleece.,https://www.imdb.com/title/tt0057197/?ref_=sr_i_20
21. A New Kind of Love,1963,1h 50m,Unrated,5.7,1.6K,,The fashion industry and Paris provide the setting for a comedy surrounding the mistaken impression that Samantha Blake is a high-priced call girl. Steve Sherman is the journalist interviewing her for insights on her profession.,https://www.imdb.com/title/tt0057360/?ref_=sr_i_21
22. Gidget Goes to Rome,1963,1h 44m,Approved,5.1,824,,"Gidget, in Rome for a holiday, misinterprets attention she receives from a famous journalist. Discovering he is ""chaperoning"" her at Dad's request she resumes interest in her boyfriend. Based upon characters created by Frederick Kohner.",https://www.imdb.com/title/tt0057100/?ref_=sr_i_22
23. Blood Feast,1963,1h 7m,Not Rated,5.0,7.6K,,An Egyptian caterer kills various women in suburban Miami to use their body parts to revive a dormant Egyptian goddess while an inept police detective tries to track him down.,https://www.imdb.com/title/tt0056875/?ref_=sr_i_23
24. King Kong vs. Godzilla,1963,1h 31m,Approved,5.7,12K,,"A UN reporter covers the appearance of a prehistoric monster that emerges from hibernation, while a pharmaceutical company seeks publicity with a monster of their own.",https://www.imdb.com/title/tt0056142/?ref_=sr_i_24
25. The Haunting,1963,1h 52m,G,7.4,44K,,"Hill House has stood for about 90 years and appears haunted: its inhabitants have always met strange, tragic ends. Now Dr. John Markway has assembled a team of people who he thinks will prove whether or not the house is haunted.",https://www.imdb.com/title/tt0057129/?ref_=sr_i_25
26. The Haunted Palace,1963,1h 27m,Approved,6.7,8.9K,,Charles Dexter Ward arrives at a small village to visit the house he inherited from his ancestor who died there 100 years ago.,https://www.imdb.com/title/tt0057128/?ref_=sr_i_26
27. Nine Hours to Rama,1963,2h 4m,Approved,6.4,460,,Fictional narrative of Hindu militant activist Nathuram Godse's plan to kill Mahatma Gandhi and of police officer Gopal Das' task to find the killer before it's too late.,https://www.imdb.com/title/tt0057362/?ref_=sr_i_27
28. The Three Stooges Go Around the World in a Daze,1963,1h 34m,Not Rated,6.2,852,,The Three Stooges play servants to an ancestor of Phileas Fogg and embark on a trip around the world.,https://www.imdb.com/title/tt0057580/?ref_=sr_i_28
29. Soldier in the Rain,1963,1h 28m,Approved,6.6,2K,,The bond of friendship between a worldly-wise Army Master Sergeant and his naive worshiper.,https://www.imdb.com/title/tt0057517/?ref_=sr_i_29
30. The Beast of Babylon Against the Son of Hercules,1963,1h 38m,,5.0,144,,The rightful heir to the throne of Babylon leads a slave revolt against an evil ruler.,https://www.imdb.com/title/tt0057038/?ref_=sr_i_30
31. Any Number Can Win,1963,1h 58m,,7.3,4.7K,,"A career con artist reunites with his wife but has already planned his next move: one daring last heist that will set him up for life. However, there is no such thing as a foolproof plan.",https://www.imdb.com/title/tt0057344/?ref_=sr_i_31
32. In My Dream Last Night,1963,1h 44m,,,,,,https://www.imdb.com/title/tt0057177/?ref_=sr_i_32
33. The Orgy at Lil's Place,1963,1h 17m,R,5.9,87,,"Narrator, Ann, becomes a nude model for a NY artist to earn some money for her actual interests. Things start off great, but as she's slowly introduced to the sleazier side of the scene, she begins wondering whether she should quit.",https://www.imdb.com/title/tt0134873/?ref_=sr_i_33
34. Bay of Angels,1963,1h 30m,Not Rated,7.2,4.4K,,"Jean is a clerk in a bank. His colleague Caron is a gambler and gives him the virus. In the casinos, Jean meets Jackie. Their love affair will follow their luck at the roulette.",https://www.imdb.com/title/tt0056846/?ref_=sr_i_34
35. The Boom,1963,1h 28m,,7.1,1.4K,,During the economic boom of Italy a man tries desperately to maintain a high standard of living for his family.,https://www.imdb.com/title/tt0056883/?ref_=sr_i_35
36. 8½,1963,2h 18m,Not Rated,8.0,128K,,A harried movie director retreats into his memories and fantasies.,https://www.imdb.com/title/tt0056801/?ref_=sr_i_36
37. Contempt,1963,1h 42m,Not Rated,7.4,37K,,"A French writer's marriage deteriorates while working on Fritz Lang's version of ""The Odyssey"", as his wife accuses him of using her to court favor with the film's brash American producer.",https://www.imdb.com/title/tt0057345/?ref_=sr_i_37
38. The Servant,1963,1h 56m,Unrated,7.8,15K,,"Upper-class Tony hires servant Hugo Barrett, who turns out to have a hidden agenda.",https://www.imdb.com/title/tt0057490/?ref_=sr_i_38
39. Billy Liar,1963,1h 38m,Not Rated,7.2,7.2K,,"A lazy, irresponsible young clerk (Sir Tom Courtenay) in provincial Northern England lives in his own fantasy world and makes emotionally immature decisions as he alienates friends and family.",https://www.imdb.com/title/tt0056868/?ref_=sr_i_39
40. The Little Soldier,1963,1h 28m,Not Rated,7.1,8.3K,,"During the Algerian War, a man and woman from opposing sides fall in love with one another.",https://www.imdb.com/title/tt0054177/?ref_=sr_i_40
41. Le joli mai,1963,2h 45m,Not Rated,7.8,899,,"Chris Marker and Pierre Lhomme's LE JOLI MAI (The Lovely Month of May) is a portrait of Paris and Parisians during May 1962, the first springtime of peace after the ceasefire with Algeria and the first time in 23 years that France was not involved in any war.",https://www.imdb.com/title/tt0057202/?ref_=sr_i_41
