Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. L'Age d'Or,1930,1h 3m,Not Rated,7.2,16K,,"A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",https://www.imdb.com/title/tt0021577/?ref_=sr_i_1
2. All Quiet on the Western Front,1930,2h 32m,Approved,8.1,72K,91,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",https://www.imdb.com/title/tt0020629/?ref_=sr_i_2
3. Hell's Angels,1930,2h 7m,Passed,7.2,6.8K,39,Brothers Monte and Roy leave Oxford to join the Royal Flying Corps. Roy loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in yet another man's arms.,https://www.imdb.com/title/tt0020960/?ref_=sr_i_3
4. The Big Trail,1930,2h 5m,Passed,7.2,5.2K,,Breck Coleman leads hundreds of settlers in covered wagons from the Mississippi River to their destiny out West.,https://www.imdb.com/title/tt0020691/?ref_=sr_i_4
5. Morocco,1930,1h 32m,Approved,7.0,8.5K,,"A cabaret singer and a Legionnaire fall in love, but their relationship is complicated by the results of his womanizing and the appearance of a rich man who wants her for himself.",https://www.imdb.com/title/tt0021156/?ref_=sr_i_5
6. Murder!,1930,1h 32m,TV-PG,6.3,7.9K,70,"A juror in a murder trial, after voting to convict, has second thoughts and begins to investigate on his own before the execution.",https://www.imdb.com/title/tt0021165/?ref_=sr_i_6
7. King of Jazz,1930,1h 39m,Approved,6.7,1.9K,,"A rotund bandleader leads a series of theatrical sketches, dance numbers, special effects, and animated segments.",https://www.imdb.com/title/tt0021025/?ref_=sr_i_7
8. Animal Crackers,1930,1h 37m,G,7.4,16K,77,Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.,https://www.imdb.com/title/tt0020640/?ref_=sr_i_8
9. The Blue Angel,1930,1h 44m,Passed,7.6,18K,90,An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.,https://www.imdb.com/title/tt0020697/?ref_=sr_i_9
10. The Big House,1930,1h 27m,Approved,7.1,3K,74,"A convict falls in love with his new cellmate's sister, only to become embroiled in a planned break-out which is certain to have lethal consequences.",https://www.imdb.com/title/tt0020686/?ref_=sr_i_10
11. Juno and the Paycock,1930,1h 25m,Not Rated,4.6,2.8K,40,"During the Irish Civil War in 1922, a family earns a big inheritance. They start leading a rich life, forgetting what the most important values are.",https://www.imdb.com/title/tt0021015/?ref_=sr_i_11
12. The Widow from Chicago,1930,1h 4m,Passed,6.4,586,,"Mobster Dominic brings con man Swifty East, but Swifty seemingly dies. Detective Henderson impersonates Swifty to infiltrate the mob but is killed. Henderson's sister Polly then poses as Swifty's widow, until the real Swifty resurfaces.",https://www.imdb.com/title/tt0021551/?ref_=sr_i_12
13. Soup to Nuts,1930,1h 10m,Approved,5.7,647,,"Mr. Schmidt's costume store is bankrupt because he spends his time on Rube Goldberg-style inventions. The creditors send a young manager who falls for Schmidt's niece Louise, but she'll have none of him. Schmidt's friends Ted, Queenie, and some goofy firemen try to help out, and things come to a slapstick head when Louise needs rescuing from a fire.",https://www.imdb.com/title/tt0021408/?ref_=sr_i_13
14. Passion Flower,1930,1h 19m,Passed,6.1,428,,A bored society woman invites scandal and heartache when she falls in love with her low-born chauffeur.,https://www.imdb.com/title/tt0021240/?ref_=sr_i_14
15. Up the River,1930,1h 32m,Passed,5.9,1.5K,,"When paroled trustee Steve and former inmate Judy who try to put their criminal lives behind them are blackmailed, two career criminals come to their rescue.",https://www.imdb.com/title/tt0021508/?ref_=sr_i_15
16. The Bat Whispers,1930,1h 24m,Approved,6.3,1.5K,,A master criminal terrorizes the occupants of an isolated country mansion.,https://www.imdb.com/title/tt0020668/?ref_=sr_i_16
17. The Little Rascals: Superstars of Our Gang,1930,1h 22m,,8.0,19,,"The Little Rascals gang gets into mischief trying to stop their teacher's romance, taking a wild taxi ride, and making a deal with a shopkeeper - until Pete the dog wreaks havoc. Classic episodes now restored in color.",https://www.imdb.com/title/tt29535789/?ref_=sr_i_17
18. The Divorcee,1930,1h 24m,Passed,6.6,4.2K,,"When a woman discovers that her husband has been unfaithful to her, she decides to respond to his infidelities in kind.",https://www.imdb.com/title/tt0020827/?ref_=sr_i_18
19. Sinners' Holiday,1930,1h,Passed,6.3,899,,"Ma Delano operates a boardwalk penny arcade and resides above it with her sons Harry and Joe and daughter Jennie. Their tale includes rum-running, an accidental killing, and being framed.",https://www.imdb.com/title/tt0021381/?ref_=sr_i_19
20. Ladies of Leisure,1930,1h 39m,Approved,6.7,2K,,An upper-crust artist hires a 'party girl' as a model; romance follows.,https://www.imdb.com/title/tt0021040/?ref_=sr_i_20
21. The Doorway to Hell,1930,1h 18m,Passed,6.5,1.6K,,"Despite his efforts to go straight, a young gangster keeps falling back into crime.",https://www.imdb.com/title/tt0020836/?ref_=sr_i_21
22. Madam Satan,1930,1h 56m,Passed,6.3,1.6K,,"Angela and Bob Brooks are an upper-class couple. Unfortunately, Bob is an unfaithful husband, but Angela has a plan to win back her husband's affections.",https://www.imdb.com/title/tt0021106/?ref_=sr_i_22
23. Our Blushing Brides,1930,1h 42m,Passed,6.2,1.1K,,"Three department store employees, Connie, Franky, and Jerry, share an apartment together in New York City. Despite Jerry's pragmatism, Connie and Franky pursue wealthy men for financial gain, leading to disappointment and heartbreak.",https://www.imdb.com/title/tt0021223/?ref_=sr_i_23
24. Moby Dick,1930,1h 20m,Passed,5.7,726,,"So this was ""Moby Dick"" with John Barrymore. Captain Ahab, John Barrymore, falls in love with his brother's girlfriend, Joan Bennet. She returns his affection setting up the conflict with his brother, Derek. Ahab goes on a whaling voyage, encounters Moby Dick. Moby Dick takes of Ahab's right leg. Ahab has a distinct change in character, from being a lovable scamp, he becomes remorse and believes his girl has lost all affection for him in his crippled state. He has command of the whaling vessel The Maryanne, not the Pequod. He has a handful of trusted whalers with him, among them the Native harpooner who is his protector. The bulk of the crew was Shanghaied from the grog houses and brothels of New Bedford. He only seeks Moby Dick who he finally encounters after severe typhoon off the coast of China, at least four crewmen are lost in the storm, he does absolutely nothing to save any of them. Shortly before he encounters Moby Dick his loyal crew must first put down a mutiny. Derek knifes Ahab but only wounds him. In response to Derek's treachery the harpooner breaks Derek's back. The last you see of Derek he is to be taken to the Captain's cabin and carried for to the best of the whalers ability. Once a long boat chases down Moby Dick Ahab harpoons the whale. Ahab is tied to the harpoon and ends up being dragged by Moby Dick. Ahab manages to climb on Moby Dick's back and lances the great beast. The crew butchers Moby Dick, boils the blubber to extract the oil. The Maryanne returns to New Bedford and Ahab and his girl live happily ever after.",https://www.imdb.com/title/tt0021149/?ref_=sr_i_24
25. The Dawn Patrol,1930,1h 48m,Passed,7.1,2.3K,,"World War I ace Dick Courtney derides the leadership of his superior officer, but Courtney is soon promoted to squadron commander and learns harsh lessons about sending subordinates to their deaths.",https://www.imdb.com/title/tt0020815/?ref_=sr_i_25
26. People on Sunday,1930,1h 13m,Not Rated,7.2,4K,,Two couples spend an interesting day together.,https://www.imdb.com/title/tt0020163/?ref_=sr_i_26
27. Earth,1930,1h 15m,Unrated,7.2,7K,,"In the peaceful countryside, Vassily opposes the rich kulaks over the coming of collective farming.",https://www.imdb.com/title/tt0021571/?ref_=sr_i_27
28. Anna Christie,1930,1h 29m,Passed,6.5,3.9K,,"A young woman reunites with her estranged father and falls in love with a sailor, but struggles to tell them about her dark past.",https://www.imdb.com/title/tt0020641/?ref_=sr_i_28
