Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. Moana,1926,1h 25m,Passed,6.8,896,,Filmmaker Robert J. Flaherty presents a docufictional account of a family living in a Samoan village in the early 1920s.,https://www.imdb.com/title/tt0017162/?ref_=sr_i_1
2. The General,1926,1h 18m,Passed,8.1,106K,,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",https://www.imdb.com/title/tt0017925/?ref_=sr_i_2
3. Faust,1926,1h 47m,Not Rated,8.1,18K,,The demon Mephisto wagers with God that he can corrupt a mortal man's soul.,https://www.imdb.com/title/tt0016847/?ref_=sr_i_3
4. A Page of Madness,1926,1h 10m,Not Rated,7.3,5.5K,,"A man works as an orderly at the asylum where his wife has been imprisoned after attempting to drown herself along with their daughter. When said daughter wants to marry, he tries to hide her mothers as he slowly becomes unstable himself.",https://www.imdb.com/title/tt0017048/?ref_=sr_i_4
5. The Adventures of Prince Achmed,1926,1h 20m,Not Rated,7.8,7.8K,,"A handsome prince rides a flying horse to faraway lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess.",https://www.imdb.com/title/tt0015532/?ref_=sr_i_5
6. The Bat,1926,1h 26m,,6.5,1.1K,,A masked criminal who dresses like a giant bat terrorizes the guests at an old house rented by a mystery writer.,https://www.imdb.com/title/tt0016629/?ref_=sr_i_6
7. The Great Gatsby,1926,1h 20m,Passed,,,,"Nick Carraway, a young Midwesterner now living on Long Island, finds himself fascinated by the mysterious past and lavish lifestyle of his neighbour, the nouveau riche Jay Gatsby. He is drawn into Gatsby's circle, becoming a witness to obsession and tragedy.",https://www.imdb.com/title/tt0016938/?ref_=sr_i_7
8. 3 Bad Men,1926,2h 2m,Unrated,7.5,1.7K,,Three outlaws come to the aid of a young girl after her father is killed.,https://www.imdb.com/title/tt0017463/?ref_=sr_i_8
9. Flesh and the Devil,1926,1h 52m,Passed,7.6,5K,,Childhood friends are torn apart when one of them marries the woman the other fiercely loves.,https://www.imdb.com/title/tt0016884/?ref_=sr_i_9
10. Battling Butler,1926,1h 17m,Passed,7.0,4.5K,,A love-struck weakling must pretend to be boxer in order to gain respect from the family of the girl he loves.,https://www.imdb.com/title/tt0016630/?ref_=sr_i_10
11. The Son of the Sheik,1926,1h 8m,Passed,6.5,2.3K,,"The son of the sheik and a dancing girl fall in love, but when he is made to believe she has betrayed him he seeks revenge.",https://www.imdb.com/title/tt0017416/?ref_=sr_i_11
12. The Black Pirate,1926,1h 28m,Not Rated,7.0,2.4K,,"Seeking revenge, an athletic young man joins the pirate band responsible for his father's death.",https://www.imdb.com/title/tt0016654/?ref_=sr_i_12
13. Beau Geste,1926,1h 41m,Passed,7.1,649,,"After fleeing England in disgrace, Michael ""Beau"" Geste joins the French Foreign Legion, meeting his brothers in North Africa where their cruel commander proves more dangerous than Arab rebels.",https://www.imdb.com/title/tt0016634/?ref_=sr_i_13
14. The Scarlet Letter,1926,1h 55m,Passed,7.6,2.2K,,"After having a baby out of wedlock, a young Puritan woman is pressured to reveal the name of her lover.",https://www.imdb.com/title/tt0017350/?ref_=sr_i_14
15. Sparrows,1926,1h 49m,Unrated,7.3,1.7K,,"Molly, the eldest child at a baby farm hidden deep in a swamp, must rescue the others when their cruel master decides that one of them will be disposed of.",https://www.imdb.com/title/tt0017423/?ref_=sr_i_15
16. What Price Glory,1926,1h 56m,Approved,6.8,544,,"U.S. Marine sergeants Quirt and Flagg are inveterate romantic rivals on peacetime assignments in China and the Philippines. In 1917, W.W. I brings them to France, where Flagg, now a captain, takes up with flirtatious Charmaine, inn-keeper's daughter. Of course, Quirt has to arrive and spoil his fun. But the harsh realities of war and the threat of a shotgun marriage give the two men a common cause...",https://www.imdb.com/title/tt0017540/?ref_=sr_i_16
17. Mother,1926,1h 29m,Not Rated,7.4,3.3K,,"A story about a family torn apart by a worker's strike. At first, the mother wants to protect her family from the troublemakers, but eventually she realizes that her son is right and the workers should strike.",https://www.imdb.com/title/tt0017128/?ref_=sr_i_17
18. La Bohème,1926,1h 35m,Passed,7.2,1.8K,,"A group of starving artists try to survive in 1830s Paris, including a seamstress and the would-be playwright she loves.",https://www.imdb.com/title/tt0016669/?ref_=sr_i_18
19. Nana,1926,2h 30m,Not Rated,6.6,1.1K,,"When the vivacious and beautiful Nana bombs at the Théâtre des Variétés, she embarks on the life of a courtesan, using her allure and charisma to entice and pleasure men.",https://www.imdb.com/title/tt0017196/?ref_=sr_i_19
20. The Devil's Circus,1926,1h 10m,,6.7,227,,"Mary (Shearer) and Carlstop (Mack) are lovers. The former is a trapeze artist, while the latter is a pickpocket. Mary gets entangled in a nearly fatal situation with Lieberkind (Miljan), a lion-tamer, and his jealous wife Yonna (Myers), who victimizes Mary.",https://www.imdb.com/title/tt0016783/?ref_=sr_i_20
21. The Sea Beast,1926,2h 16m,,6.2,232,,"This silent movie is based on Melville's classic Moby Dick. Ahab and his brother compete for the affections of minister's daughter Esther. But the great white whale has been eluding the harpooners, bearing many scars of failed attacks. Can our hero Ahab succeed where others have perished?",https://www.imdb.com/title/tt0017354/?ref_=sr_i_21
22. Secrets of a Soul,1926,1h 37m,Not Rated,6.8,942,,A scientist is tormented by an irrational fear of knives and the irresistible compulsion to murder his wife.,https://www.imdb.com/title/tt0016914/?ref_=sr_i_22
23. The Temptress,1926,1h 2m,Passed,6.9,1.5K,,An architect tries suppressing his passion for a seductive woman.,https://www.imdb.com/title/tt0017449/?ref_=sr_i_23
24. The Holy Mountain,1926,1h 40m,,6.6,1.1K,,"Diotima meets Karl in the mountains where they fall in love and have an affair. When Karl's friend, Vigo, meets her, he mistakenly believes she is in love with him. Karl then believes that she is betraying him with his friend.",https://www.imdb.com/title/tt0016953/?ref_=sr_i_24
25. The House Without a Key,1926,3h 30m,Passed,5.2,47,,"A Pathe serial in ten chapters of two-reels each: Dan Winterslip, a wealthy man in Honolulu, has not spoken to his brother, who owns a hotel next to Winterslip's estate, in over twenty years. Minerva, sister to the estranged brothers, comes from Boston to try to reconcile the two men. John Quincy Winterslip, Dan's nephew, receives a letter instructing him to retrieve a box from an attic in San Francisco and dump the contents into the ocean. He is on board a ship bound for Hawaii in which other passengers are also after the box. Dan Winterslip is murdered. Charlie Chan, a Chinese detective, offers to help solve the killing and the mysteries surround the box. Chan is looking for the person whose wristwatch is missing the number 'three.'",https://www.imdb.com/title/tt0015930/?ref_=sr_i_25
26. The Mountain Eagle,1926,57m,,,,,"In the Kentucky hills, a store keeper tries to win the love of an innocent schoolteacher. She runs away and seeks refuge with a hermit.",https://www.imdb.com/title/tt0016127/?ref_=sr_i_26
27. Don Juan,1926,1h 50m,Passed,7.0,1K,,"In 16th-century Italy, devil-may-care playboy Don Juan runs afoul of the despotic Borgias.",https://www.imdb.com/title/tt0016804/?ref_=sr_i_27
28. Old Ironsides,1926,1h 51m,Passed,6.9,365,,An American fighting ship battles Barbary pirates in the Mediterranean in the 18th century.,https://www.imdb.com/title/tt0017226/?ref_=sr_i_28
29. The Winning of Barbara Worth,1926,1h 29m,Passed,6.9,1.1K,,"While building an irrigation system for a Southwestern desert community, an engineer vies with a local cowboy for the affections of a rancher's daughter.",https://www.imdb.com/title/tt0017567/?ref_=sr_i_29
30. The Sorrows of Satan,1926,1h 30m,Passed,6.2,332,,"Geoffrey, a young and impoverished writer, is desperately in love with Mavis, who lives at his boardinghouse and is also pursuing a writing career. Unable to marry her because of his poverty, in his anger he curses God for abandoning him. Soon Geoffrey meets Prince Lucio de Rimanez, a wealthy, urbane gentleman who informs Geoffrey that he has inherited a fortune, but that he must place himself in the Prince's hands in order to enjoy the fruits of his inheritance. What Geoffrey doesn't know is that Prince Lucio is actually Satan, who is using Geoffrey as an experiment to show God that he can corrupt anybody.",https://www.imdb.com/title/tt0017419/?ref_=sr_i_30
31. The Magician,1926,1h 23m,Passed,6.8,953,,"A magician/alchemist, seeking to create life, finds that he needs the ""blood of a virgin"" to continue his experiments. He sends out his dwarf assistant to pick out the right girl.",https://www.imdb.com/title/tt0017103/?ref_=sr_i_31
