Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
27. Bad Moms,2016,1h 40m,R,6.2,137K,,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",https://www.imdb.com/title/tt4651520/?ref_=sr_i_27
28. The Angry Birds Movie,2016,1h 37m,PG,6.3,108K,,"When an island populated by happy, flightless birds is visited by mysterious green pigs, it's up to three unlikely outcasts to figure out what the pigs are up to.",https://www.imdb.com/title/tt1985949/?ref_=sr_i_28
29. Independence Day: Resurgence,2016,2h,PG-13,5.2,192K,,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",https://www.imdb.com/title/tt1628841/?ref_=sr_i_29
30. The Conjuring 2,2016,2h 14m,R,7.3,312K,,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,https://www.imdb.com/title/tt3065204/?ref_=sr_i_30
31. Arrival,2016,1h 56m,PG-13,7.9,797K,,"Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to communicate with the extraterrestrial visitors.",https://www.imdb.com/title/tt2543164/?ref_=sr_i_31
32. Passengers,2016,1h 56m,PG-13,7.0,465K,,A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.,https://www.imdb.com/title/tt1355644/?ref_=sr_i_32
33. Sausage Party,2016,1h 29m,R,6.1,216K,,A sausage leads a group of supermarket products on a journey to discover the truth about their existence and what really happens when they are picked off the shelf.,https://www.imdb.com/title/tt1700841/?ref_=sr_i_33
34. The Magnificent Seven,2016,2h 12m,PG-13,6.9,234K,,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,https://www.imdb.com/title/tt2404435/?ref_=sr_i_34
35. Ride Along 2,2016,1h 42m,PG-13,5.9,64K,,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",https://www.imdb.com/title/tt2869728/?ref_=sr_i_35
36. Don't Breathe,2016,1h 28m,R,7.1,312K,,"Three delinquents break into the house of a war veteran who is blind to steal his money. However, they discover that the man is not as defenseless as he seems.",https://www.imdb.com/title/tt4160708/?ref_=sr_i_36
37. Miss Peregrine's Home for Peculiar Children,2016,2h 7m,PG-13,6.7,196K,,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",https://www.imdb.com/title/tt1935859/?ref_=sr_i_37
38. The Accountant,2016,2h 8m,R,7.3,333K,,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",https://www.imdb.com/title/tt2140479/?ref_=sr_i_38
39. Teenage Mutant Ninja Turtles: Out of the Shadows,2016,1h 52m,PG-13,5.9,102K,,"The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",https://www.imdb.com/title/tt3949660/?ref_=sr_i_39
40. The Purge: Election Year,2016,1h 48m,R,6.0,113K,,"Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",https://www.imdb.com/title/tt4094724/?ref_=sr_i_40
41. Alice Through the Looking Glass,2016,1h 53m,PG,6.2,126K,,"Alice is appointed to save her beloved Mad Hatter from deadly grief by travelling back to the past, but this means fatally harming Time himself, the noble clockwork man with the device needed to save the Hatter's family from the Red Queen.",https://www.imdb.com/title/tt2567026/?ref_=sr_i_41
42. Pete's Dragon,2016,1h 42m,PG,6.7,62K,,"The adventures of an orphaned boy named Pete and his best friend Elliott, who happens to be a dragon.",https://www.imdb.com/title/tt2788732/?ref_=sr_i_42
43. The Girl on the Train,2016,1h 52m,R,6.5,203K,,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,https://www.imdb.com/title/tt3631112/?ref_=sr_i_43
44. Boo! A Madea Halloween,2016,1h 43m,PG-13,4.7,9.6K,,"Madea lands in the midst of mayhem when she spends a haunted Halloween fending off killers, paranormal poltergeists, ghosts, ghouls, and zombies while keeping a watchful eye on her wild teenage great-niece.",https://www.imdb.com/title/tt5325452/?ref_=sr_i_44
45. Storks,2016,1h 27m,PG,6.8,69K,,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",https://www.imdb.com/title/tt4624424/?ref_=sr_i_45
46. 10 Cloverfield Lane,2016,1h 43m,PG-13,7.2,365K,,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,https://www.imdb.com/title/tt1179933/?ref_=sr_i_46
47. Lights Out,2016,1h 21m,PG-13,6.3,146K,,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",https://www.imdb.com/title/tt4786282/?ref_=sr_i_47
48. Hacksaw Ridge,2016,2h 19m,R,8.1,619K,,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",https://www.imdb.com/title/tt2119532/?ref_=sr_i_48
49. Allegiant,2016,2h,PG-13,5.7,138K,,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago to finally discover the shocking truth of the world outside.",https://www.imdb.com/title/tt3410834/?ref_=sr_i_49
50. Now You See Me 2,2016,2h 9m,PG-13,6.4,331K,,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",https://www.imdb.com/title/tt3110958/?ref_=sr_i_50
51. Ice Age: Collision Course,2016,1h 34m,PG,5.7,79K,,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",https://www.imdb.com/title/tt3416828/?ref_=sr_i_51
52. The Boss,2016,1h 39m,R,5.4,49K,,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.",https://www.imdb.com/title/tt2702724/?ref_=sr_i_52
53. London Has Fallen,2016,1h 39m,R,5.9,173K,,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",https://www.imdb.com/title/tt3300542/?ref_=sr_i_53
54. Miracles from Heaven,2016,1h 49m,PG,7.1,29K,,Based on the incredible true story of the Beam family.,https://www.imdb.com/title/tt4257926/?ref_=sr_i_54
55. Deepwater Horizon,2016,1h 47m,PG-13,7.1,188K,,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in history.",https://www.imdb.com/title/tt1860357/?ref_=sr_i_55
56. Why Him?,2016,1h 51m,R,6.2,128K,,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,https://www.imdb.com/title/tt4501244/?ref_=sr_i_56
57. My Big Fat Greek Wedding 2,2016,1h 34m,PG-13,6.0,36K,,A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.,https://www.imdb.com/title/tt3760922/?ref_=sr_i_57
58. Jack Reacher: Never Go Back,2016,1h 58m,PG-13,6.2,182K,,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,https://www.imdb.com/title/tt3393786/?ref_=sr_i_58
59. Fences,2016,2h 19m,PG-13,7.2,120K,,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",https://www.imdb.com/title/tt2671706/?ref_=sr_i_59
60. Me Before You,2016,1h 50m,PG-13,7.4,301K,,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,https://www.imdb.com/title/tt2674426/?ref_=sr_i_60
61. The BFG,2016,1h 57m,PG,6.3,95K,,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",https://www.imdb.com/title/tt3691740/?ref_=sr_i_61
62. Neighbors 2: Sorority Rising,2016,1h 32m,R,5.7,133K,,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity that lived there before, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",https://www.imdb.com/title/tt4438848/?ref_=sr_i_62
63. The Shallows,2016,1h 26m,PG-13,6.3,147K,,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",https://www.imdb.com/title/tt4052882/?ref_=sr_i_63
64. Office Christmas Party,2016,1h 45m,R,5.9,90K,,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",https://www.imdb.com/title/tt1711525/?ref_=sr_i_64
65. Assassin's Creed,2016,1h 55m,PG-13,5.6,212K,,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",https://www.imdb.com/title/tt2094766/?ref_=sr_i_65
66. Barbershop: The Next Cut,2016,1h 51m,PG-13,5.9,16K,,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.",https://www.imdb.com/title/tt3628584/?ref_=sr_i_66
67. 13 Hours: The Secret Soldiers of Benghazi,2016,2h 24m,R,7.3,167K,,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",https://www.imdb.com/title/tt4172430/?ref_=sr_i_67
68. Lion,2016,1h 58m,PG-13,8.0,256K,,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",https://www.imdb.com/title/tt3741834/?ref_=sr_i_68
69. The Huntsman: Winter's War,2016,1h 54m,PG-13,6.1,122K,,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",https://www.imdb.com/title/tt2381991/?ref_=sr_i_69
70. Kubo and the Two Strings,2016,1h 41m,PG,7.7,141K,,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,https://www.imdb.com/title/tt4302938/?ref_=sr_i_70
