Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,director,budget,opening_weekend_Gross,grossWorldWide,gross_US_Canada,countries_origin,filming_locations,production_company,awards_content,genres,Languages,release_date,stars
49. Now You See Me 2,2016,2h 9m,PG-13,6.4,331K,46,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",https://www.imdb.com/title/tt3110958/?ref_=sr_i_49,,,,,,,,,,,,,,
50. Ice Age: Collision Course,2016,1h 34m,PG,5.7,79K,34,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",https://www.imdb.com/title/tt3416828/?ref_=sr_i_50,,,,,,,,,,,,,,
51. The Boss,2016,1h 39m,R,5.4,49K,40,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.",https://www.imdb.com/title/tt2702724/?ref_=sr_i_51,,,,,,,,,,,,,,
52. London Has Fallen,2016,1h 39m,R,5.9,173K,28,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",https://www.imdb.com/title/tt3300542/?ref_=sr_i_52,,,,,,,,,,,,,,
53. Miracles from Heaven,2016,1h 49m,PG,7.1,29K,44,Based on the incredible true story of the Beam family.,https://www.imdb.com/title/tt4257926/?ref_=sr_i_53,,,,,,,,,,,,,,
54. Deepwater Horizon,2016,1h 47m,PG-13,7.1,188K,68,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in history.",https://www.imdb.com/title/tt1860357/?ref_=sr_i_54,,,,,,,,,,,,,,
55. Why Him?,2016,1h 51m,R,6.2,129K,39,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,https://www.imdb.com/title/tt4501244/?ref_=sr_i_55,,,,,,,,,,,,,,
56. My Big Fat Greek Wedding 2,2016,1h 34m,PG-13,6.0,36K,37,A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.,https://www.imdb.com/title/tt3760922/?ref_=sr_i_56,,,,,,,,,,,,,,
57. Jack Reacher: Never Go Back,2016,1h 58m,PG-13,6.2,182K,47,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,https://www.imdb.com/title/tt3393786/?ref_=sr_i_57,,,,,,,,,,,,,,
58. Fences,2016,2h 19m,PG-13,7.2,121K,79,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",https://www.imdb.com/title/tt2671706/?ref_=sr_i_58,,,,,,,,,,,,,,
59. Me Before You,2016,1h 50m,PG-13,7.4,302K,51,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,https://www.imdb.com/title/tt2674426/?ref_=sr_i_59,,,,,,,,,,,,,,
60. The BFG,2016,1h 57m,PG,6.3,96K,66,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",https://www.imdb.com/title/tt3691740/?ref_=sr_i_60,,,,,,,,,,,,,,
61. Neighbors 2: Sorority Rising,2016,1h 32m,R,5.7,133K,58,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity that lived there before, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",https://www.imdb.com/title/tt4438848/?ref_=sr_i_61,,,,,,,,,,,,,,
62. The Shallows,2016,1h 26m,PG-13,6.3,147K,59,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",https://www.imdb.com/title/tt4052882/?ref_=sr_i_62,,,,,,,,,,,,,,
63. Office Christmas Party,2016,1h 45m,R,5.9,91K,42,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",https://www.imdb.com/title/tt1711525/?ref_=sr_i_63,,,,,,,,,,,,,,
64. Assassin's Creed,2016,1h 55m,PG-13,5.6,212K,36,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",https://www.imdb.com/title/tt2094766/?ref_=sr_i_64,,,,,,,,,,,,,,
65. Barbershop: The Next Cut,2016,1h 51m,PG-13,5.9,16K,67,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.",https://www.imdb.com/title/tt3628584/?ref_=sr_i_65,,,,,,,,,,,,,,
66. 13 Hours: The Secret Soldiers of Benghazi,2016,2h 24m,R,7.3,167K,48,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",https://www.imdb.com/title/tt4172430/?ref_=sr_i_66,,,,,,,,,,,,,,
67. Lion,2016,1h 58m,PG-13,8.0,256K,69,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",https://www.imdb.com/title/tt3741834/?ref_=sr_i_67,,,,,,,,,,,,,,
68. The Huntsman: Winter's War,2016,1h 54m,PG-13,6.1,122K,35,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",https://www.imdb.com/title/tt2381991/?ref_=sr_i_68,,,,,,,,,,,,,,
69. Kubo and the Two Strings,2016,1h 41m,PG,7.7,141K,84,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,https://www.imdb.com/title/tt4302938/?ref_=sr_i_69,,,,,,,,,,,,,,
70. Manchester by the Sea,2016,2h 17m,R,7.8,326K,96,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,https://www.imdb.com/title/tt4034228/?ref_=sr_i_70,,,,,,,,,,,,,,
71. Warcraft,2016,2h 3m,PG-13,6.7,286K,32,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",https://www.imdb.com/title/tt0803096/?ref_=sr_i_71,,,,,,,,,,,,,,
72. How to Be Single,2016,1h 50m,R,6.1,96K,51,A group of young adults navigate love and relationships in New York City.,https://www.imdb.com/title/tt1292566/?ref_=sr_i_72,,,,,,,,,,,,,,
73. Mike and Dave Need Wedding Dates,2016,1h 38m,R,6.0,97K,51,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",https://www.imdb.com/title/tt2823054/?ref_=sr_i_73,,,,,,,,,,,,,,
74. The Great Wall,2016,1h 43m,PG-13,5.9,151K,42,"In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",https://www.imdb.com/title/tt2034800/?ref_=sr_i_74,,,,,,,,,,,,,,
75. War Dogs,2016,1h 54m,R,7.1,270K,57,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",https://www.imdb.com/title/tt2005151/?ref_=sr_i_75,,,,,,,,,,,,,,
76. Almost Christmas,2016,1h 51m,PG-13,6.2,8.7K,55,A dysfunctional family gathers for their first Christmas since their mother died.,https://www.imdb.com/title/tt4649416/?ref_=sr_i_76,,,,,,,,,,,,,,
77. Money Monster,2016,1h 38m,R,6.5,108K,55,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes them and their crew as hostage.,https://www.imdb.com/title/tt2241351/?ref_=sr_i_77,,,,,,,,,,,,,,
78. Allied,2016,2h 4m,R,7.1,174K,60,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",https://www.imdb.com/title/tt3640424/?ref_=sr_i_78,,,,,,,,,,,,,,
79. Nerve,2016,1h 36m,PG-13,6.5,143K,58,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",https://www.imdb.com/title/tt3531824/?ref_=sr_i_79,,,,,,,,,,,,,,
80. Risen,2016,1h 47m,PG-13,6.3,31K,51,"In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of Jesus Christ, who rose from the dead.",https://www.imdb.com/title/tt3231054/?ref_=sr_i_80,,,,,,,,,,,,,,
81. The Nice Guys,2016,1h 56m,R,7.4,386K,70,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",https://www.imdb.com/title/tt3799694/?ref_=sr_i_81,,,,,,,,,,,,,,
82. The Boy,2016,1h 37m,PG-13,6.0,104K,42,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",https://www.imdb.com/title/tt3882082/?ref_=sr_i_82,,,,,,,,,,,,,,
83. Dirty Grandpa,2016,1h 42m,R,5.9,136K,21,"Right before his wedding, an uptight corporate lawyer is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",https://www.imdb.com/title/tt1860213/?ref_=sr_i_83,,,,,,,,,,,,,,
84. Ouija: Origin of Evil,2016,1h 39m,PG-13,6.2,78K,65,"In 1967 Los Angeles, a widowed mother's daughter tries to communicate with her late father through a Ouija board, but unleashes a demon instead.",https://www.imdb.com/title/tt4361050/?ref_=sr_i_84,,,,,,,,,,,,,,
85. The 5th Wave,2016,1h 52m,PG-13,5.2,120K,33,"Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.",https://www.imdb.com/title/tt2304933/?ref_=sr_i_85,,,,,,,,,,,,,,
86. Inferno,2016,2h 1m,PG-13,6.2,194K,42,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.",https://www.imdb.com/title/tt3062096/?ref_=sr_i_86,,,,,,,,,,,,,,
87. Monster Trucks,2016,1h 44m,PG,5.7,19K,41,A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.,https://www.imdb.com/title/tt3095734/?ref_=sr_i_87,,,,,,,,,,,,,,
88. Mother's Day,2016,1h 58m,PG-13,5.7,41K,18,Three generations come together in the week leading up to Mother's Day.,https://www.imdb.com/title/tt4824302/?ref_=sr_i_88,,,,,,,,,,,,,,
89. Patriots Day,2016,2h 13m,R,7.3,116K,69,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",https://www.imdb.com/title/tt4572514/?ref_=sr_i_89,,,,,,,,,,,,,,
90. Gods of Egypt,2016,2h 7m,PG-13,5.4,129K,25,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",https://www.imdb.com/title/tt2404233/?ref_=sr_i_90,,,,,,,,,,,,,,
91. Collateral Beauty,2016,1h 37m,PG-13,6.8,107K,23,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",https://www.imdb.com/title/tt4682786/?ref_=sr_i_91,,,,,,,,,,,,,,
"92. Hail, Caesar!",2016,1h 46m,PG-13,6.3,145K,72,A Hollywood fixer in the 1950s works to keep the studio's stars in line.,https://www.imdb.com/title/tt0475290/?ref_=sr_i_92,,,,,,,,,,,,,,
93. Underworld: Blood Wars,2016,1h 31m,R,5.8,83K,23,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,https://www.imdb.com/title/tt3717252/?ref_=sr_i_93,,,,,,,,,,,,,,
94. When the Bough Breaks,2016,1h 47m,PG-13,5.2,8.3K,28,A surrogate mom for a couple becomes dangerously obsessed with the soon-to-be father.,https://www.imdb.com/title/tt1389139/?ref_=sr_i_94,,,,,,,,,,,,,,
95. Zoolander 2,2016,1h 41m,PG-13,4.7,78K,34,"Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.",https://www.imdb.com/title/tt1608290/?ref_=sr_i_95,,,,,,,,,,,,,,
96. Moonlight,2016,1h 51m,R,7.4,338K,99,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",https://www.imdb.com/title/tt4975722/?ref_=sr_i_96,,,,,,,,,,,,,,
97. The Finest Hours,2016,1h 57m,PG-13,6.7,72K,58,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,https://www.imdb.com/title/tt2025690/?ref_=sr_i_97,,,,,,,,,,,,,,
98. Florence Foster Jenkins,2016,1h 51m,PG-13,6.8,61K,71,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",https://www.imdb.com/title/tt4136084/?ref_=sr_i_98,,,,,,,,,,,,,,
99. Hell or High Water,2016,1h 42m,R,7.6,260K,88,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",https://www.imdb.com/title/tt2582782/?ref_=sr_i_99,,,,,,,,,,,,,,
100. Resident Evil: The Final Chapter,2016,1h 47m,R,5.5,103K,49,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",https://www.imdb.com/title/tt2592614/?ref_=sr_i_100,,,,,,,,,,,,,,
101. The Forest,2016,1h 33m,PG-13,4.8,46K,34,A young woman's desperate search for her twin sister brings her to a ghost-filled stretch of wilderness known as the 'Suicide Forest.',https://www.imdb.com/title/tt3387542/?ref_=sr_i_101,,,,,,,,,,,,,,
102. Ben-Hur,2016,2h 3m,PG-13,5.7,48K,38,"Judah Ben-Hur, a Jewish prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption.",https://www.imdb.com/title/tt2638144/?ref_=sr_i_102,,,,,,,,,,,,,,
103. Leap!,2016,1h 29m,PG,6.8,25K,48,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera House.",https://www.imdb.com/title/tt2261287/?ref_=sr_i_103,,,,,,,,,,,,,,
104. Bridget Jones's Baby,2016,2h 3m,R,6.4,84K,59,"Bridget Jones' focus on her single and professional life is interrupted when she discovers she is pregnant, but is unsure of the identity of the father.",https://www.imdb.com/title/tt1473832/?ref_=sr_i_104,,,,,,,,,,,,,,
105. Kevin Hart: What Now?,2016,1h 36m,R,6.0,10K,60,"Comedian Kevin Hart performs in front of a crowd of 53,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",https://www.imdb.com/title/tt4669186/?ref_=sr_i_105,,,,,,,,,,,,,,
