Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,director,budget,opening_weekend_Gross,grossWorldWide,gross_US_Canada,countries_origin,filming_locations,production_company,awards_content,genres,Languages,release_date,stars
106. Whiskey Tango Foxtrot,2016,1h 52m,R,6.6,58K,57,A journalist recounts her wartime coverage in Afghanistan.,https://www.imdb.com/title/tt3553442/?ref_=sr_i_106,,,,,,,,,,,,,,
107. Snowden,2016,2h 14m,R,7.3,166K,58,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",https://www.imdb.com/title/tt3774114/?ref_=sr_i_107,,,,,,,,,,,,,,
108. Mechanic: Resurrection,2016,1h 38m,R,5.7,97K,38,Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.,https://www.imdb.com/title/tt3522806/?ref_=sr_i_108,,,,,,,,,,,,,,
109. Free State of Jones,2016,2h 19m,R,6.9,65K,53,A disillusioned Confederate Army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,https://www.imdb.com/title/tt1124037/?ref_=sr_i_109,,,,,,,,,,,,,,
110. Blair Witch,2016,1h 29m,R,5.0,51K,47,"After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.",https://www.imdb.com/title/tt1540011/?ref_=sr_i_110,,,,,,,,,,,,,,
111. God's Not Dead 2,2016,2h,PG,4.3,14K,22,"When a high school teacher is asked a question in class about Jesus, her response lands her in deep trouble.",https://www.imdb.com/title/tt4824308/?ref_=sr_i_111,,,,,,,,,,,,,,
112. Keanu,2016,1h 40m,R,6.2,53K,63,"When the adorable kitten of an L.A. crime kingpin unexpectedly enters the life of two cousins, they will have to go through tough gangs, pitiless hit-men, and ruthless drug dealers who all claim him, to get him back. How hard can it be?",https://www.imdb.com/title/tt4139124/?ref_=sr_i_112,,,,,,,,,,,,,,
113. Middle School: The Worst Years of My Life,2016,1h 32m,PG,6.1,10K,51,"After his new principal Dwight destroys his sketchbook, Rafe Khatchadorian and his best friend Leo decide to metaphorically destroy Dwight's book by breaking every rule in the school's Code of Conduct.",https://www.imdb.com/title/tt4981636/?ref_=sr_i_113,,,,,,,,,,,,,,
114. Nine Lives,2016,1h 27m,PG,5.3,25K,11,A stuffy businessman finds himself trapped inside the body of his family's cat.,https://www.imdb.com/title/tt4383594/?ref_=sr_i_114,,,,,,,,,,,,,,
115. Race,2016,2h 14m,PG-13,7.1,42K,56,"Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.",https://www.imdb.com/title/tt3499096/?ref_=sr_i_115,,,,,,,,,,,,,,
116. The Choice,2016,1h 51m,PG-13,6.5,47K,26,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,https://www.imdb.com/title/tt3797868/?ref_=sr_i_116,,,,,,,,,,,,,,
117. Bad Santa 2,2016,1h 32m,R,5.6,30K,38,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",https://www.imdb.com/title/tt1798603/?ref_=sr_i_117,,,,,,,,,,,,,,
118. Norm of the North,2016,1h 30m,PG,3.4,10K,21,"When a real estate development invades his Arctic home, Norm and his three lemming friends head to New York City, where Norm becomes the mascot of the corporation in an attempt to bring it down from the inside and protect his homeland.",https://www.imdb.com/title/tt1594972/?ref_=sr_i_118,,,,,,,,,,,,,,
119. The Birth of a Nation,2016,2h,R,6.5,22K,69,"Nat Turner, a literate slave and preacher in the antebellum South, orchestrates an uprising.",https://www.imdb.com/title/tt4196450/?ref_=sr_i_119,,,,,,,,,,,,,,
120. A Beautiful Planet,2016,46m,G,7.3,1.5K,75,An exploration of Earth and beyond as seen from the International Space Station. Narrated by Jennifer Lawrence.,https://www.imdb.com/title/tt2800050/?ref_=sr_i_120,,,,,,,,,,,,,,
121. The Infiltrator,2016,2h 7m,R,7.0,81K,66,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,https://www.imdb.com/title/tt1355631/?ref_=sr_i_121,,,,,,,,,,,,,,
122. Keeping Up with the Joneses,2016,1h 45m,PG-13,5.9,70K,34,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,https://www.imdb.com/title/tt2387499/?ref_=sr_i_122,,,,,,,,,,,,,,
123. Criminal,2016,1h 53m,R,6.3,72K,36,A dangerous convict receives an implant containing the memories and skills of a dead CIA agent.,https://www.imdb.com/title/tt3014866/?ref_=sr_i_123,,,,,,,,,,,,,,
124. The Edge of Seventeen,2016,1h 44m,R,7.3,144K,77,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",https://www.imdb.com/title/tt1878870/?ref_=sr_i_124,,,,,,,,,,,,,,
125. Love & Friendship,2016,1h 30m,PG,6.4,27K,87,"Lady Susan Vernon takes up temporary residence at her in-laws' estate and, while there, is determined to be a matchmaker for her daughter Frederica--and herself too, naturally.",https://www.imdb.com/title/tt3068194/?ref_=sr_i_125,,,,,,,,,,,,,,
126. Jackie,2016,1h 40m,R,6.6,85K,81,"Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.",https://www.imdb.com/title/tt1619029/?ref_=sr_i_126,,,,,,,,,,,,,,
127. Born in China,2016,1h 19m,G,7.2,4.2K,57,"Venturing into the wilds of China, ""Born in China"" captures intimate moments with a panda and her growing cub, a young golden monkey who feels displaced by his baby sister, and a mother snow leopard struggling to raise her two cubs.",https://www.imdb.com/title/tt4629266/?ref_=sr_i_127,,,,,,,,,,,,,,
128. Hillary's America: The Secret History of the Democratic Party,2016,1h 46m,PG-13,4.8,8K,2,Documentarian Dinesh D'Souza analyzes the history of the Democratic Party and what he thinks are Hillary Clinton's true motivations.,https://www.imdb.com/title/tt5646136/?ref_=sr_i_128,,,,,,,,,,,,,,
129. The Founder,2016,1h 55m,PG-13,7.2,187K,66,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",https://www.imdb.com/title/tt4276820/?ref_=sr_i_129,,,,,,,,,,,,,,
130. Triple 9,2016,1h 55m,R,6.3,79K,52,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,https://www.imdb.com/title/tt1712261/?ref_=sr_i_130,,,,,,,,,,,,,,
131. The Light Between Oceans,2016,2h 13m,PG-13,7.2,61K,60,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.,https://www.imdb.com/title/tt2547584/?ref_=sr_i_131,,,,,,,,,,,,,,
132. Dangal,2016,2h 41m,Not Rated,8.3,220K,,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",https://www.imdb.com/title/tt5074352/?ref_=sr_i_132,,,,,,,,,,,,,,
133. Fifty Shades of Black,2016,1h 32m,R,3.5,24K,28,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,https://www.imdb.com/title/tt4667094/?ref_=sr_i_133,,,,,,,,,,,,,,
134. No Manches Frida,2016,1h 54m,PG-13,5.5,2.8K,,"Zequi, a recently released bank robber who goes to recover stolen money buried by his ditzy accomplice before going to jail.",https://www.imdb.com/title/tt5259966/?ref_=sr_i_134,,,,,,,,,,,,,,
135. Café Society,2016,1h 36m,PG-13,6.6,83K,64,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",https://www.imdb.com/title/tt4513674/?ref_=sr_i_135,,,,,,,,,,,,,,
136. Pride and Prejudice and Zombies,2016,1h 48m,PG-13,5.8,62K,45,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,https://www.imdb.com/title/tt1374989/?ref_=sr_i_136,,,,,,,,,,,,,,
137. The Darkness,2016,1h 32m,PG-13,4.5,17K,27,"A family unknowingly awakens an ancient supernatural entity on a Grand Canyon vacation, and must fight for survival when it follows them home.",https://www.imdb.com/title/tt1878841/?ref_=sr_i_137,,,,,,,,,,,,,,
138. Nocturnal Animals,2016,1h 56m,R,7.4,324K,67,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",https://www.imdb.com/title/tt4550098/?ref_=sr_i_138,,,,,,,,,,,,,,
139. Live by Night,2016,2h 9m,R,6.4,61K,49,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",https://www.imdb.com/title/tt2361317/?ref_=sr_i_139,,,,,,,,,,,,,,
140. The Belko Experiment,2016,1h 29m,R,6.2,62K,44,"In a twisted social experiment, eighty Americans are locked in their high-rise corporate office in Bogotá, Colombia, and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",https://www.imdb.com/title/tt1082807/?ref_=sr_i_140,,,,,,,,,,,,,,
141. The Perfect Match,2016,1h 36m,R,4.9,4.5K,41,"A playboy named Charlie, convinced that all his relationships are dead, meets the beautiful and mysterious Eva. Agreeing to a casual affair, Charlie then wants a bit more from their relationship.",https://www.imdb.com/title/tt4871980/?ref_=sr_i_141,,,,,,,,,,,,,,
142. Popstar: Never Stop Never Stopping,2016,1h 27m,R,6.7,70K,68,"When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status.",https://www.imdb.com/title/tt3960412/?ref_=sr_i_142,,,,,,,,,,,,,,
143. Rock Dog,2016,1h 30m,PG,6.0,6.2K,48,"When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",https://www.imdb.com/title/tt2822672/?ref_=sr_i_143,,,,,,,,,,,,,,
144. Meet the Blacks,2016,1h 34m,R,4.8,38K,26,"As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours.",https://www.imdb.com/title/tt4191580/?ref_=sr_i_144,,,,,,,,,,,,,,
145. Queen of Katwe,2016,2h 4m,PG,7.4,19K,73,"Living in the slum of Katwe in Kampala, Uganda, is a constant struggle for 10-year-old Phiona and her family. Her world changes one day when she meets Robert Katende, a missionary who teaches children how to play chess.",https://www.imdb.com/title/tt4341582/?ref_=sr_i_145,,,,,,,,,,,,,,
146. Ratchet & Clank,2016,1h 34m,PG,5.5,12K,29,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.",https://www.imdb.com/title/tt2865120/?ref_=sr_i_146,,,,,,,,,,,,,,
147. The Lost City of Z,2016,2h 21m,PG-13,6.6,101K,78,"A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.",https://www.imdb.com/title/tt1212428/?ref_=sr_i_147,,,,,,,,,,,,,,
148. The Promise,2016,2h 13m,PG-13,6.1,179K,49,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",https://www.imdb.com/title/tt4776998/?ref_=sr_i_148,,,,,,,,,,,,,,
149. A Cure for Wellness,2016,2h 26m,R,6.4,113K,47,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",https://www.imdb.com/title/tt4731136/?ref_=sr_i_149,,,,,,,,,,,,,,
150. The Wild Life,2016,1h 31m,PG,5.4,6.8K,36,A daring parrot recounts how Robinson Crusoe came to be stranded on a tropical island.,https://www.imdb.com/title/tt4731008/?ref_=sr_i_150,,,,,,,,,,,,,,
151. Loving,2016,2h 3m,PG-13,7.0,38K,79,"The story of Richard and Mildred Loving, a couple whose arrest for interracial marriage in 1960s Virginia began a legal battle that would end with the Supreme Court's historic 1967 decision.",https://www.imdb.com/title/tt4669986/?ref_=sr_i_151,,,,,,,,,,,,,,
152. Gold,2016,2h,R,6.7,71K,49,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",https://www.imdb.com/title/tt1800302/?ref_=sr_i_152,,,,,,,,,,,,,,
153. I Am Not Your Negro,2016,1h 33m,PG-13,7.9,24K,95,"Writer James Baldwin tells the story of race in modern America with his unfinished novel, Remember This House.",https://www.imdb.com/title/tt5804038/?ref_=sr_i_153,,,,,,,,,,,,,,
154. Silence,2016,2h 41m,R,7.2,126K,79,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",https://www.imdb.com/title/tt0490215/?ref_=sr_i_154,,,,,,,,,,,,,,
155. Birth of the Dragon,2016,1h 35m,PG-13,5.7,9K,35,"Set against the backdrop of 1960s San Francisco, BIRTH OF THE DRAGON is a modern take on the classic movies that Bruce Lee was known for. It takes its inspiration from the epic and still controversial showdown between an up-and-coming Bruce Lee and kung fu master Wong Jack Man - a battle that gave birth to a legend.",https://www.imdb.com/title/tt2720826/?ref_=sr_i_155,,,,,,,,,,,,,,
156. Shut In,2016,1h 31m,PG-13,4.8,15K,25,"A widowed child psychologist lives an isolated existence in rural New England. Caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",https://www.imdb.com/title/tt2582500/?ref_=sr_i_156,,,,,,,,,,,,,,
157. The Brothers Grimsby,2016,1h 23m,R,6.2,114K,44,A new assignment forces a top spy to team up with his football hooligan brother.,https://www.imdb.com/title/tt3381008/?ref_=sr_i_157,,,,,,,,,,,,,,
158. The Young Messiah,2016,1h 51m,PG-13,5.7,4K,33,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.",https://www.imdb.com/title/tt1002563/?ref_=sr_i_158,,,,,,,,,,,,,,
159. Southside with You,2016,1h 24m,PG-13,6.3,10K,74,"Barack Obama, a freshman at Harvard Law School, gets a job at a Chicago law firm under the orders of young Michelle Robinson. After some reluctance, Michelle accepts Obama's invitation for a trip that will change her life.",https://www.imdb.com/title/tt4258698/?ref_=sr_i_159,,,,,,,,,,,,,,
160. Lowriders,2016,1h 38m,PG-13,5.7,2.8K,57,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.",https://www.imdb.com/title/tt1366338/?ref_=sr_i_160,,,,,,,,,,,,,,
161. Sultan,2016,2h 50m,Not Rated,7.1,54K,,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",https://www.imdb.com/title/tt4832640/?ref_=sr_i_161,,,,,,,,,,,,,,
162. Maudie,2016,1h 55m,PG-13,7.6,24K,65,An arthritic Nova Scotia woman works as a housekeeper while she hones her skills as an artist and eventually becomes a beloved figure in the community.,https://www.imdb.com/title/tt3721954/?ref_=sr_i_162,,,,,,,,,,,,,,
163. Captain Fantastic,2016,1h 58m,R,7.8,241K,72,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",https://www.imdb.com/title/tt3553976/?ref_=sr_i_163,,,,,,,,,,,,,,
164. 20th Century Women,2016,1h 59m,R,7.3,51K,83,"In 1979 Santa Barbara, Dorothea is a determined single mother who is raising her son, Jamie. Dorothea enlists the help of two women -- Abbie, a free-spirited punk artist and Julie, a savvy teenager -- to help with Jamie's upbringing.",https://www.imdb.com/title/tt4385888/?ref_=sr_i_164,,,,,,,,,,,,,,
165. Paris Can Wait,2016,1h 32m,PG,5.8,10K,48,The wife of a successful movie producer takes a car trip from the south of France to Paris with one of her husband's associates.,https://www.imdb.com/title/tt4429194/?ref_=sr_i_165,,,,,,,,,,,,,,
166. Hunt for the Wilderpeople,2016,1h 41m,PG-13,7.8,146K,81,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,https://www.imdb.com/title/tt4698684/?ref_=sr_i_166,,,,,,,,,,,,,,
167. Bleed for This,2016,1h 57m,R,6.8,32K,62,"The inspirational story of World Champion Boxer Vinny Pazienza who, after a near fatal car crash which left him not knowing if he'd ever walk again, made one of sports' most incredible comebacks.",https://www.imdb.com/title/tt1620935/?ref_=sr_i_167,,,,,,,,,,,,,,
168. Your Name.,2016,1h 46m,,8.4,343K,81,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",https://www.imdb.com/title/tt5311514/?ref_=sr_i_168,,,,,,,,,,,,,,
169. Incarnate,2016,1h 27m,PG-13,5.3,14K,30,"A scientist with the ability to enter the subconscious minds of the possessed must save a young boy from the grips of a demon with powers never seen before, while facing the horrors of his past.",https://www.imdb.com/title/tt3216348/?ref_=sr_i_169,,,,,,,,,,,,,,
170. Absolutely Fabulous: The Movie,2016,1h 31m,R,5.4,13K,59,"After attracting both media and police attention for accidentally knocking Kate Moss into the River Thames, Edina and Patsy hide out in the south of France.",https://www.imdb.com/title/tt2112096/?ref_=sr_i_170,,,,,,,,,,,,,,
171. Hands of Stone,2016,1h 51m,R,6.6,18K,54,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,https://www.imdb.com/title/tt1781827/?ref_=sr_i_171,,,,,,,,,,,,,,
172. Don't Think Twice,2016,1h 32m,R,6.7,18K,83,"When a member of a popular New York City improv troupe gets a huge break, the rest of the group - all best friends - start to realize that not everyone is going to make it after all.",https://www.imdb.com/title/tt4972062/?ref_=sr_i_172,,,,,,,,,,,,,,
173. Ae Dil Hai Mushkil,2016,2h 38m,Not Rated,5.9,27K,40,"A story about unrequited love - the shapes it takes, the ways it changes us and the exhilarating and often heartbreaking ride it takes us on. It is the journey of three characters, Ayan, Alizeh and Saba, as their lives intertwine and they navigate life, love and heartbreak.",https://www.imdb.com/title/tt4559006/?ref_=sr_i_173,,,,,,,,,,,,,,
174. A Hologram for the King,2016,1h 38m,R,6.1,48K,58,A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,https://www.imdb.com/title/tt2980210/?ref_=sr_i_174,,,,,,,,,,,,,,
175. Swiss Army Man,2016,1h 37m,R,6.9,136K,64,"A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home.",https://www.imdb.com/title/tt4034354/?ref_=sr_i_175,,,,,,,,,,,,,,
176. Denial,2016,1h 49m,PG-13,6.8,24K,63,"Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel.",https://www.imdb.com/title/tt4645330/?ref_=sr_i_176,,,,,,,,,,,,,,
177. Sleight,2016,1h 29m,R,5.9,9.4K,62,"Struggling to raise his little sister on his own, a young street magician turns to drug dealing, unaware of how ruthless his supplier can be.",https://www.imdb.com/title/tt4573516/?ref_=sr_i_177,,,,,,,,,,,,,,
178. Morgan,2016,1h 32m,R,5.8,47K,48,A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.,https://www.imdb.com/title/tt4520364/?ref_=sr_i_178,,,,,,,,,,,,,,
179. Kabali,2016,2h 33m,Not Rated,6.1,15K,,A reformed gangster is released from prison and attempts to protect his family from his enemies.,https://www.imdb.com/title/tt5071886/?ref_=sr_i_179,,,,,,,,,,,,,,
180. A United Kingdom,2016,1h 51m,PG-13,6.9,17K,65,"The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.",https://www.imdb.com/title/tt3387266/?ref_=sr_i_180,,,,,,,,,,,,,,
181. Max Steel,2016,1h 32m,PG-13,4.6,21K,22,"The adventures of teenager Max McGrath and his alien companion, Steel, who must harness and combine their tremendous new powers to evolve into the turbo-charged superhero Max Steel.",https://www.imdb.com/title/tt1472584/?ref_=sr_i_181,,,,,,,,,,,,,,
182. Norman,2016,1h 58m,R,6.1,6.7K,75,"Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",https://www.imdb.com/title/tt4191702/?ref_=sr_i_182,,,,,,,,,,,,,,
183. Batman: The Killing Joke,2016,1h 16m,Not Rated,6.4,63K,,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",https://www.imdb.com/title/tt4853102/?ref_=sr_i_183,,,,,,,,,,,,,,
184. Friend Request,2016,1h 32m,R,5.2,28K,31,"When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.",https://www.imdb.com/title/tt3352390/?ref_=sr_i_184,,,,,,,,,,,,,,
185. A Monster Calls,2016,1h 48m,PG-13,7.4,96K,76,"Conor, a twelve-year-old boy, encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.",https://www.imdb.com/title/tt3416532/?ref_=sr_i_185,,,,,,,,,,,,,,
186. Midnight Special,2016,1h 52m,PG-13,6.6,85K,76,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.",https://www.imdb.com/title/tt2649554/?ref_=sr_i_186,,,,,,,,,,,,,,
187. Rules Don't Apply,2016,2h 7m,PG-13,5.7,12K,60,"The unconventional love story of an aspiring actress, her ambitious driver, and their eccentric boss, the legendary billionaire Howard Hughes.",https://www.imdb.com/title/tt1974420/?ref_=sr_i_187,,,,,,,,,,,,,,
188. Their Finest,2016,1h 57m,R,6.8,22K,76,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.",https://www.imdb.com/title/tt1661275/?ref_=sr_i_188,,,,,,,,,,,,,,
189. Miss Sloane,2016,2h 12m,R,7.5,85K,64,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",https://www.imdb.com/title/tt4540710/?ref_=sr_i_189,,,,,,,,,,,,,,
190. Indignation,2016,1h 50m,R,6.7,13K,78,"In 1951, Marcus, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with sexual repression and cultural disaffection, amid the ongoing Korean War.",https://www.imdb.com/title/tt4193394/?ref_=sr_i_190,,,,,,,,,,,,,,
191. Everybody Wants Some!!,2016,1h 57m,R,6.9,62K,85,"In 1980 Texas, a college freshman moves into an old frat house with his new baseball teammates as they party their way through the final weekend of Summer.",https://www.imdb.com/title/tt2937696/?ref_=sr_i_191,,,,,,,,,,,,,,
192. Sing Street,2016,1h 46m,PG-13,7.9,103K,79,"A young lad notices a beautiful girl who begins to occupy his thoughts. While struggling with poverty, personal relationships and life's woes, he starts a band, hoping to catch her attention.",https://www.imdb.com/title/tt3544112/?ref_=sr_i_192,,,,,,,,,,,,,,
193. The Mermaid,2016,1h 34m,R,6.2,10K,69,"Shan, a mermaid, is sent to assassinate Xuan, a developer who threatens the ecosystem of her race, but ends up falling in love with him instead.",https://www.imdb.com/title/tt4701660/?ref_=sr_i_193,,,,,,,,,,,,,,
194. The Eagle Huntress,2016,1h 27m,G,7.5,4.2K,72,Thirteen-year-old Aisholpan trains to become the first female in twelve generations of her nomad family to become an eagle huntress.,https://www.imdb.com/title/tt3882074/?ref_=sr_i_194,,,,,,,,,,,,,,
195. Our Kind of Traitor,2016,1h 48m,R,6.2,24K,57,"A couple finds themselves lured into a Russian oligarch's plans to defect, and are soon positioned between the Russian Mafia and the British Secret Service, neither of whom they can trust.",https://www.imdb.com/title/tt1995390/?ref_=sr_i_195,,,,,,,,,,,,,,
196. Compadres,2016,1h 41m,R,4.8,1.2K,28,"As former cop Garza seeks revenge on Santos, the crime lord who framed him, he forms an unlikely team with a young hacker who successfully stole $10 million from Santos.",https://www.imdb.com/title/tt3367294/?ref_=sr_i_196,,,,,,,,,,,,,,
197. Colossal,2016,1h 49m,R,6.2,71K,70,"Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",https://www.imdb.com/title/tt4680182/?ref_=sr_i_197,,,,,,,,,,,,,,
198. The Other Side of the Door,2016,1h 36m,R,5.3,20K,41,"After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.",https://www.imdb.com/title/tt3702652/?ref_=sr_i_198,,,,,,,,,,,,,,
199. Anthropoid,2016,2h,R,7.2,56K,59,"Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.",https://www.imdb.com/title/tt4190530/?ref_=sr_i_199,,,,,,,,,,,,,,
200. The Beatles: Eight Days a Week - The Touring Years,2016,1h 46m,Not Rated,7.8,14K,72,"A compilation of found footage featuring music, interviews, and stories of The Beatles' 250 concerts from 1963 to 1966.",https://www.imdb.com/title/tt2531318/?ref_=sr_i_200,,,,,,,,,,,,,,
201. Kedi,2016,1h 19m,Not Rated,7.6,16K,78,"A profile of an ancient city and its unique people, seen through the eyes of the most mysterious and beloved animal humans have ever known, the Cat.",https://www.imdb.com/title/tt4420704/?ref_=sr_i_201,,,,,,,,,,,,,,
202. Kapoor & Sons,2016,2h 12m,Not Rated,7.7,29K,,The story about two brothers who visit their dysfunctional family for their grandfather's birthday party.,https://www.imdb.com/title/tt4900716/?ref_=sr_i_202,,,,,,,,,,,,,,
203. LBJ,2016,1h 38m,R,6.5,8K,54,"Lyndon B. Johnson aligns himself with John F. Kennedy, rises to the Presidency, and deals with the civil rights struggles of the 1960s.",https://www.imdb.com/title/tt4778988/?ref_=sr_i_203,,,,,,,,,,,,,,
204. The Disappointments Room,2016,1h 31m,R,3.9,11K,31,A mother and her young son release unimaginable horrors from the attic of their rural dream home.,https://www.imdb.com/title/tt2364897/?ref_=sr_i_204,,,,,,,,,,,,,,
205. The Salesman,2016,2h 4m,PG-13,7.7,66K,85,"While Ranaa and Emad, a married couple, are participating in a production of ""Death of a Salesman,"" she is assaulted in their new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",https://www.imdb.com/title/tt5186714/?ref_=sr_i_205,,,,,,,,,,,,,,
206. Hillsong: Let Hope Rise,2016,1h 43m,PG,6.1,926,43,A documentary on the Australia-based band Hillsong and their rise to prominence as an international church.,https://www.imdb.com/title/tt3850544/?ref_=sr_i_206,,,,,,,,,,,,,,
207. Dear Zindagi,2016,2h 31m,Not Rated,7.4,45K,,"Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.",https://www.imdb.com/title/tt5946128/?ref_=sr_i_207,,,,,,,,,,,,,,
208. Elle,2016,2h 10m,R,7.1,72K,89,A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.,https://www.imdb.com/title/tt3716530/?ref_=sr_i_208,,,,,,,,,,,,,,
209. A Aa,2016,2h 32m,,6.8,4K,,Anand and Anasuya meet each other on a train ride. The two eventually fall in love and have to fight for their relationship.,https://www.imdb.com/title/tt5684466/?ref_=sr_i_209,,,,,,,,,,,,,,
210. Fan,2016,2h 22m,Not Rated,6.8,50K,,Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?,https://www.imdb.com/title/tt3495026/?ref_=sr_i_210,,,,,,,,,,,,,,
