Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. Il trittico dell'amore,1920,,,,,,,https://www.imdb.com/title/tt0925301/?ref_=sr_i_1
2. The Cabinet of Dr. Caligari,1920,1h 7m,Not Rated,8.0,77K,,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",https://www.imdb.com/title/tt0010323/?ref_=sr_i_2
3. The Golem,1920,1h 31m,Unrated,7.2,9.6K,,"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.",https://www.imdb.com/title/tt0011237/?ref_=sr_i_3
4. The Mark of Zorro,1920,1h 19m,Passed,7.0,3.1K,,"A seemingly idiotic fop is really the courageous vigilante Zorro, who seeks to protect the oppressed.",https://www.imdb.com/title/tt0011439/?ref_=sr_i_4
5. Below the Surface,1920,1h,,6.3,85,,"A widely respected deep-sea diver is approached by a ring of con artists who want him to be the front man for a phony scheme to recover gold from sunken ships. When he refuses, they send a sexy young woman to seduce his son, and then blackmail the father into going along with their scheme.",https://www.imdb.com/title/tt0010987/?ref_=sr_i_5
6. Dr. Jekyll and Mr. Hyde,1920,1h 9m,Unrated,6.9,6.7K,,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",https://www.imdb.com/title/tt0011130/?ref_=sr_i_6
7. One Arabian Night,1920,1h 25m,Not Rated,6.0,908,,"The favorite slave girl of a tyrannical sheik falls in love with a cloth merchant. Meanwhile, a hunchback clown suffers unrequited love for a traveling dancer who wants to join the harem.",https://www.imdb.com/title/tt0011742/?ref_=sr_i_7
8. Way Down East,1920,2h 25m,Passed,7.3,6.3K,,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",https://www.imdb.com/title/tt0011841/?ref_=sr_i_8
9. Within Our Gates,1920,1h 19m,Not Rated,6.4,4.1K,,"Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",https://www.imdb.com/title/tt0011870/?ref_=sr_i_9
10. The Penalty,1920,1h 30m,Passed,7.3,2.9K,,A deformed criminal mastermind plans to loot the city of San Francisco as well as revenge himself on the doctor who mistakenly amputated his legs.,https://www.imdb.com/title/tt0011565/?ref_=sr_i_10
11. Genuine: The Tragedy of a Vampire,1920,1h 28m,,5.9,1.3K,,"Genuine is an ancient and cruel divinity, who seduces men and induce them to kill as a proof of love.",https://www.imdb.com/title/tt0011221/?ref_=sr_i_11
12. Anna Boleyn,1920,2h 13m,Not Rated,6.5,888,,"The story of the ill-fated second wife of the English king Henry VIII, whose marriage to the Henry led to momentous political and religious turmoil in England.",https://www.imdb.com/title/tt0010962/?ref_=sr_i_12
13. Sex,1920,1h 27m,Not Rated,5.7,363,,A broadway actress uses her sex appeal to ruin a marriage only to dump her lover for a richer prospect.,https://www.imdb.com/title/tt0011679/?ref_=sr_i_13
14. The Man from Snowy River,1920,1h 1m,,4.7,41,,"A country boy, Jim Conroy, is living a dissolute life in the city, running around with vamp Helen Ross. When his father cuts him off, he is dumped by Helen and returns to the bush.",https://www.imdb.com/title/tt0344025/?ref_=sr_i_14
15. The Last of the Mohicans,1920,1h 13m,Not Rated,6.6,1.6K,,"In the midst of the French and Indian War, the eldest daughter of a British officer develops an attraction towards an Indian ally who is the last living warrior of his tribe, the Mohicans.",https://www.imdb.com/title/tt0011387/?ref_=sr_i_15
16. Erotikon,1920,1h 46m,Not Rated,6.3,1.1K,,"EROTIKON surely pushed the boundaries of what was acceptable on the screen in 1920: Irene, the bored wife of a distracted entomologist, pursues a womanizing aviator, but she may actually be in love with Preben, her husband's best friend. Meanwhile, her husband seems to be getting unusually close with his own niece. Stiller obviously delights in teasing his audience with each scandalous plot twist and every salacious leer, and the result is a deliciously subversive comedy that was very much ahead of its time.",https://www.imdb.com/title/tt0011157/?ref_=sr_i_16
17. Go and Get It,1920,1h 10m,,5.1,71,,An intrepid newspaper reporter attempts to solve a series of murders committed by a gorilla carrying the transplanted brain of a human.,https://www.imdb.com/title/tt0011234/?ref_=sr_i_17
18. An Adventuress,1920,50m,,5.1,61,,"As the government of Alpania, a seaside European republic, is threatened by revolutionary monarchists, three American adventurers--Jack Perry, Dick Sayre, and Lyn Brook--arrive in the country and immediately become embroiled in the civil strife. Perry offends the monarchists, who capture him and sentence him to death before a firing squad. Brook rescues his compatriot by bombing the complex, thus killing Perry's captors. Disguised as a woman, Perry infiltrates the royalists' circle where as ""Fedora"" he quickly becomes a court favorite and earns the love of Zana, an Alpanian woman. While Perry carries news of the monarchists' plot to the republicans, Brook, donning feminine attire and calling himself ""Thelma,"" diverts Grand Duke Nebo. Perry is recaptured, but commandeers an enemy airplane to safety. After an automobile chase, Perry eludes the revolutionaries and escapes to America with Zana.",https://www.imdb.com/title/tt0135475/?ref_=sr_i_18
19. Wuthering Heights,1920,1h 30m,,7.0,39,,The first screen adaptation of Emily Bronte's book about star-crossed lovers who demolish themselves and everyone around them with their self-destructive love.,https://www.imdb.com/title/tt0011886/?ref_=sr_i_19
20. Outside the Law,1920,1h 15m,Passed,6.5,838,,"In this early collaboration with director Tod Browning (Dracula, Freaks), Chaney delivers a dual performance of dramatic intensity, starring as Ah Wing, a kind-hearted student of Confucian philosophy, and Black Mike Sylva, a murderous rake of the San Francisco underworld.",https://www.imdb.com/title/tt0012538/?ref_=sr_i_20
21. The Head of Janus,1920,1h 47m,,7.3,183,,Two opposing characters are hidden in the person of the inconspicuous London gentleman Dr. Warren and Janus.,https://www.imdb.com/title/tt0011348/?ref_=sr_i_21
"22. Enis Aldjelis, die Blume des Ostens",1920,,,7.3,13,,,https://www.imdb.com/title/tt1644570/?ref_=sr_i_22
23. Pollyanna,1920,58m,TV-G,6.4,567,,An orphan's optimistic outlook brings a change to the ill-tempered town in which she resides to her aunt.,https://www.imdb.com/title/tt0011588/?ref_=sr_i_23
24. The Spiders - Episode 2: The Diamond Ship,1920,1h 44m,,6.1,1.3K,,"Kay Hoog wants to stop the organisation ""Die Spinnen"" to get a certain diamond, that will give the owning woman the crown of Asia, but the man, who should be the owner of that diamond, doesn't know of its existence....",https://www.imdb.com/title/tt0011723/?ref_=sr_i_24
25. The Idol Dancer,1920,1h 32m,,5.0,164,,"A religious zealot and his nephew are thrown together on a South Seas Island with an alcoholic beach comber and a native dancer. A battle to see who will ""civilize"" whom ensues.",https://www.imdb.com/title/tt0011324/?ref_=sr_i_25
26. The Son of Tarzan,1920,4h 8m,,5.2,159,,"Tarzan's son, Jack, escapes captivity and retreats into the jungle with an ape, where he finds love in unexpected places.",https://www.imdb.com/title/tt0011717/?ref_=sr_i_26
27. The Saphead,1920,1h 17m,Not Rated,6.1,1.9K,,The simple-minded son of a rich financier must find his own way in the world.,https://www.imdb.com/title/tt0011652/?ref_=sr_i_27
