link,title,status,attempt_count,last_error,last_attempted_at,completed_at
https://www.imdb.com/title/tt0022100/?ref_=sr_i_1,1. M,completed,1,,2026-07-29T09:49:05+00:00,2026-07-29T09:49:21+00:00
https://www.imdb.com/title/tt0021749/?ref_=sr_i_2,2. City Lights,completed,1,,2026-07-29T09:49:21+00:00,2026-07-29T09:49:34+00:00
https://www.imdb.com/title/tt0022125/?ref_=sr_i_3,3. Marius,completed,1,,2026-07-29T09:49:34+00:00,2026-07-29T09:49:47+00:00
https://www.imdb.com/title/tt0021884/?ref_=sr_i_4,4. Frankenstein,completed,1,,2026-07-29T09:49:47+00:00,2026-07-29T09:50:00+00:00
https://www.imdb.com/title/tt0021814/?ref_=sr_i_5,5. Dracula,completed,1,,2026-07-29T09:50:00+00:00,2026-07-29T09:50:12+00:00
https://www.imdb.com/title/tt0022286/?ref_=sr_i_6,6. The Public Enemy,completed,1,,2026-07-29T09:50:12+00:00,2026-07-29T09:50:25+00:00
https://www.imdb.com/title/tt0022835/?ref_=sr_i_7,7. Dr. Jekyll and Mr. Hyde,completed,1,,2026-07-29T09:50:25+00:00,2026-07-29T09:50:37+00:00
https://www.imdb.com/title/tt0022458/?ref_=sr_i_8,8. Tabu: A Story of the South Seas,completed,1,,2026-07-29T09:50:37+00:00,2026-07-29T09:50:51+00:00
https://www.imdb.com/title/tt0022335/?ref_=sr_i_9,9. Safe in Hell,completed,1,,2026-07-29T09:50:51+00:00,2026-07-29T09:51:03+00:00
https://www.imdb.com/title/tt0021746/?ref_=sr_i_10,10. Cimarron,completed,1,,2026-07-29T09:51:03+00:00,2026-07-29T09:51:16+00:00
https://www.imdb.com/title/tt0021079/?ref_=sr_i_11,11. Little Caesar,completed,1,,2026-07-29T09:51:16+00:00,2026-07-29T09:51:29+00:00
https://www.imdb.com/title/tt0022183/?ref_=sr_i_12,12. Mädchen in Uniform,completed,1,,2026-07-29T09:51:29+00:00,2026-07-29T09:51:42+00:00
https://www.imdb.com/title/tt0022403/?ref_=sr_i_13,13. Smart Money,completed,1,,2026-07-29T09:51:42+00:00,2026-07-29T09:51:54+00:00
https://www.imdb.com/title/tt0021622/?ref_=sr_i_14,14. Arrowsmith,completed,1,,2026-07-29T09:51:54+00:00,2026-07-29T09:52:07+00:00
https://www.imdb.com/title/tt0022080/?ref_=sr_i_15,15. Limit,completed,1,,2026-07-29T09:52:07+00:00,2026-07-29T09:52:19+00:00
