Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Star Wars: Episode VIII - The Last Jedi,https://www.imdb.com/title/tt2527336/?ref_=sr_t_1,2017,2h 32m,PG-13,6.9,687K
2. Beauty and the Beast,https://www.imdb.com/title/tt2771200/?ref_=sr_t_2,2017,2h 9m,PG,7.1,342K
3. Wonder Woman,https://www.imdb.com/title/tt0451279/?ref_=sr_t_3,2017,2h 21m,PG-13,7.3,713K
4. Jumanji: Welcome to the Jungle,https://www.imdb.com/title/tt2283362/?ref_=sr_t_4,2017,1h 59m,PG-13,7.0,468K
5. Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/?ref_=sr_t_5,2017,2h 16m,PG-13,7.6,781K
6. Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/?ref_=sr_t_6,2017,2h 13m,PG-13,7.4,743K
7. It,https://www.imdb.com/title/tt1396484/?ref_=sr_t_7,2017,2h 15m,R,7.3,632K
8. Thor: Ragnarok,https://www.imdb.com/title/tt3501632/?ref_=sr_t_8,2017,2h 10m,PG-13,7.9,841K
9. Despicable Me 3,https://www.imdb.com/title/tt3469046/?ref_=sr_t_9,2017,1h 29m,PG,6.3,164K
10. Justice League,https://www.imdb.com/title/tt0974015/?ref_=sr_t_10,2017,2h,PG-13,6.0,487K
11. Logan,https://www.imdb.com/title/tt3315342/?ref_=sr_t_11,2017,2h 17m,R,8.1,874K
12. The Fate of the Furious,https://www.imdb.com/title/tt4630562/?ref_=sr_t_12,2017,2h 16m,PG-13,6.6,260K
13. Coco,https://www.imdb.com/title/tt2380307/?ref_=sr_t_13,2017,1h 45m,PG,8.4,630K
14. Dunkirk,https://www.imdb.com/title/tt5013056/?ref_=sr_t_14,2017,1h 46m,PG-13,7.8,761K
15. Get Out,https://www.imdb.com/title/tt5052448/?ref_=sr_t_15,2017,1h 44m,R,7.8,741K
16. The Lego Batman Movie,https://www.imdb.com/title/tt4116284/?ref_=sr_t_16,2017,1h 44m,PG,7.3,179K
17. The Boss Baby,https://www.imdb.com/title/tt3874544/?ref_=sr_t_17,2017,1h 37m,PG,6.3,147K
18. The Greatest Showman,https://www.imdb.com/title/tt1485796/?ref_=sr_t_18,2017,1h 45m,PG,7.5,324K
19. Pirates of the Caribbean: Dead Men Tell No Tales,https://www.imdb.com/title/tt1790809/?ref_=sr_t_19,2017,2h 9m,PG-13,6.5,359K
20. Kong: Skull Island,https://www.imdb.com/title/tt3731562/?ref_=sr_t_20,2017,1h 58m,PG-13,6.7,358K
