Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
1. Star Wars: Episode VIII - The Last Jedi,2017,2h 32m,PG-13,6.9,685K,,Rey develops her abilities with the help of Luke Skywalker as the Resistance prepares for battle against the First Order.,https://www.imdb.com/title/tt2527336/?ref_=sr_i_1,,,
2. Beauty and the Beast,2017,2h 9m,PG,7.1,341K,,"A brave, beautiful, and brilliant young woman is imprisoned by a beast in his castle. Despite her fears, she learns to see beyond the beast's hideous exterior and realize the gentle heart of the true prince within him.",https://www.imdb.com/title/tt2771200/?ref_=sr_i_2,,,
3. Wonder Woman,2017,2h 21m,PG-13,7.3,711K,,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",https://www.imdb.com/title/tt0451279/?ref_=sr_i_3,,,
4. Jumanji: Welcome to the Jungle,2017,1h 59m,PG-13,7.0,466K,,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",https://www.imdb.com/title/tt2283362/?ref_=sr_i_4,,,
5. Guardians of the Galaxy Vol. 2,2017,2h 16m,PG-13,7.6,780K,,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.",https://www.imdb.com/title/tt3896198/?ref_=sr_i_5,,,
6. Spider-Man: Homecoming,2017,2h 13m,PG-13,7.4,741K,,Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,https://www.imdb.com/title/tt2250912/?ref_=sr_i_6,,,
7. It,2017,2h 15m,R,7.3,630K,,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",https://www.imdb.com/title/tt1396484/?ref_=sr_i_7,,,
8. Thor: Ragnarok,2017,2h 10m,PG-13,7.9,839K,,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",https://www.imdb.com/title/tt3501632/?ref_=sr_i_8,,,
9. Despicable Me 3,2017,1h 29m,PG,6.3,164K,,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",https://www.imdb.com/title/tt3469046/?ref_=sr_i_9,,,
10. Justice League,2017,2h,PG-13,6.0,486K,,"Steppenwolf and his Parademons return after eons to capture Earth. However, Batman seeks the help of Wonder Woman to recruit and assemble Flash, Cyborg and Aquaman to fight the powerful new enemy.",https://www.imdb.com/title/tt0974015/?ref_=sr_i_10,,,
