Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. It Happened One Night,1934,1h 45m,Approved,8.1,120K,87,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,https://www.imdb.com/title/tt0025316/?ref_=sr_i_1
2. The Black Cat,1934,1h 5m,Not Rated,6.9,15K,,Stranded honeymooners follow mad doctor to manor.,https://www.imdb.com/title/tt0024894/?ref_=sr_i_2
3. The Man Who Knew Too Much,1934,1h 15m,Approved,6.7,24K,77,An ordinary British couple vacationing in Switzerland suddenly find themselves embroiled in a case of international intrigue when their daughter is kidnapped by spies plotting a political assassination.,https://www.imdb.com/title/tt0025452/?ref_=sr_i_3
4. The Thin Man,1934,1h 31m,TV-PG,7.9,35K,86,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",https://www.imdb.com/title/tt0025878/?ref_=sr_i_4
5. Tarzan and His Mate,1934,1h 44m,Passed,7.2,6.1K,,"The idyllic life of Tarzan and Jane is challenged by men on safari who come seeking ivory, and come seeking Jane as well.",https://www.imdb.com/title/tt0025862/?ref_=sr_i_5
6. Of Human Bondage,1934,1h 23m,Approved,7.0,9.2K,,"A young man finds himself attracted to a cold, unfeeling waitress who might ultimately destroy them both.",https://www.imdb.com/title/tt0025586/?ref_=sr_i_6
7. L'Atalante,1934,1h 29m,Not Rated,7.7,19K,,Newly married couple Juliette and a ship captain Jean struggle through marriage as they travel on the L'atalante along with the captain's first mate Le père Jules and a cabin boy.,https://www.imdb.com/title/tt0024844/?ref_=sr_i_7
8. The Lost Patrol,1934,1h 13m,Approved,6.8,4K,,"A dozen British soldiers, lost in a Mesopotamian desert during World War I, are menaced by unseen Arab enemies.",https://www.imdb.com/title/tt0025423/?ref_=sr_i_8
9. Kiss and Make-Up,1934,1h 18m,Approved,5.9,947,,"A handsome plastic surgeon has a beauty clinic, where many a beautiful client falls in love with him. His unnoticed secretary is in love with him, too.",https://www.imdb.com/title/tt0025351/?ref_=sr_i_9
10. Two Monks,1934,1h 19m,Not Rated,7.0,925,,"When the Monk Javier acts violently in a gothic monastery, the Prior asks the Monk Juan to calm him down since he believes that Javier is possessed by demons. When Juan comes to Javier's cell, they recognize each other and Javier runs after him. Javier reaches Juan and hits his head with a heavy crucifix, and returns to his cell. Later, Javier confesses to the Prior that Juan was his best friend when he was a tubercular musician and how their friendship ended when his beloved fiancé Ana died. Then, Juan confesses to the Prior that Javier's confession is correct, but he would like to tell the same story through his eyes.",https://www.imdb.com/title/tt0025062/?ref_=sr_i_10
11. The Man from Utah,1934,51m,Approved,5.2,1.4K,,In a horse-riding rodeo contest bad guys want John Weston to lose. When he doesn't go along they add some insurance: a poisoned needle just under his saddle.,https://www.imdb.com/title/tt0025455/?ref_=sr_i_11
12. Little Miss Marker,1934,1h 20m,Approved,7.0,1.6K,68,Bookie Sorrowful Jones receives a little girl as an IOU.,https://www.imdb.com/title/tt0025410/?ref_=sr_i_12
13. The Count of Monte Cristo,1934,1h 53m,Approved,7.3,3.9K,,"After greedy men have Edmond Dantes unjustly imprisoned for 20 years for innocently delivering a letter entrusted to him, he escapes to get his revenge on them.",https://www.imdb.com/title/tt0025004/?ref_=sr_i_13
14. Imitation of Life,1934,1h 51m,Approved,7.5,6.2K,72,"A struggling widow and her daughter take in a Black housekeeper and her fair-skinned daughter; the two women start a successful business but face familial, identity, and racial issues along the way.",https://www.imdb.com/title/tt0025301/?ref_=sr_i_14
15. The Goddess,1934,1h 25m,TV-PG,7.7,2.8K,,"Street walker by night, devoted mother by day, a woman fights to get her young son an education amid criminal and social injustice in China.",https://www.imdb.com/title/tt0195256/?ref_=sr_i_15
16. Blue Steel,1934,52m,Passed,5.3,1.9K,,U.S. marshal John Carruthers observes a robbery and Sheriff Jake thinks he may be the culprit. Meanwhile the town's leading citizen is planning to rob everybody blind.,https://www.imdb.com/title/tt0024902/?ref_=sr_i_16
17. The Lucky Texan,1934,54m,Passed,5.6,1.5K,,"Jerry Mason, a young Texan, and Jake Benson, an old rancher, become partners and strike it rich with a gold mine. They then find their lives complicated by bad guys and a woman.",https://www.imdb.com/title/tt0025440/?ref_=sr_i_17
18. Strauss' Great Waltz,1934,1h 20m,Approved,5.7,2K,56,"The story of Johann Strauss the elder and younger. Senior thinks little of Junior's musical abilities while Junior is torn between baker's daughter Resi and countess Helga who both contribute to his composing the famous ""Blue Danube"".",https://www.imdb.com/title/tt0024747/?ref_=sr_i_18
19. The Trail Beyond,1934,54m,Approved,5.3,1.1K,,Rod Drew hunts for a missing girl and finds himself in a fight over a goldmine as well.,https://www.imdb.com/title/tt0025903/?ref_=sr_i_19
20. The Star Packer,1934,53m,Approved,5.1,1.4K,,A gang working for The Shadow is terrorizing the town. John Travers decides to take on the job of sheriff and do something about it.,https://www.imdb.com/title/tt0025830/?ref_=sr_i_20
21. 'Neath the Arizona Skies,1934,52m,Approved,5.1,1.3K,,"A cowboy escorts a little girl, whose mother made her the heir of a cash-able oil company, and must protect her from an outlaw as they search for the girl's father.",https://www.imdb.com/title/tt0024805/?ref_=sr_i_21
22. West of the Divide,1934,54m,Approved,5.3,1.2K,,Ted Hayden impersonates a wanted man and joins Gentry's gang only to learn later that Gentry was the one who killed his father. He saves Virginia Winters' dad's ranch from Gentry and also rescues his long-lost brother Spud.,https://www.imdb.com/title/tt0025969/?ref_=sr_i_22
23. Randy Rides Alone,1934,52m,Approved,5.3,1.3K,,"Jailed for murders he didn't commit, Randy escapes only to stumble into the den of the real murderers.",https://www.imdb.com/title/tt0025699/?ref_=sr_i_23
24. There's Always Tomorrow,1934,1h 26m,Approved,6.5,113,,"Man, feeling neglected by his family, turns to another woman.",https://www.imdb.com/title/tt0025876/?ref_=sr_i_24
25. The Gay Divorcee,1934,1h 47m,Approved,7.3,9.4K,80,A woman thinks a flirting man is the co-respondent her lawyer has hired to expedite her divorce.,https://www.imdb.com/title/tt0025164/?ref_=sr_i_25
26. The Scarlet Pimpernel,1934,1h 37m,Approved,7.3,5.2K,,"A noblewoman discovers her English husband is The Scarlet Pimpernel, a vigilante who rescues French aristocrats from the blade of the guillotine.",https://www.imdb.com/title/tt0025748/?ref_=sr_i_26
27. The Gay Bride,1934,1h 20m,Approved,6.4,689,,"After a bootlegger's adversary has him killed, he takes up with his widow, a gold-digging chorus girl, but a handsome bodyguard is also determined to win her.",https://www.imdb.com/title/tt0025163/?ref_=sr_i_27
28. March of the Wooden Soldiers,1934,1h 17m,Approved,7.1,8.3K,,"Opposing the evil Barnaby, Stannie Dum and Ollie Dee try and fail to pay-off Mother Peep's mortgage and mislead his attempts to marry Little Bo. Enraged, Barnaby's Bogeymen are set on Toyland.",https://www.imdb.com/title/tt0024852/?ref_=sr_i_28
29. Manhattan Melodrama,1934,1h 33m,Approved,7.1,5.3K,,The friendship between two orphans endures even though they grow up on opposite sides of the law and fall in love with the same woman.,https://www.imdb.com/title/tt0025464/?ref_=sr_i_29
30. Twentieth Century,1934,1h 31m,Approved,7.2,7.9K,,A flamboyant Broadway impresario who's fallen on hard times tries to get his former lover who has become a Hollywood diva to return and resurrect his failing career.,https://www.imdb.com/title/tt0025919/?ref_=sr_i_30
31. The Scarlet Empress,1934,1h 44m,Approved,7.5,8K,,"A German noblewoman enters into a loveless marriage with the dim-witted, unstable heir to the Russian throne, then plots to oust him from power.",https://www.imdb.com/title/tt0025746/?ref_=sr_i_31
32. The House of Rothschild,1934,1h 28m,Passed,6.4,1.6K,,The wealthy Rothschild family undergoes prejudice from the anti-Semitic society they live within.,https://www.imdb.com/title/tt0025272/?ref_=sr_i_32
33. Heat Lightning,1934,1h 3m,Passed,7.1,1.5K,,Two killers stop at Olga's gas station alongside a California highway.,https://www.imdb.com/title/tt0025228/?ref_=sr_i_33
34. Cleopatra,1934,1h 40m,Approved,6.8,5.2K,,"The man-hungry Queen of Egypt leads Julius Caesar and Marc Antony astray, amid scenes of DeMillean splendor.",https://www.imdb.com/title/tt0024991/?ref_=sr_i_34
