Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
1. How the West Was Won,1962,2h 44m,G,7.1,24K,,"A family saga covering several decades of Westward expansion in the 19th century, including the Gold Rush, the Civil War, and the building of the railroads.",https://www.imdb.com/title/tt0056085/?ref_=sr_i_1,,,
2. Lawrence of Arabia,1962,3h 47m,PG,8.3,323K,,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",https://www.imdb.com/title/tt0056172/?ref_=sr_i_2,,,
3. The Longest Day,1962,2h 58m,G,7.7,61K,,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",https://www.imdb.com/title/tt0056197/?ref_=sr_i_3,,,
4. Son of Flubber,1962,1h 42m,G,6.1,3.3K,,"When Professor Brainard experiments further on Flubber derivatives, he gets in trouble and only his students can help.",https://www.imdb.com/title/tt0057518/?ref_=sr_i_4,,,
5. In Search of the Castaways,1962,1h 38m,G,6.5,3.5K,,"In 19th century England, young Mary Grant and her brother, Robert, embark on a dangerous quest to find their missing father, a sea captain who vanished somewhere along the Chilean coast.",https://www.imdb.com/title/tt0056095/?ref_=sr_i_5,,,
6. Dr. No,1962,1h 50m,PG,7.2,184K,,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,https://www.imdb.com/title/tt0055928/?ref_=sr_i_6,,,
7. The Music Man,1962,2h 31m,G,7.7,20K,,Traveling con artist Harold Hill targets the naïve residents of a small town in 1910s Iowa by posing as a boys' band leader to raise money before he can skip town.,https://www.imdb.com/title/tt0056262/?ref_=sr_i_7,,,
8. That Touch of Mink,1962,1h 39m,Approved,6.6,11K,,"A rich businessman and a young woman are attracted to each other, but he only wants an affair while she wants to save herself for marriage.",https://www.imdb.com/title/tt0056575/?ref_=sr_i_8,,,
9. The Wonderful World of the Brothers Grimm,1962,2h 15m,G,6.4,2.3K,,"The story of Wilhelm and Jacob Grimm, and three of their stories.",https://www.imdb.com/title/tt0056700/?ref_=sr_i_9,,,
10. Hatari!,1962,2h 37m,Approved,7.1,15K,,A group of men trap wild animals in Africa and sell them to zoos before the arrival of a female wildlife photographer threatens to change their ways.,https://www.imdb.com/title/tt0056059/?ref_=sr_i_10,,,
11. Mutiny on the Bounty,1962,2h 58m,Approved,7.2,18K,,"In 1787, British ship Bounty leaves Portsmouth to bring a cargo of bread-fruit from Tahiti, but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by first officer Fletcher Christian.",https://www.imdb.com/title/tt0056264/?ref_=sr_i_11,,,
12. Gypsy,1962,2h 23m,Approved,7.1,7.2K,,"Based on the Broadway hit about the life and times of burlesque dancer Gypsy Rose Lee and her aggressive stage mother, Mama Rose.",https://www.imdb.com/title/tt0056048/?ref_=sr_i_12,,,
13. Lolita,1962,2h 33m,Approved,7.5,111K,,A middle-aged college professor becomes infatuated with a 14-year-old girl.,https://www.imdb.com/title/tt0056193/?ref_=sr_i_13,,,
14. State Fair,1962,2h,Approved,5.9,1.4K,,A brother and sister find romance and good clean fun at the state fair in Dallas.,https://www.imdb.com/title/tt0056526/?ref_=sr_i_14,,,
15. Taras Bulba,1962,2h 2m,Approved,6.3,4.6K,,"In the 16th-century Ukraine, the Polish overlords and Ukrainian cossacks fight for control of the land but frequent Turkish invasions force them to unite against the common Turkish foe.",https://www.imdb.com/title/tt0056556/?ref_=sr_i_15,,,
16. The Miracle Worker,1962,1h 46m,Approved,8.1,21K,,"The story of Anne Sullivan's struggle to teach the blind, deaf and mute child Helen Keller how to understand and communicate.",https://www.imdb.com/title/tt0056241/?ref_=sr_i_16,,,
17. Sodom and Gomorrah,1962,2h 34m,G,5.7,2.3K,,"Sex, torture, and betrayal in Biblical Sodom and Gomorrah. Lot, leader of the Hebrews, believes that his people can co-exist with the Sodomites--a disastrous decision.",https://www.imdb.com/title/tt0056504/?ref_=sr_i_17,,,
18. David and Lisa,1962,1h 35m,Not Rated,7.2,3.4K,,"Teenager David Clemens develops a hysterical fear that he will die if he comes into physical contact with another person. Perturbed, David's overbearing mother places him in a home for mentally disturbed young people.",https://www.imdb.com/title/tt0055892/?ref_=sr_i_18,,,
19. The Three Stooges Meet Hercules,1962,1h 29m,Approved,6.1,1.2K,,Three goofy druggists travel back to Ancient Greece on a milquetoast inventor's time machine.,https://www.imdb.com/title/tt0056579/?ref_=sr_i_19,,,
20. What Ever Happened to Baby Jane?,1962,2h 14m,Approved,8.0,64K,,"A former vaudeville child star torments her paraplegic sister, who eclipsed her as a movie star, in their decaying Hollywood mansion while desperately clinging to hopes of a comeback.",https://www.imdb.com/title/tt0056687/?ref_=sr_i_20,,,
21. Two for the Seesaw,1962,1h 59m,Approved,6.6,2.1K,,Robert Wise directs Robert Mitchum and Shirley MacLaine in this spicy and poignant love story about a free-spirited Greenwich Village girl who hooks up with a brooding Nebraska lawyer. In HD.,https://www.imdb.com/title/tt0056626/?ref_=sr_i_21,,,
22. Who's Got the Action?,1962,1h 33m,Not Rated,5.5,500,,"Horse-player Steve Flood's marriage is threatened by his betting; in desperation, his wife Melanie becomes his bookie and enlists his lecherous law partner Clint Morgan to help. Steve's hot streak causes unforeseen complications.",https://www.imdb.com/title/tt0056691/?ref_=sr_i_22,,,
23. Hell Is for Heroes,1962,1h 30m,Approved,6.9,7.7K,,Small squad must hold off German attack.,https://www.imdb.com/title/tt0056062/?ref_=sr_i_23,,,
24. The Condemned of Altona,1962,1h 54m,,6.7,672,,A maddened German war criminal lives in a secluded house owned by his rich father who lets him think the war is still on 20 years after the fact.,https://www.imdb.com/title/tt0056468/?ref_=sr_i_24,,,
25. The Four Horsemen of the Apocalypse,1962,2h 33m,Approved,6.5,2.4K,,"In Argentina, one daughter of patriarch Madariaga is married to a Frenchman while the other is married to a German thus leading to a crisis when Nazi Germany occupies France and some Madariaga family members fight on opposite sides.",https://www.imdb.com/title/tt0054890/?ref_=sr_i_25,,,
26. Kid Galahad,1962,1h 36m,Approved,6.1,3.2K,,"After completing his military service, Walter Gulick takes a job as a sparring partner at a gym, the owner of which sees potential in Walter as a professional fighter and takes him under his wing.",https://www.imdb.com/title/tt0056138/?ref_=sr_i_26,,,
27. Mafioso,1962,1h 45m,Not Rated,7.6,3.1K,,"When a good-natured factory supervisor living in Milan with his Northern wife returns to his native Sicily, a decades'-old oath forces him to fulfill a nightmarish obligation.",https://www.imdb.com/title/tt0056210/?ref_=sr_i_27,,,
28. Le Doulos,1962,1h 48m,Not Rated,7.7,12K,,A burglar betraying other criminals prepares for a big heist with a trusted friend who might be as untrustworthy as he.,https://www.imdb.com/title/tt0054821/?ref_=sr_i_28,,,
29. Le combat dans l'île,1962,1h 44m,PG-13,6.5,947,,"After an unsuccessful assassination, a terrorist and his wife hide on a remote island in the house of a friend who doesn't suspect anything.",https://www.imdb.com/title/tt0054758/?ref_=sr_i_29,,,
30. A Kind of Loving,1962,1h 52m,Not Rated,7.3,2.8K,,"After his girlfriend's pregnancy forces him to marry her, a young man must adjust to his new life and contend with his domineering mother-in-law.",https://www.imdb.com/title/tt0056141/?ref_=sr_i_30,,,
