Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. Pinocchio,1940,1h 28m,Approved,7.4,174K,99,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",https://www.imdb.com/title/tt0032910/?ref_=sr_i_1
2. Fantasia,1940,2h 4m,G,7.7,112K,96,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.",https://www.imdb.com/title/tt0032455/?ref_=sr_i_2
3. The Philadelphia Story,1940,1h 52m,Approved,7.8,79K,96,"After a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",https://www.imdb.com/title/tt0032904/?ref_=sr_i_3
4. From Mayerling to Sarajevo,1940,1h 29m,Approved,6.7,339,,"In the late 1800's, Franz Ferdinand, heir to the Austro-Hungarian empire, falls for Sophie Chotek, a Czech countess. He's already a problem to the Crown because of his political ideas; this love affair with someone not of royal blood breeches protocol. The Crown allows the union only after the couple agrees to a morganatic marriage. The emperor further neutralizes Franz by making him inspector general of the army, sending him afield for months at a time. In June of 1914, fearing for his safety, Sophie seeks permission to accompany Franz to Sarajevo; protocol dictates that no army troops attend Franz while she is present. An assassin strikes. Their deaths spark World War I.",https://www.imdb.com/title/tt0032384/?ref_=sr_i_4
5. The Great Dictator,1940,2h 5m,G,8.4,259K,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,https://www.imdb.com/title/tt0032553/?ref_=sr_i_5
6. Rebecca,1940,2h 10m,Approved,8.0,162K,86,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,https://www.imdb.com/title/tt0032976/?ref_=sr_i_6
7. The Grapes of Wrath,1940,2h 9m,Approved,8.1,107K,96,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",https://www.imdb.com/title/tt0032551/?ref_=sr_i_7
8. His Girl Friday,1940,1h 32m,Approved,7.8,68K,94,"When a newspaper editor's ace reporter ex-wife is about to quit her job and remarry, he buys himself time to win her back by promising her an exclusive interview with a death row convict.",https://www.imdb.com/title/tt0032599/?ref_=sr_i_8
9. Foreign Correspondent,1940,2h,Approved,7.4,26K,89,"On the eve of World War II, a young American reporter tries to expose enemy agents in London.",https://www.imdb.com/title/tt0032484/?ref_=sr_i_9
10. The Shop Around the Corner,1940,1h 39m,Approved,8.0,44K,96,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",https://www.imdb.com/title/tt0033045/?ref_=sr_i_10
11. Dr. Kildare's Strange Case,1940,1h 17m,Approved,6.0,708,,Young Dr. Kildare tries to help an unlucky brain surgeon and his seemingly insane patient.,https://www.imdb.com/title/tt0032416/?ref_=sr_i_11
12. The Westerner,1940,1h 40m,Approved,7.2,7.6K,78,"Judge Roy Bean, a self-appointed hanging judge in Vinegarroon, Texas, befriends saddle tramp Cole Harden, who opposes Bean's policy against homesteaders.",https://www.imdb.com/title/tt0033253/?ref_=sr_i_12
13. Waterloo Bridge,1940,1h 48m,Approved,7.7,12K,73,Myra and Roy meet and fall in love on Waterloo Bridge during an air raid. Their love will be one of the war's unspoken casualties.,https://www.imdb.com/title/tt0033238/?ref_=sr_i_13
14. The Thief of Bagdad,1940,1h 46m,Approved,7.4,16K,,"After being tricked and cast out of Bagdad by the evil Jaffar, King Ahmad joins forces with a thief named Abu to reclaim his throne, the city, and the Princess he loves.",https://www.imdb.com/title/tt0033152/?ref_=sr_i_14
15. The Sea Hawk,1940,2h 7m,Approved,7.6,12K,,"Geoffrey Thorpe, a buccaneer, is hired by Queen Elizabeth I to nag the Spanish Armada. The Armada is waiting for an attack on England and Thorpe surprises them with attacks on their galleons where he shows his skills with the sword.",https://www.imdb.com/title/tt0033028/?ref_=sr_i_15
16. Stranger on the Third Floor,1940,1h 4m,Approved,6.8,5.2K,,"An aspiring reporter is the key witness at the murder trial of a young man accused of cutting a café owner's throat, and is soon accused of a similar crime himself.",https://www.imdb.com/title/tt0033107/?ref_=sr_i_16
17. The Long Voyage Home,1940,1h 45m,Approved,6.9,5.6K,,A merchant ship's crew tries to survive the loneliness of the sea and the coming of war.,https://www.imdb.com/title/tt0032728/?ref_=sr_i_17
18. The Invisible Man Returns,1940,1h 21m,Approved,6.4,6.2K,48,"The owner of a coal mining operation, falsely imprisoned for fratricide, takes a drug to make him invisible, despite its side effect: gradual madness.",https://www.imdb.com/title/tt0032635/?ref_=sr_i_18
19. Seven Sinners,1940,1h 27m,Approved,6.5,2K,,"Banished from various U.S. protectorates in the Pacific, a saloon entertainer uses her femme-fatale charms to woo politicians, navy personnel, gangsters, riff-raff, judges and a ship's doctor in order to achieve her aims.",https://www.imdb.com/title/tt0033038/?ref_=sr_i_19
20. The Letter,1940,1h 35m,Approved,7.5,16K,84,"The wife of a rubber-plantation administrator shoots a man to death and claims it was self-defense, but a letter written in her own hand might prove her undoing.",https://www.imdb.com/title/tt0032701/?ref_=sr_i_20
21. Our Town,1940,1h 30m,Approved,6.5,3.4K,,Change comes slowly to a small New Hampshire town in the early 20th century.,https://www.imdb.com/title/tt0032881/?ref_=sr_i_21
22. The Ghost Breakers,1940,1h 25m,Approved,7.0,4.6K,,"A radio broadcaster, his quaking manservant and an heiress investigate the mystery of a haunted castle in Cuba.",https://www.imdb.com/title/tt0032520/?ref_=sr_i_22
"23. Dance, Girl, Dance",1940,1h 30m,Approved,6.8,3.6K,,"After a troupe of danseuses becomes unemployed, one of them takes up burlesque dancing while another dreams of performing ballet.",https://www.imdb.com/title/tt0032376/?ref_=sr_i_23
24. Dr. Cyclops,1940,1h 17m,Approved,6.4,3.4K,,A mad scientist working in the South American jungle miniaturizes his colleagues when he feels his megalomania is threatened.,https://www.imdb.com/title/tt0032412/?ref_=sr_i_24
"25. Third Finger, Left Hand",1940,1h 36m,Approved,6.9,1.3K,,"A single magazine editor pretends to be married in order to avoid advances from male colleagues, but complications ensue when she meets a potential suitor.",https://www.imdb.com/title/tt0033153/?ref_=sr_i_25
26. The Rothschilds,1940,1h 37m,,6.0,2K,,"Anti-semitic Nazi propaganda ""biography"" of the Rothschilds, a German Jewish family whose members rose to the top of the European banking community during the Napoleonic era.",https://www.imdb.com/title/tt0248379/?ref_=sr_i_26
27. Two Girls on Broadway,1940,1h 13m,Approved,6.1,580,,"Eddie lands a Broadway gig and song deal. When Molly visits with her sister Pat, the producer picks Pat over Molly. Eddie and Pat develop feelings but keep quiet. Pat sees Chad, a wealthy man with multiple divorces.",https://www.imdb.com/title/tt0033191/?ref_=sr_i_27
28. The Well-Digger's Daughter,1940,2h 22m,Approved,7.4,799,,"A rural maiden's two suitors go off to war, leaving her pregnant.",https://www.imdb.com/title/tt0033603/?ref_=sr_i_28
29. Lucky Partners,1940,1h 39m,Approved,6.5,1.2K,,Two strangers share a sweepstakes ticket and then embark on an imaginary honeymoon with their winnings.,https://www.imdb.com/title/tt0032733/?ref_=sr_i_29
30. Santa Fe Trail,1940,1h 50m,Approved,6.2,4.6K,,"In 1854, Jeb Stuart, George Custer and other graduates from West Point are posted to Kansas to help pacify the territory before railroad construction to Santa Fe can resume.",https://www.imdb.com/title/tt0033021/?ref_=sr_i_30
31. Pride and Prejudice,1940,1h 58m,Approved,7.3,10K,84,"The arrival of wealthy bachelors in town causes an uproar when families with single daughters aggressively seek engagements, including the Bennet family, with five eligible daughters.",https://www.imdb.com/title/tt0032943/?ref_=sr_i_31
32. My Favorite Wife,1940,1h 28m,Approved,7.2,13K,63,"Missing for seven years and presumed dead, a woman returns home on the very day that her husband remarries.",https://www.imdb.com/title/tt0029284/?ref_=sr_i_32
33. Christmas in July,1940,1h 7m,Approved,7.3,4.8K,,"After the co-workers of an ambitious clerk trick him into thinking he has won $25,000 in a slogan contest, he begins to use the money to fulfill his dreams. What will happen when the ruse is discovered?",https://www.imdb.com/title/tt0032338/?ref_=sr_i_33
34. The Mark of Zorro,1940,1h 34m,Approved,7.5,12K,,A young Spanish aristocrat must masquerade as a fop in order to maintain his secret identity of Zorro as he restores justice to early California.,https://www.imdb.com/title/tt0032762/?ref_=sr_i_34
35. They Drive by Night,1940,1h 35m,Approved,7.2,10K,73,"When one of two truck-driving brothers loses an arm, they both join a transport company where the other is falsely charged as an accessory in the murder of the owner.",https://www.imdb.com/title/tt0033149/?ref_=sr_i_35
36. Kitty Foyle,1940,1h 48m,Approved,6.9,4.5K,55,"A hard-working white-collar girl from a middle-class family meets and falls in love with a young socialite, but she soon clashes with his family.",https://www.imdb.com/title/tt0032671/?ref_=sr_i_36
37. The Man I Married,1940,1h 17m,,7.0,669,,"Anti-Nazi tract laced with 1938 newsreel footage finds American girl (Bennett) married to a German (Lederer) gradually learning he is a Nazi, trying to get their son to America.",https://www.imdb.com/title/tt0032746/?ref_=sr_i_37
38. Northwest Passage,1940,2h 6m,Approved,7.0,4.3K,,"Langdon Towne and Hunk Marriner join Major Rogers' Rangers as they wipe out an Indian village. They set out for Fort Wentworth, but when they arrive they find no soldiers and none of the supplies they expected.",https://www.imdb.com/title/tt0032851/?ref_=sr_i_38
39. The Howards of Virginia,1940,1h 56m,Approved,6.0,1.4K,,"Just prior to the American War of Independence, aristocratic Virginian Jane Peyton marries unsophisticated rustic farmer and surveyor Matt Howard who takes her to his Shenandoah Valley plantation and later goes to war.",https://www.imdb.com/title/tt0032612/?ref_=sr_i_39
40. Earthbound,1940,1h 7m,Approved,5.6,188,,A murdered man (Baxter) helps his widow (Leeds) bring his killer (Bari) to justice.,https://www.imdb.com/title/tt0032427/?ref_=sr_i_40
41. Night Train to Munich,1940,1h 30m,Not Rated,7.2,6.3K,,"After Germany invades Czechoslovakia, the German and the British intelligence services try to capture Czech scientist Dr. Axel Bomasch (James Harcourt), inventor of a new type of armor-plating.",https://www.imdb.com/title/tt0032842/?ref_=sr_i_41
42. The Mortal Storm,1940,1h 40m,Approved,7.7,6.9K,,The Roth family leads a quiet life in a small Alpine village until they are divided by the Nazi regime and a friend is caught up in the turmoil.,https://www.imdb.com/title/tt0032811/?ref_=sr_i_42
43. Calling All Husbands,1940,1h 3m,Approved,6.0,170,,"Homer Trippe is very henpecked by his wife, and Mrs. Trippe also dominates the life of her daughter, dismissing her boyfriend Dan as merely a delivery clerk. Mrs. Trippe constantly moans about her poor choice of Homer over one-time suitor Oscar Armstrong. Homer is happy, poetic, and kind, but afraid to stand up to Mrs. Trippe's opposition to Dan and Betty's romance. Dan gives Betty an ultimatum: marry him or lose him. Meanwhile, Homer feeds a tramp, who turns out to be the oft-invoked Oscar Armstrong. But Oscar has an even bigger surprise in store for the Trippes.",https://www.imdb.com/title/tt0032297/?ref_=sr_i_43
44. I Was an Adventuress,1940,1h 21m,Approved,6.8,471,,A pair of crooks (von Stroheim and Lorre) use a phony countess (Zorina) who winds up falling in love with one of their victims (Greene).,https://www.imdb.com/title/tt0032620/?ref_=sr_i_44
45. The Mummy's Hand,1940,1h 7m,Approved,6.0,5.5K,,"Archaeologists defile the tomb of mummified Kharis, who was buried alive for falling in love with an Egyptian princess.",https://www.imdb.com/title/tt0032818/?ref_=sr_i_45
46. Pour le maillot jaune,1940,1h 31m,,5.7,38,,The romantic relationship between a sports journalist and a cyclist during the Tour de France.,https://www.imdb.com/title/tt0031818/?ref_=sr_i_46
47. Arizona,1940,2h 5m,Approved,6.8,1.8K,,"In Tucson of the 1860s, a pioneer woman struggles to succeed in the freight and cattle business while at risk at the hands of corrupt and violent local businessmen and rampaging Indians.",https://www.imdb.com/title/tt0032221/?ref_=sr_i_47
48. Virginia City,1940,2h 1m,Approved,6.8,3.3K,,"Union officer Kerry Bradford escapes from Confederate prison and is sent to Virginia City, Nevada, where he finds out that the former commander of his prison, Vance Irby, is planning to send $5 million in gold to save the Confederacy.",https://www.imdb.com/title/tt0033226/?ref_=sr_i_48
49. The Lady in Question,1940,1h 20m,Approved,6.3,1.1K,,A juror in a murder trial takes pity on the recently acquitted defendant and invites her to move into his family's home - and his son soon falls in love with her.,https://www.imdb.com/title/tt0032686/?ref_=sr_i_49
50. Forty Little Mothers,1940,1h 30m,Approved,6.6,411,,"An out-of-work professor gets a break from an old college buddy to teach at an exclusive girl's school. But events conspire against him: he finds an abandoned child which he takes under his wing, despite the school's rules against teachers having a family; and the girls in the school resent his replacing a handsome and popular teacher, and do everything in their power to get him fired.",https://www.imdb.com/title/tt0032487/?ref_=sr_i_50
"51. All This, and Heaven Too",1940,2h 21m,Approved,7.4,5.9K,,A duchess's irrational behavior toward her children's governess triggers tragic events that will change her family's lives forever.,https://www.imdb.com/title/tt0032194/?ref_=sr_i_51
52. Strange Cargo,1940,1h 53m,Approved,6.9,3.3K,,Convicts escaping from Devil's Island come under the influence of a strange Christ-like figure.,https://www.imdb.com/title/tt0033105/?ref_=sr_i_52
53. Girl in 313,1940,56m,Approved,5.8,141,,"A police agent infiltrates a gang of jewel thieves, and on the way to finding who the evildoers are, he falls in love with a thief.",https://www.imdb.com/title/tt0032528/?ref_=sr_i_53
54. City for Conquest,1940,1h 44m,Approved,7.2,3K,,"Danny is a content truck driver, but his girl Peggy shows potential as a dancer and hopes he too can show ambition. Danny acquiesces and pursues boxing to please her, but the two begin to spend more time working than time together.",https://www.imdb.com/title/tt0032342/?ref_=sr_i_54
