Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. Gone with the Wind,1939,3h 58m,G,8.2,357K,97,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,https://www.imdb.com/title/tt0031381/?ref_=sr_i_1
2. The Wizard of Oz,1939,1h 42m,G,8.1,470K,92,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",https://www.imdb.com/title/tt0032138/?ref_=sr_i_2
3. Wuthering Heights,1939,1h 44m,Approved,7.5,23K,83,A servant in the house of Wuthering Heights tells a traveler the unfortunate tale of lovers Cathy and Heathcliff.,https://www.imdb.com/title/tt0032145/?ref_=sr_i_3
4. The Rules of the Game,1939,1h 50m,Not Rated,7.9,34K,99,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",https://www.imdb.com/title/tt0031885/?ref_=sr_i_4
5. Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1,130K,73,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",https://www.imdb.com/title/tt0031679/?ref_=sr_i_5
6. Daybreak,1939,1h 33m,Not Rated,7.6,8.9K,,"After committing a murder, a man locks himself in his apartment and recollects the events that led him to the killing.",https://www.imdb.com/title/tt0031514/?ref_=sr_i_6
7. Stagecoach,1939,1h 36m,Approved,7.8,59K,93,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,https://www.imdb.com/title/tt0031971/?ref_=sr_i_7
8. The Women,1939,2h 13m,Approved,7.7,16K,,A study of the lives and romantic entanglements of various interconnected women.,https://www.imdb.com/title/tt0032143/?ref_=sr_i_8
9. Ninotchka,1939,1h 50m,Approved,7.8,25K,,A stern Soviet woman sent to Paris to supervise the sale of jewels seized from Russian nobles finds herself attracted to a man who represents everything she is supposed to detest.,https://www.imdb.com/title/tt0031725/?ref_=sr_i_9
10. Only Angels Have Wings,1939,2h 1m,Approved,7.6,18K,86,"At a remote South American trading port, the manager of an air-freight company is compelled to risk the lives of his pilots in order to win an important contract as a traveling American showgirl and an itinerant floozy stop by for a visit.",https://www.imdb.com/title/tt0031762/?ref_=sr_i_10
"11. Goodbye, Mr. Chips",1939,1h 54m,Approved,7.9,12K,,An aged teacher and former headmaster of a boarding school recalls his career and his personal life over the decades.,https://www.imdb.com/title/tt0031385/?ref_=sr_i_11
12. Love Affair,1939,1h 28m,Approved,7.3,7.3K,91,A French playboy and an American former nightclub singer fall in love aboard a ship.,https://www.imdb.com/title/tt0031593/?ref_=sr_i_12
13. Dark Victory,1939,1h 44m,Approved,7.4,14K,,"A young socialite is diagnosed with an inoperable brain tumor, and must decide whether or not she'll meet her final days with dignity.",https://www.imdb.com/title/tt0031210/?ref_=sr_i_13
14. Lucky Night,1939,1h 22m,Approved,6.1,685,,A wealthy woman meets a bum on a park bench and marries him the same evening.,https://www.imdb.com/title/tt0031595/?ref_=sr_i_14
15. Son of Frankenstein,1939,1h 39m,Approved,7.1,14K,,"Returning to the ancestral castle long after the death of the monster, the son of Dr. Frankenstein meets a mad shepherd who is hiding the comatose creature. To clear the family name, he revives the creature and tries to rehabilitate him.",https://www.imdb.com/title/tt0031951/?ref_=sr_i_15
16. Of Mice and Men,1939,1h 46m,Approved,7.8,7.6K,89,A mentally disabled giant and his level headed guardian find work at a sadistic cowboy's ranch in depression era America.,https://www.imdb.com/title/tt0031742/?ref_=sr_i_16
17. Jamaica Inn,1939,1h 38m,Approved,6.3,12K,52,"In Cornwall, 1819, a young woman discovers she's living near a gang of criminals who arrange shipwrecks for profit.",https://www.imdb.com/title/tt0031505/?ref_=sr_i_17
18. Destry Rides Again,1939,1h 35m,Approved,7.6,14K,81,"Deputy sheriff Destry tames the town of Bottle Neck, including saloon singer Frenchy.",https://www.imdb.com/title/tt0031225/?ref_=sr_i_18
19. Bachelor Mother,1939,1h 22m,Approved,7.5,5.3K,,"An unemployed woman discovers an abandoned baby on the steps of an orphanage, and accepts an offer to take responsibility for the child in return for a job.",https://www.imdb.com/title/tt0031067/?ref_=sr_i_19
20. Confessions of a Nazi Spy,1939,1h 44m,Approved,6.7,2.5K,,FBI agent Ed Renard investigates the pre-war espionage activities of the German-American Bund.,https://www.imdb.com/title/tt0031173/?ref_=sr_i_20
21. Remember the Night,1939,1h 34m,Approved,7.5,8.4K,78,Love blooms between a sympathetic attorney and the comely shoplifter he has taken home for the Christmas holiday.,https://www.imdb.com/title/tt0032981/?ref_=sr_i_21
22. U-Boat 29,1939,1h 17m,Approved,6.9,2.9K,,A German submarine is sent to the Orkney Isles in 1917 to sink the British fleet.,https://www.imdb.com/title/tt0031968/?ref_=sr_i_22
23. Eternally Yours,1939,1h 35m,Approved,5.7,977,,"Anita Halstead, swept off her feet by magician Arturo, finds the results less than magical.",https://www.imdb.com/title/tt0031282/?ref_=sr_i_23
24. The Phantom Creeps,1939,4h 25m,Approved,4.7,1.2K,,A military intelligence officer and a pretty reporter try to find a scientist whose inventions can destroy the world.,https://www.imdb.com/title/tt0031796/?ref_=sr_i_24
25. In Name Only,1939,1h 34m,Approved,7.0,4K,,"After a wealthy man finds out his wife is a gold digger, he meets and falls for a widowed mother, and complications ensue.",https://www.imdb.com/title/tt0031477/?ref_=sr_i_25
26. Juarez,1939,2h 5m,Approved,6.8,2.8K,,Louis Napoleon III (Claude Rains) takes advantage of the American Civil War to circumvent the Monroe Doctrine and expand his power by helping Emperor Maximilian von Habsburg (Brian Aherne) to add Mexico to his empire.,https://www.imdb.com/title/tt0031516/?ref_=sr_i_26
27. The Story of the Last Chrysanthemum,1939,2h 28m,Not Rated,7.7,4.9K,,"The adopted son of a legendary actor, and an aspiring star himself, turns to his infant brother's wet nurse for support and affection - only for her to give up everything for her beloved's glory.",https://www.imdb.com/title/tt0032156/?ref_=sr_i_27
28. The Human Monster,1939,1h 13m,Approved,5.7,1.8K,,Insurance agent-physician collects on policies of men murdered by a disfigured resident of the home for the blind where he acts as doctor-on-call.,https://www.imdb.com/title/tt0031208/?ref_=sr_i_28
