Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. Snow White and the Seven Dwarfs,1937,1h 23m,Approved,7.6,239K,96,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",https://www.imdb.com/title/tt0029583/?ref_=sr_i_1
2. Pépé le Moko,1937,1h 34m,Approved,7.6,8.8K,98,"A wanted gangster is both king and prisoner of the Casbah. He's protected from arrest by his friends, but is torn by his desire for freedom. A visiting Parisian beauty may determine his fate.",https://www.imdb.com/title/tt0029453/?ref_=sr_i_2
3. Grand Illusion,1937,1h 53m,Not Rated,8.0,41K,,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",https://www.imdb.com/title/tt0028950/?ref_=sr_i_3
4. The Awful Truth,1937,1h 30m,Approved,7.6,23K,87,"A married couple files an amicable divorce, but find letting go of each other harder than they originally thought.",https://www.imdb.com/title/tt0028597/?ref_=sr_i_4
5. Marked Woman,1937,1h 36m,Approved,7.1,5.5K,73,A crusading district attorney persuades a clip joint hostess to testify against her mobster boss after her innocent sister is accidentally murdered during one of his unsavory parties.,https://www.imdb.com/title/tt0029217/?ref_=sr_i_5
6. Topper,1937,1h 37m,Approved,7.2,9.1K,,"A fun-loving couple, finding that they died and are now ghosts, decide to shake up the stuffy lifestyle of a friend of theirs.",https://www.imdb.com/title/tt0029682/?ref_=sr_i_6
7. You Only Live Once,1937,1h 26m,Approved,7.2,8.4K,,"The public defender's secretary and an ex-convict get married and try to make a life together, but a series of disasters sends their lives spiraling out of control.",https://www.imdb.com/title/tt0029808/?ref_=sr_i_7
8. Nothing Sacred,1937,1h 17m,Approved,6.8,7.8K,78,"An eccentric woman learns she is not dying of radium poisoning as earlier assumed, but when she meets a reporter looking for a story, she feigns sickness again for her own profit.",https://www.imdb.com/title/tt0029322/?ref_=sr_i_8
9. Kid Galahad,1937,1h 42m,Approved,7.2,4.4K,64,"Fight promoter Nick Donati grooms a bellhop as a future champ, but has second thoughts after the now-named Kid Galahad falls for his sister.",https://www.imdb.com/title/tt0029080/?ref_=sr_i_9
10. Sh! The Octopus,1937,54m,Approved,5.5,776,,"Kelly and Dempsey, along with strangers, are trapped in a lighthouse, terrorized by a killer octopus and a criminal mastermind named after the same creature. Their objective is to survive and uncover the truth behind the sinister events.",https://www.imdb.com/title/tt0029541/?ref_=sr_i_10
11. The Life of Emile Zola,1937,1h 56m,Approved,7.1,10K,,"The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfus Affair, a Jewish army officer who is accused of treason.",https://www.imdb.com/title/tt0029146/?ref_=sr_i_11
12. Lost Horizon,1937,2h 12m,Approved,7.6,16K,,"When a revered diplomat's plane is diverted and crashes in the peaks of Tibet, he and the other survivors are guided to an isolated monastery at Shangri-La, where they wrestle with the invitation to stay.",https://www.imdb.com/title/tt0029162/?ref_=sr_i_12
13. Captains Courageous,1937,1h 57m,Approved,7.9,12K,81,"A spoiled brat who falls overboard from a steamship in the 1920s gets picked up by a New England fishing boat, where he's made to earn his keep by joining the crew in their work.",https://www.imdb.com/title/tt0028691/?ref_=sr_i_13
14. Dead End,1937,1h 33m,Approved,7.2,9.7K,,"The lives of a young man, a young woman, a notorious gangster, and a group of street kids converge one day in a volatile New York City slum.",https://www.imdb.com/title/tt0028773/?ref_=sr_i_14
15. Stella Dallas,1937,1h 46m,Approved,7.4,7.1K,,A working-class woman is willing to do whatever it takes to give her daughter a socially promising future.,https://www.imdb.com/title/tt0029608/?ref_=sr_i_15
16. Young and Innocent,1937,1h 23m,Not Rated,6.8,12K,77,A man on the run from a murder charge enlists the help of a beautiful stranger who must put herself at risk for his cause.,https://www.imdb.com/title/tt0029811/?ref_=sr_i_16
17. A Day at the Races,1937,1h 51m,Approved,7.5,15K,,A veterinarian posing as a doctor teams with a singer and his friends as they struggle to save an upstate New York sanitarium with the help of a misfit racehorse.,https://www.imdb.com/title/tt0028772/?ref_=sr_i_17
18. Saratoga,1937,1h 32m,Approved,6.5,2.2K,,"After winning a stud farm in lieu of gambling debts, bookie Duke Bradley turns an eye to the daughter of the now deceased gambler and her millionaire fiancée.",https://www.imdb.com/title/tt0029516/?ref_=sr_i_18
19. A Damsel in Distress,1937,1h 41m,Approved,6.8,2.6K,,"A betting castle staff, and a series of misunderstandings and set-ups, leads to an American entertainer and an English damsel falling in love.",https://www.imdb.com/title/tt0028757/?ref_=sr_i_19
20. Night Key,1937,1h 8m,Approved,6.3,1.3K,,The inventor of a new top-of-the-line burglar alarm system is kidnapped by a gang in order to get him to help them commit robberies.,https://www.imdb.com/title/tt0029309/?ref_=sr_i_20
21. Conquest,1937,1h 53m,Approved,6.5,1.9K,,A Polish countess becomes Napoleon Bonaparte's mistress at the urging of Polish leaders who feel she could influence him to make Poland independent.,https://www.imdb.com/title/tt0028739/?ref_=sr_i_21
22. Born to the West,1937,49m,Approved,5.7,1.1K,,Can Dare Rudd prove he is responsible enough to win the heart of Judy and also outwit the crooked saloon owner?,https://www.imdb.com/title/tt0028653/?ref_=sr_i_22
23. Woman Chases Man,1937,1h 11m,Approved,6.5,588,,"Former millionaire B.J. Nolan is useless with money, having lost most of his fortune on crazy schemes. His son, Kenneth, has the opposite problem thanks to good sense and a large inheritance bequeathed by his mother. In order to raise the cash for a housing project, B.J. enlists the help of young architect Virginia Travis to con the money out of Kenneth. At the same time, Kenneth is being pursued by a pair of small-time hucksters and chaos results after they all end up in staying in B.J.'s house.",https://www.imdb.com/title/tt0029789/?ref_=sr_i_23
24. The Spanish Earth,1937,52m,Unrated,6.5,930,,A documentary showing the struggle of the Spanish Republican government against a rebellion by ultra-right-wing forces led by Gen. Francisco Franco and backed by Nazi Germany and Fascist Italy.,https://www.imdb.com/title/tt0029594/?ref_=sr_i_24
25. Il signor Max,1937,1h 26m,Approved,7.0,391,,"Vittorio De Sica, heir to a large sum of money and owner of a newspaper vending stall, makes enough money out of his business to take a vacation at a fashionable resort. He is given a cruise ticket by an aristocrat who is an old school friend, and is mistaken for the aristocrat when he uses a camera that has his friends name on it. Assia Noris plays a maid who falls in love with him because of who he is and not who others think he is. Happy ending comes when De Sica marries Noris, who is more real than the pampered society belles he has been partying with. Shown in the USA with Italian dialogue and no English titles.",https://www.imdb.com/title/tt0029562/?ref_=sr_i_25
26. A Star Is Born,1937,1h 51m,Approved,7.3,12K,77,"Young Esther Victoria Blodgett comes to Hollywood with dreams of stardom and achieves them only with the help of alcoholic leading man Norman Maine, whose best days are behind him.",https://www.imdb.com/title/tt0029606/?ref_=sr_i_26
27. Stage Door,1937,1h 32m,Approved,7.7,9.9K,,"A chronicle of the ambitions, dreams, and disappointments of aspiring actresses who all live in the same boarding house.",https://www.imdb.com/title/tt0029604/?ref_=sr_i_27
28. Shall We Dance,1937,1h 49m,Approved,7.4,8.4K,,"A ballet dancer and a showgirl fake a marriage for publicity purposes, then fall in love.",https://www.imdb.com/title/tt0029546/?ref_=sr_i_28
29. Heidi,1937,1h 28m,G,7.2,5.4K,,"A plucky little orphan girl gets dumped abruptly into her gruff, hermit grandfather's care, then later gets retaken and delivered as a companion for an injured girl.",https://www.imdb.com/title/tt0028988/?ref_=sr_i_29
