Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
30. Planet of the Vampires,1965,1h 28m,Not Rated,6.2,7.4K,,"After landing on a mysterious planet, a team of astronauts begin to turn on each other, swayed by the uncertain influence of the planet and its strange inhabitants.",https://www.imdb.com/title/tt0059792/?ref_=sr_i_30,,,
31. War and Peace,1965,6h 33m,GP,8.3,8.7K,,The Russian aristocracy prepares for the French invasion on the eve of 1812.,https://www.imdb.com/title/tt0063794/?ref_=sr_i_31,,,
32. Chimes at Midnight,1965,1h 55m,Not Rated,7.6,10K,,"When King Henry IV ascends to the throne, his heir, the Prince of Wales, is befriended by Sir John Falstaff, an old, overweight, fun-loving habitual liar. Through Falstaff's eyes we see the reign of King Henry IV and the rise of Henry V.",https://www.imdb.com/title/tt0059012/?ref_=sr_i_32,,,
33. The Saragossa Manuscript,1965,3h 2m,,7.8,6.1K,,"Upon finding a book that relates his grandfather's story, an officer ventures through Spain meeting a wide array of characters, most of whom have a story of their own to tell.",https://www.imdb.com/title/tt0059643/?ref_=sr_i_33,,,
34. Juliet of the Spirits,1965,2h 17m,Not Rated,7.4,15K,,"Visions, memories, and mysticism all help a 40-something woman to find the strength to leave her cheating husband.",https://www.imdb.com/title/tt0059229/?ref_=sr_i_34,,,
35. Alphaville,1965,1h 39m,Not Rated,7.0,29K,,An agent wrecks the main computer on another planet.,https://www.imdb.com/title/tt0058898/?ref_=sr_i_35,,,
36. Spoils of the Night,1965,1h 24m,X,,,,"Toru Matoba is a bartender at a singles bar in Tokyo. Besides his regular duties, he is a pimp and a gigolo, constantly seducing and using the women customers in the bar. Kazuko Uehara and her younger sister, Hatsue, are two of his victims; when he finds himself in trouble, Toru forces Kazuko to become a prostitute. A group of professional prostitute dealers resent Toru's efforts and give him a beating that sends him to the hospital. Meanwhile, Kazuko is arrested for prostitution and discovers that Toru denies any knowledge of her and that her parents have disowned her. The younger sister, Hatsue, seeks revenge and murders Toru.",https://www.imdb.com/title/tt0204416/?ref_=sr_i_36,,,
37. Six in Paris,1965,1h 35m,,6.7,1.5K,,"Six vignettes set in different sections of Paris, by six directors. St. Germain des Pres (Douchet), Gare du Nord (Rouch), Rue St. Denis (Pollet), and Montparnasse et Levallois (Godard) are stories of love, flirtation and prostitution; Place d'Etoile (Rohmer) concerns a haberdasher and his umbrella; and La Muette (Chabrol), a bourgeois family and earplugs.",https://www.imdb.com/title/tt0059565/?ref_=sr_i_37,,,
38. Major Dundee,1965,2h 3m,Approved,6.7,9K,,"In 1864, due to frequent Apache raids from Mexico into the U.S., a Union officer decides to illegally cross the border and destroy the Apache, using a mixed army of Union troops, Confederate POWs, civilian mercenaries, and scouts.",https://www.imdb.com/title/tt0059418/?ref_=sr_i_38,,,
39. I Knew Her Well,1965,1h 55m,Not Rated,7.6,3.3K,,"Adriana, a naive Italian country girl, moves to Rome to become a movie star and experiences the dark side of the business.",https://www.imdb.com/title/tt0060545/?ref_=sr_i_39,,,
40. Shakespeare-Wallah,1965,2h,Not Rated,6.8,944,,"The family troupe of English actors in India, performing Shakespearean plays, witness India's transformation as Maharajas shift to hotel owners, sports dominate, and theater replaced by Bolliwood movies.",https://www.imdb.com/title/tt0059709/?ref_=sr_i_40,,,
41. Genghis Khan,1965,2h,Approved,5.8,2.6K,,"During the thirteenth century, the shy Mongol boy Temujin becomes the fearless leader Genghis Khan, who unites all Mongol tribes and conquers most of Asia, Europe, and the Middle East.",https://www.imdb.com/title/tt0059219/?ref_=sr_i_41,,,
42. Repulsion,1965,1h 45m,Not Rated,7.6,59K,,A withdrawn manicurist who disapproves of her sister's boyfriend sinks into depression and experiences horrific visions of violence.,https://www.imdb.com/title/tt0059646/?ref_=sr_i_42,,,
"43. Faster, Pussycat! Kill! Kill!",1965,1h 23m,Not Rated,6.6,17K,,"Three go-go dancers holding a young girl hostage come across a crippled old man living with his two sons in the desert. After learning he's hiding a sum of cash around, the women start scheming on him.",https://www.imdb.com/title/tt0059170/?ref_=sr_i_43,,,
44. Pierrot le fou,1965,1h 50m,PG-13,7.4,38K,,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",https://www.imdb.com/title/tt0059592/?ref_=sr_i_44,,,
45. The Spy Who Came in from the Cold,1965,1h 52m,Approved,7.5,19K,,"Instead of coming in from the Cold War, British agent Alec Leamas chooses to face another mission.",https://www.imdb.com/title/tt0059749/?ref_=sr_i_45,,,
46. The Flight of the Phoenix,1965,2h 22m,Approved,7.5,23K,,"After an oil company plane crashes in the Sahara, the survivors' hopes are buoyed by one of the passengers, an airplane designer who comes up with a plan to build a flyable plane from the wreckage.",https://www.imdb.com/title/tt0059183/?ref_=sr_i_46,,,
47. The Collector,1965,1h 59m,Approved,7.5,12K,,A man kidnaps a woman and holds her hostage just for the pleasure of having her there.,https://www.imdb.com/title/tt0059043/?ref_=sr_i_47,,,
48. Viva Maria!,1965,1h 59m,Not Rated,6.3,4.1K,,"Somewhere in Central America in 1907: Maria II is the daughter of an Irish terrorist. After her father's death, she meets Maria I, a singer in a circus. She decides to stay with the circus, and on her debut as a singer, she unintentionally invents the strip-tease and makes the circus famous. Then they accidentally meet a socialist revolutionary and find themselves leading a revolution against the dictator, the capitalists and the Church.",https://www.imdb.com/title/tt0059956/?ref_=sr_i_48,,,
49. She,1965,1h 46m,Approved,5.8,3.7K,,"An Edwardian archaeologist and two companions stumble upon a lost city in East Africa, run by a beautiful queen whose love holds the promise of immortality.",https://www.imdb.com/title/tt0059710/?ref_=sr_i_49,,,
50. The Ipcress File,1965,1h 49m,Approved,7.2,18K,,"In London, a wisecracking spy investigates the kidnapping and brainwashing of British scientists while dealing with the constraints of his agency's bureaucracy.",https://www.imdb.com/title/tt0059319/?ref_=sr_i_50,,,
51. Simon of the Desert,1965,45m,Not Rated,7.8,11K,,"Simon, a deeply religious man living in the 4th century, wants to be nearer to God so he climbs a column. The Devil wants him to come down to Earth and is trying to seduce him.",https://www.imdb.com/title/tt0059719/?ref_=sr_i_51,,,
52. The War Lord,1965,2h 3m,Approved,6.6,3.8K,,"In 11th century Normandy, a Norman duke sends one of his knights to build a defensive fortress in order to guard the borders against Frisian raiders.",https://www.imdb.com/title/tt0059896/?ref_=sr_i_52,,,
53. The Glory Guys,1965,1h 52m,Approved,6.1,1.1K,,What could be worse for two cavalry officers than to battle with native tribes? To battle each other for the same woman.,https://www.imdb.com/title/tt0059232/?ref_=sr_i_53,,,
54. A Study in Terror,1965,1h 35m,,6.5,2.6K,,"Sherlock Holmes and Dr. John H. Watson join the hunt for the notorious serial killer, Jack the Ripper.",https://www.imdb.com/title/tt0059764/?ref_=sr_i_54,,,
55. Bunny Lake Is Missing,1965,1h 47m,Not Rated,7.3,11K,,"A woman reports that her young daughter is missing, but there seems to be no evidence that she ever existed.",https://www.imdb.com/title/tt0058997/?ref_=sr_i_55,,,
56. Red Beard,1965,3h 5m,Not Rated,8.3,22K,,"In 19th-century Japan, a rough-tempered yet charitable town doctor trains a young intern.",https://www.imdb.com/title/tt0058888/?ref_=sr_i_56,,,
57. The Heroes of Telemark,1965,2h 11m,Approved,6.5,8.3K,,Norwegian resistance tries to stop German efforts to produce heavy water needed for making atomic bombs during World War II.,https://www.imdb.com/title/tt0059263/?ref_=sr_i_57,,,
58. The 10th Victim,1965,1h 32m,Not Rated,6.6,5.2K,,"In a future where a human vs. human ""Big Hunt"" is used as an alternative to war, a veteran huntress' plan to kill a ""victim"" for a major TV sponsorship deal is compounded by romance.",https://www.imdb.com/title/tt0059095/?ref_=sr_i_58,,,
59. Happiness,1965,1h 20m,Not Rated,7.6,10K,,"François, a young carpenter, lives a happy, uncomplicated life with his wife Thérèse and their two small children. One day he meets Emilie, a clerk in the local post office.",https://www.imdb.com/title/tt0058985/?ref_=sr_i_59,,,
60. Who Killed Teddy Bear,1965,1h 34m,Not Rated,6.6,1.1K,,"In New York, a disco hostess is stalked by a sexual predator and she requests help from a vice squad detective who takes a personal interest in the case.",https://www.imdb.com/title/tt0059909/?ref_=sr_i_60,,,
61. Dr. Terror's House of Horrors,1965,1h 38m,Approved,6.6,7.9K,,"Aboard a British train, mysterious fortune teller Dr. Schreck uses tarot cards to read the futures of five fellow passengers.",https://www.imdb.com/title/tt0059125/?ref_=sr_i_61,,,
62. Ship of Fools,1965,2h 29m,Approved,7.1,7.2K,,A varied group of passengers boarding a ship bound for pre-WWII Germany represents a microcosm of early-1930s society.,https://www.imdb.com/title/tt0059712/?ref_=sr_i_62,,,
63. Orgy of the Dead,1965,1h 32m,Unrated,3.0,3.4K,,A couple driving to a cemetery looking for inspiration for a horror story encounters the dancing dead.,https://www.imdb.com/title/tt0054240/?ref_=sr_i_63,,,
64. Shenandoah,1965,1h 45m,Approved,7.3,9.9K,,A Virginia farmer who has vowed to remain neutral during the Civil War is spurred into action when his youngest son is taken by Union soldiers.,https://www.imdb.com/title/tt0059711/?ref_=sr_i_64,,,
65. Ski Party,1965,1h 30m,Approved,5.2,859,,"In this musical, college classmates Todd Armstrong (Frankie Avalon) and Craig Gamble (Dwayne Hickman) head out on a group ski vacation, and agree that if they're going to get girlfriends, they need to understand how women think.",https://www.imdb.com/title/tt0059726/?ref_=sr_i_65,,,
66. The Agony and the Ecstasy,1965,2h 18m,Approved,7.2,8.3K,,The biographical story of Michelangelo's troubles while painting the Sistine Chapel at the urging of Pope Julius II.,https://www.imdb.com/title/tt0058886/?ref_=sr_i_66,,,
67. The Hill,1965,2h 3m,Approved,7.8,16K,,"In a North African military prison during World War II, five new prisoners struggle to survive in the face of brutal punishment and sadistic guards.",https://www.imdb.com/title/tt0059274/?ref_=sr_i_67,,,
68. Beach Blanket Bingo,1965,1h 38m,Approved,5.6,3.2K,,"Frankie, DeeDee, and the gang meet singing sensation Sugar Kane in a publicity stunt; they all get introduced to skydiving and get caught up in love.",https://www.imdb.com/title/tt0058953/?ref_=sr_i_68,,,
69. A Patch of Blue,1965,1h 45m,Approved,8.0,9.8K,,"A blind, uneducated white girl is befriended by a black man who becomes determined to help her escape her impoverished and abusive home life by introducing her to the outside world.",https://www.imdb.com/title/tt0059573/?ref_=sr_i_69,,,
70. Operation Crossbow,1965,1h 55m,PG-13,6.6,5.7K,,Allied agents attempt to infiltrate a German rocket research site.,https://www.imdb.com/title/tt0059549/?ref_=sr_i_70,,,
71. Loves of a Blonde,1965,1h 28m,Not Rated,7.5,9.7K,,Factory manager gets army reserves to boost female workers' morale. Local beauty spurns them for jazz pianist who seduces her. She leaves for Prague to find him but his parents are displeased when she arrives.,https://www.imdb.com/title/tt0059415/?ref_=sr_i_71,,,
72. Othello,1965,2h 45m,Unrated,7.0,1.7K,,General Othello's marriage is destroyed when vengeful Ensign Iago convinces him that his new wife has been unfaithful.,https://www.imdb.com/title/tt0059555/?ref_=sr_i_72,,,
73. Ten Little Indians,1965,1h 31m,Not Rated,6.6,5.5K,,"Ten people are invited to a luxury mountaintop mansion, only to find that an unseen person is killing them one by one. Could one of them be the killer?",https://www.imdb.com/title/tt0061075/?ref_=sr_i_73,,,
74. Darling,1965,2h 8m,TV-MA,7.0,8.1K,,Beautiful but amoral model Diana Scott sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.,https://www.imdb.com/title/tt0059084/?ref_=sr_i_74,,,
75. Frosty,1965,1h 24m,,6.3,5.7K,,"A fairy-tale about a conceited young man and a young woman with a tyrannical step-mother, who must overcome magical trials in order to be together.",https://www.imdb.com/title/tt0058374/?ref_=sr_i_75,,,
76. How to Stuff a Wild Bikini,1965,1h 33m,Not Rated,4.7,1.7K,,"Frankie, on naval-reserve duty in Tahiti, doesn't trust Dee Dee to stay faithful, so he hires Bwana, a witch doctor, to help. Bwana conjures up a floating bikini, ""stuffs"" it with Cassandra, and sends her to distract advertising executive Ricky from Dee Dee.",https://www.imdb.com/title/tt0059287/?ref_=sr_i_76,,,
77. The Sex Perils of Paulette,1965,1h 12m,Not Rated,4.4,203,,"A young girl arrives in New York City from Ohio determined to make it in the big city, but circumstances result in her becoming a waitress, then a prostitute.",https://www.imdb.com/title/tt0127851/?ref_=sr_i_77,,,
78. Village of the Giants,1965,1h 21m,Not Rated,3.7,2.8K,,"Delinquent teen-agers ingest a substance and grow thirty feet tall, then proceed to take over a small town.",https://www.imdb.com/title/tt0059878/?ref_=sr_i_78,,,
79. The Rounders,1965,1h 25m,TV-PG,6.1,2K,,"In Sedona, two aging cowpokes bust broncos, charm local ladies and bet on outcomes at the rodeo.",https://www.imdb.com/title/tt0059661/?ref_=sr_i_79,,,
80. Once a Thief,1965,1h 47m,Not Rated,6.5,2.2K,,"San Francisco ex-con Eddie Pedak wants to go straight, but local cop Mike Vido, motivated by a personal vendetta, keeps harassing him while Eddie's brother Walter wants Eddie for one last major heist.",https://www.imdb.com/title/tt0059540/?ref_=sr_i_80,,,
81. The Naked Prey,1965,1h 36m,Approved,7.3,6K,,"During the 1800s, a safari guide, two elephant hunters and their crew run into trouble with the natives in the South African veld when they refuse to offer gifts to the tribesmen.",https://www.imdb.com/title/tt0060736/?ref_=sr_i_81,,,
82. Time to Love,1965,1h 26m,,7.9,7.9K,,A poor painter falls in love with a photograph of a woman while at work in one of the massive villas on Istanbul's Princes' Islands.,https://www.imdb.com/title/tt0167400/?ref_=sr_i_82,,,
83. Bloody Pit of Horror,1965,1h 26m,Unrated,4.5,2.5K,,"A photographer and models go to an abandoned castle to shoot some sexy covers for horror novels. Unbeknownst to them, the castle is inhabited by a lunatic who believes himself to be the reincarnated spirit of a 17th century executioner.",https://www.imdb.com/title/tt0058983/?ref_=sr_i_83,,,
84. Invasion of Astro-Monster,1965,1h 33m,G,6.2,7.8K,,"Astronauts encounter the Xiliens, who ask Earth's people to help save them from ""Monster Zero"", but when one of the astronaut romances a mysterious woman, he uncovers the Xilien's true intentions.",https://www.imdb.com/title/tt0059346/?ref_=sr_i_84,,,
85. The Loved One,1965,2h 2m,Approved,6.9,4K,,"Satire on the funeral business, in which a young British poet goes to work at a Hollywood cemetery.",https://www.imdb.com/title/tt0059410/?ref_=sr_i_85,,,
86. Lord Jim,1965,2h 34m,Not Rated,6.7,4.3K,,"After being discredited as a coward, a 19th century seaman lives for only one purpose: to redeem himself.",https://www.imdb.com/title/tt0059399/?ref_=sr_i_86,,,
87. Shadows of Forgotten Ancestors,1965,1h 37m,,7.8,8.8K,,A timeless Carpathian story - the young Ivan falls in love with the daughter of his father's killer among the Hutsul people of Ukraine.,https://www.imdb.com/title/tt0058642/?ref_=sr_i_87,,,
88. The Skull,1965,1h 23m,Approved,6.2,3.7K,,A collector comes into possession of the skull of the Marquis de Sade and learns it is possessed by an evil spirit.,https://www.imdb.com/title/tt0059727/?ref_=sr_i_88,,,
"89. Boeing, Boeing",1965,1h 42m,Approved,6.4,3.6K,,Robert Reed visits his philandering friend Bernard Lawrence just as Bernard's scheme of being secretly simultaneously engaged to three flight attendants goes awry. Based on Marc Camoletti's stage play.,https://www.imdb.com/title/tt0058981/?ref_=sr_i_89,,,
90. King Rat,1965,2h 14m,Approved,7.5,5.2K,,Fast-talking wheeler-dealer Corporal King is stuck in a Malaysian P.O.W. camp during World War II and uses bribery and larceny to take de-facto control of the camp.,https://www.imdb.com/title/tt0059358/?ref_=sr_i_90,,,
91. Die! Die! My Darling!,1965,1h 37m,Not Rated,6.3,3.2K,,A young woman is terrorized by her deceased fiancé's demented mother who blames her for her son's death.,https://www.imdb.com/title/tt0059106/?ref_=sr_i_91,,,
92. The Satan Bug,1965,1h 54m,Approved,6.1,3.2K,,"A germ that could destroy life on Earth is stolen from a biological warfare lab and the thief threatens to release it into the open, prompting a security officer to act.",https://www.imdb.com/title/tt0059678/?ref_=sr_i_92,,,
93. The Nanny,1965,1h 33m,Approved,7.1,7K,,There's just something not quite right when Bette Davis stars as an English nanny. And is her 10-year-old charge an emotionally disturbed murderer or just an insolent brat?,https://www.imdb.com/title/tt0059496/?ref_=sr_i_93,,,
94. Young Cassidy,1965,1h 50m,Approved,6.5,1.4K,,"The misadventures of a young idealist man in Dublin, Ireland in the early twentieth century.",https://www.imdb.com/title/tt0059930/?ref_=sr_i_94,,,
95. Mudhoney,1965,1h 32m,TV-MA,6.3,1.5K,,"In 1933, in the midst of the Depression and Prohibition, Calif, a stranger with a past, walks into Spooner, Missouri on his way from Michigan to California. He hires on with Lute Wade to earn some traveling money, but gets entangled in a bad family situation: Lute's daughter is married to Sidney, a good-for-nothing drunk who frequents the rural equivalent of a whorehouse, beats his wife, and is just waiting for Lute to kick the bucket to get his money. When Sidney and a local wacko preacher start to orchestrate a smear campaign against Calif, he struggles to conceal his past--and his growing affection for Sidney's wife.",https://www.imdb.com/title/tt0059477/?ref_=sr_i_95,,,
96. The Bedford Incident,1965,1h 42m,Approved,7.3,6.1K,,An American destroyer Captain is determined to confront a Soviet submarine caught violating territorial waters. Perhaps too determined.,https://www.imdb.com/title/tt0058962/?ref_=sr_i_96,,,
97. Dr. Who and the Daleks,1965,1h 22m,Not Rated,5.6,5.5K,,An eccentric inventor and his companions travel in his TARDIS to the Planet Skaro and battle the evil menace of the Daleks.,https://www.imdb.com/title/tt0059126/?ref_=sr_i_97,,,
98. Nightmare Castle,1965,1h 30m,Approved,5.7,2.8K,,A woman and her lover are tortured and killed by her sadistic husband. The pair return from the grave to seek vengeance.,https://www.imdb.com/title/tt0060097/?ref_=sr_i_98,,,
99. Sandra,1965,1h 45m,,7.1,2.3K,,"Sandra returns to her childhood village to take care of family business, but her childhood memories and secrets soon overcome her.",https://www.imdb.com/title/tt0059856/?ref_=sr_i_99,,,
100. The Knack... and How to Get It,1965,1h 24m,Approved,6.3,3.8K,,A young school teacher tries to master the art of flirtation using his neighbor's skills.,https://www.imdb.com/title/tt0059362/?ref_=sr_i_100,,,
101. The Shop on Main Street,1965,2h 8m,Not Rated,8.2,9.9K,,"A carpenter in the Fascist Slovak State is appointed ""Aryan controller"" of a Jewish widow's store.",https://www.imdb.com/title/tt0059527/?ref_=sr_i_101,,,
102. Red Line 7000,1965,1h 50m,Approved,5.6,1.2K,,"The story of three racing drivers and three women, who constantly have to worry for the lives of their boyfriends. Jim Loomis and Mike Marsh drive for Pat Cassarian. Jim expects his fiancée Holly, but before she arrives, he dies in a race. Since she doesn't have the money to travel back, she stays. The young and very ambitious talent Ned Arp joins the team, and immediately starts wooing Pat's sister Julie. Third on the team is womanizer Dan McCall, who brings with him his current girlfriend Gabrielle from Paris. So the basic theme of this movie is, ""Whom with whom?""",https://www.imdb.com/title/tt0059641/?ref_=sr_i_102,,,
"103. Die, Monster, Die!",1965,1h 20m,Approved,5.6,3.8K,,"A young man visits his fiancée's estate to discover that her wheelchair-bound scientist father has discovered a meteorite that emits mutating radiation rays that have turned the plants in his greenhouse to giants. When his own wife falls victim to this mysterious power, the old man takes it upon himself to destroy the glowing object with disastrous results.",https://www.imdb.com/title/tt0059465/?ref_=sr_i_103,,,
104. Harum Scarum,1965,1h 35m,Approved,4.6,2K,,American singer Johnny Tyronne is enlisted by sinister forces to assassinate an Arab king--and falls in love with that very king's daughter.,https://www.imdb.com/title/tt0059255/?ref_=sr_i_104,,,
105. Crack in the World,1965,1h 36m,Approved,5.9,3K,,"A dying scientist pushes forward his project to tap through to the Earth's magma layer, with results that threaten to destroy the Earth as we know it.",https://www.imdb.com/title/tt0059065/?ref_=sr_i_105,,,
106. 7 Women,1965,1h 27m,Approved,6.7,2.8K,,"In 1935 China, seven dedicated missionary women try to protect themselves from the advances of a barbaric Mongolian warlord and his cut-throat gang of warriors.",https://www.imdb.com/title/tt0060050/?ref_=sr_i_106,,,
107. The Alphabet Murders,1965,1h 30m,,5.3,1.9K,,Hercule Poirot investigates a series of murders in London in which the victims are killed according to their initials.,https://www.imdb.com/title/tt0060094/?ref_=sr_i_107,,,
108. Inside Daisy Clover,1965,2h 8m,Approved,6.1,4.4K,,A tomboy turned movie star deals with the cruelty of Hollywood.,https://www.imdb.com/title/tt0059314/?ref_=sr_i_108,,,
109. Gamera: The Giant Monster,1965,1h 21m,Not Rated,5.2,3.9K,,"From out of the arctic comes a gigantic flying, fire-breathing turtle that sets its sights on destroying Tokyo.",https://www.imdb.com/title/tt0059080/?ref_=sr_i_109,,,
"110. War and Peace, Part I: Andrei Bolkonsky",1965,2h 27m,Not Rated,8.2,2.2K,,Napoleon's tumultuous relations with Russia including his disastrous 1812 invasion serve as the backdrop for the tangled personal lives of five aristocratic Russian families.,https://www.imdb.com/title/tt0059884/?ref_=sr_i_110,,,
111. Libido,1965,1h 30m,TV-PG,6.4,640,,"A young man visits his ancestral home accompanied by his guardian and their respective wives, where he is plagued by the memories and influence of his murderous, psychosexual father.",https://www.imdb.com/title/tt0061906/?ref_=sr_i_111,,,
