Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
1. The Sound of Music,1965,2h 52m,G,8.1,269K,,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,https://www.imdb.com/title/tt0059742/?ref_=sr_i_1,,,
2. Doctor Zhivago,1965,3h 17m,Approved,7.9,83K,,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",https://www.imdb.com/title/tt0059113/?ref_=sr_i_2,,,
3. Thunderball,1965,2h 10m,Approved,6.9,130K,,James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,https://www.imdb.com/title/tt0059800/?ref_=sr_i_3,,,
4. Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes,1965,2h 18m,G,7.0,9.4K,,"Hoping to push Britain to the forefront of aviation, a London publisher organizes an international air race across the English Channel, but must contend with two entrants vying for his daughter, as well as national rivalries and cheating.",https://www.imdb.com/title/tt0059797/?ref_=sr_i_4,,,
5. That Darn Cat!,1965,1h 56m,G,6.7,8.2K,,"After a kidnapped bank teller uses a neighbor's wandering cat to send an S.O.S., the F.B.I. assigns a cat-allergic Agent to the case.",https://www.imdb.com/title/tt0059793/?ref_=sr_i_5,,,
6. The Great Race,1965,2h 40m,Approved,7.2,20K,,"In the early 20th century, heroic Leslie Gallant and his despicable rival Professor Fate engage in an epic automobile race from New York to Paris while enthusiastic suffragette Maggie Dubois enters the race to report on every step of it.",https://www.imdb.com/title/tt0059243/?ref_=sr_i_6,,,
7. Cat Ballou,1965,1h 37m,Approved,6.7,17K,,A young schoolteacher turns into an outlaw to avenge her murdered father.,https://www.imdb.com/title/tt0059017/?ref_=sr_i_7,,,
8. What's New Pussycat,1965,1h 48m,Approved,6.1,11K,,A playboy who refuses to give up his hedonistic lifestyle to settle down and marry his true love seeks help from a demented psychoanalyst who is having romantic problems of his own.,https://www.imdb.com/title/tt0059903/?ref_=sr_i_8,,,
9. Von Ryan's Express,1965,1h 57m,Approved,7.1,15K,,An American POW leads a group of mainly British prisoners to escape from the Germans in WWII.,https://www.imdb.com/title/tt0059885/?ref_=sr_i_9,,,
10. The Greatest Story Ever Told,1965,4h 20m,G,6.5,12K,,"An all-star, large scale epic movie that chronicles the life and ministry of Jesus Christ.",https://www.imdb.com/title/tt0059245/?ref_=sr_i_10,,,
11. The Cincinnati Kid,1965,1h 42m,TV-14,7.2,19K,,An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,https://www.imdb.com/title/tt0059037/?ref_=sr_i_11,,,
12. The Sandpiper,1965,1h 57m,TV-14,6.2,3.9K,,"A free-spirited single mother forms a connection with the married headmaster of an Episcopalian boarding school in Monterey, California.",https://www.imdb.com/title/tt0059674/?ref_=sr_i_12,,,
13. For a Few Dollars More,1965,2h 12m,R,8.2,282K,,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,https://www.imdb.com/title/tt0059578/?ref_=sr_i_13,,,
14. The Sons of Katie Elder,1965,2h 2m,Approved,7.1,20K,,Ranch owner Katie Elder's four sons determine to avenge the murder of their father and the swindling of their mother.,https://www.imdb.com/title/tt0059740/?ref_=sr_i_14,,,
15. Help!,1965,1h 32m,G,7.1,21K,,"When a female member of a murderous Eastern cult sends Ringo Starr their Sacrificial ring and it gets stuck on his hand, he becomes a target of both the cult and an obsessed scientist. Can his fellow Beatles protect him?",https://www.imdb.com/title/tt0059260/?ref_=sr_i_15,,,
16. How to Murder Your Wife,1965,1h 58m,Approved,6.5,7.2K,,A dedicated bachelor drunkenly marries a young woman and immediately lives to regret it.,https://www.imdb.com/title/tt0058212/?ref_=sr_i_16,,,
17. Do Not Disturb,1965,1h 42m,Not Rated,5.8,1.9K,,"When American couple Janet (Doris Day) and Mike (Rod Taylor) move to England for his business, she soon fears he's having an affair with his attractive secretary and decides to get back at him by pretending she has been unfaithful.",https://www.imdb.com/title/tt0059112/?ref_=sr_i_17,,,
18. Battle of the Bulge,1965,2h 47m,Approved,6.8,18K,,A dramatization of Nazi Germany's final Western Front counterattack of World War II.,https://www.imdb.com/title/tt0058947/?ref_=sr_i_18,,,
19. The Hallelujah Trail,1965,2h 45m,Approved,6.5,4.6K,,"On its way to Denver, a cargo of whiskey destined for the miners, is sought after by the Temperance League, the U.S. Cavalry, the local Indians and the miners themselves.",https://www.imdb.com/title/tt0059250/?ref_=sr_i_19,,,
20. Daytona Beach Weekend,1965,1h 27m,,6.9,14,,Romantic and comedic hi-jinks ensue when a group of students take a break from college and go to Daytona Beach.,https://www.imdb.com/title/tt0188550/?ref_=sr_i_20,,,
21. The Art of Love,1965,1h 39m,,6.1,1K,,Struggling artist fakes his own death so his works will increase in value.,https://www.imdb.com/title/tt0058920/?ref_=sr_i_21,,,
22. Tickle Me,1965,1h 30m,Not Rated,5.8,2.1K,,A singing rodeo rider gets hired at an expensive all-female dude ranch/beauty spa and falls for a pretty fitness trainer who's under constant threat from a gang who wants her late grandfather's cache of gold that's hidden in a ghost town.,https://www.imdb.com/title/tt0056585/?ref_=sr_i_22,,,
23. Girl Happy,1965,1h 36m,Approved,6.3,3.1K,,"A Chicago mobster hires a rock'n'roll singer and his band to keep an eye on his daughter during Spring Break in Fort Lauderdale, Florida.",https://www.imdb.com/title/tt0059224/?ref_=sr_i_23,,,
24. Casanova 70,1965,1h 53m,Not Rated,6.4,1.4K,,"The amorous adventures of Andrea Rossi-Colombotti, an army officer who finds pleasure with beautiful women in life-threatening situations.",https://www.imdb.com/title/tt0059015/?ref_=sr_i_24,,,
25. A Thousand Clowns,1965,1h 58m,Approved,7.3,3.8K,,"A middle-aged iconoclast, doggedly avoiding the tedium of employment and conventional life, faces the prospect of losing custody of his young ward.",https://www.imdb.com/title/tt0059798/?ref_=sr_i_25,,,
26. In Harm's Way,1965,2h 45m,Approved,7.3,11K,,"A Naval officer, reprimanded after Pearl Harbor, is later promoted to Rear Admiral and gets a second chance to prove himself against the Japanese.",https://www.imdb.com/title/tt0059309/?ref_=sr_i_26,,,
27. Mirage,1965,1h 48m,Approved,7.2,6.2K,,An accountant suddenly suffers from amnesia. This appears related to the suicide of his boss. Now some violent thugs are out to get him. They work for a shadowy figure known simply as The Major.,https://www.imdb.com/title/tt0059448/?ref_=sr_i_27,,,
28. The Face of Fu Manchu,1965,1h 29m,,5.8,2.1K,,"After cheating death, master criminal Dr. Fu Manchu returns with a plot to contaminate the River Thames with a powerful toxin extracted from Tibetan poppies.",https://www.imdb.com/title/tt0059162/?ref_=sr_i_28,,,
29. The Legend of Blood Mountain,1965,1h 16m,,3.2,121,,A small-town newspaperman begins to suspect that a wave of murders committed in the area may not be the work of a serial killer but a monster.,https://www.imdb.com/title/tt0229528/?ref_=sr_i_29,,,
