Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Inside Out 2,2024,1h 36m,PG,7.5,255K,73.0,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",https://www.imdb.com/title/tt22022452/?ref_=sr_i_1,"['Meg LeFauve', 'Dave Holstein', 'Kelsey Mann']",['Kelsey Mann'],"['Amy Poehler', 'Maya Hawke', 'Kensington Tallman', 'Liza Lapira', 'Tony Hale', 'Lewis Black', 'Phyllis Smith', 'Ayo Edebiri', 'Lilimar', 'Grace Lu']","$200,000,000 (estimated)","$154,201,673","$1,698,863,816","$652,980,194","June 14, 2024",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","Nominated for 1 Oscar, 7 wins & 107 nominations total","['Coming-of-Age', 'Computer Animation', 'Psychological Drama', 'Quest', 'Teen Comedy', 'Teen Drama', 'Adventure', 'Animation', 'Comedy', 'Drama']","['English', 'French', 'Spanish']"
2. Deadpool & Wolverine,2024,2h 8m,R,7.5,577K,56.0,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",https://www.imdb.com/title/tt6263850/?ref_=sr_i_2,"['Ryan Reynolds', 'Rhett Reese', 'Paul Wernick']",['Shawn Levy'],"['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen', 'Jon Favreau', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams', 'Jennifer Garner']","$537,000,000 (estimated)","$211,435,291","$1,338,073,645","$636,745,858","July 26, 2024","['United States', 'Canada']","['Vancouver Film Studios - 3500 Cornett Rd, Vancouver, British Columbia, Canada']","['Marvel Studios', '20th Century Studios', 'Maximum Effort']","Awards, 31 wins & 71 nominations total","['Marvel', 'Action Epic', 'Adventure Epic', 'Buddy Comedy', 'Dark Comedy', 'High-Concept Comedy', 'Raunchy Comedy', 'Sci-Fi Epic', 'Superhero', 'Action']","['English', 'French', 'Spanish']"
3. Wicked,2024,2h 40m,PG,7.3,254K,73.0,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",https://www.imdb.com/title/tt1262426/?ref_=sr_i_3,"['Winnie Holzman', 'Dana Fox', 'Gregory Maguire']",['Jon M. Chu'],"['Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum', 'Michelle Yeoh', 'Jonathan Bailey', 'Ethan Slater', 'Marissa Bode', 'Peter Dinklage', 'Andy Nyman', 'Courtney Mae-Briggs']","$150,000,000 (estimated)","$112,508,890","$763,963,597","$474,983,975","November 22, 2024","['United Kingdom', 'United States', 'Canada', 'Japan']","['Sky Studios Elstree Rowley, Borehamwood, Hertfordshire, England, UK (Studio)']","['Universal Pictures', 'Marc Platt Productions', 'Moving Pictures (I)']","Won 2 Oscars, 127 wins & 326 nominations total","['Fairy Tale', 'Pop Musical', 'Fantasy', 'Musical', 'Romance']",['English']
4. Moana 2,2024,1h 40m,PG,6.3,128K,58.0,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",https://www.imdb.com/title/tt13622970/?ref_=sr_i_4,"['Jared Bush', 'Dana Ledoux Miller', 'Bek Smith']","['David G. Derrick Jr.', 'Jason Hand', 'Dana Ledoux Miller']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Hualālai Chung', 'Rose Matafeo', 'David Fane', 'Awhimai Fraser', 'Khaleesi Lambert-Tsuda', 'Temuera Morrison', 'Nicole Scherzinger', 'Rachel House']","$150,000,000 (estimated)","$139,787,385","$1,059,242,164","$460,405,297","November 27, 2024","['United States', 'Canada']","['Walt Disney Animation Studios, Vancouver BC (Studio)']","['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Walt Disney Animation Canada']","Awards, 6 wins & 30 nominations total","['Computer Animation', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']","['English', 'Samoan']"
5. Despicable Me 4,2024,1h 34m,PG,6.2,82K,52.0,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",https://www.imdb.com/title/tt7510222/?ref_=sr_i_5,"['Mike White', 'Ken Daurio']","['Patrick Delage', 'Chris Renaud']","['Steve Carell', 'Kristen Wiig', 'Pierre Coffin', 'Will Ferrell', 'Sofía Vergara', 'Chris Renaud', 'Dana Gaier Ellis', 'Madison Skyy Polan', 'Miranda Cosgrove', 'Steve Coogan']","$100,000,000 (estimated)","$75,009,210","$972,021,410","$361,004,205","July 3, 2024",['United States'],,"['Universal Pictures', 'Illumination Entertainment']","Awards, 2 wins & 6 nominations total","['Despicable Me', 'Computer Animation', 'Dark Comedy', 'Parody', 'Satire', 'Slapstick', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy']","['English', 'French']"
6. Beetlejuice Beetlejuice,2024,1h 45m,PG-13,6.6,177K,62.0,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",https://www.imdb.com/title/tt2049403/?ref_=sr_i_6,"['Michael McDowell', 'Larry Wilson', 'Alfred Gough']",['Tim Burton'],"['Michael Keaton', 'Winona Ryder', ""Catherine O'Hara"", 'Jenna Ortega', 'Justin Theroux', 'Willem Dafoe', 'Monica Bellucci', 'Arthur Conti', 'Nick Kellington', 'Santiago Cabrera']","$100,000,000 (estimated)","$111,003,345","$452,000,435","$294,100,435","September 6, 2024","['United States', 'France']","['East Corinth, Vermont, USA (Winter River, CT)']","['Warner Bros.', 'Domain Entertainment (II)', 'French Film Company']","Awards, 9 wins & 48 nominations total","['Body Horror', 'Dark Comedy', 'Dark Fantasy', 'Slapstick', 'Supernatural Fantasy', 'Supernatural Horror', 'Comedy', 'Fantasy', 'Horror']","['English', 'Italian', 'French', 'Spanish', 'Latin', 'Yiddish']"
7. Dune: Part Two,2024,2h 46m,PG-13,8.4,773K,79.0,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",https://www.imdb.com/title/tt15239678/?ref_=sr_i_7,"['Denis Villeneuve', 'Jon Spaihts', 'Frank Herbert']",['Denis Villeneuve'],"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux']","$190,000,000 (estimated)","$82,505,391","$714,844,358","$282,144,358","March 1, 2024","['United States', 'Canada', 'United Arab Emirates', 'Hungary', 'Italy', 'New Zealand', 'Jordan']","['Wadi Rum, Jordan']","['Warner Bros.', 'Legendary Pictures', 'Villeneuve Films']","Won 2 Oscars, 126 wins & 375 nominations total","['Dune', 'Action Epic', 'Adventure Epic', 'Desert Adventure', 'Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Drama']","['English', 'American Sign Language']"
8. Twisters,2024,2h 2m,PG-13,6.5,198K,65.0,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",https://www.imdb.com/title/tt12584954/?ref_=sr_i_8,"['Mark L. Smith', 'Joseph Kosinski', 'Michael Crichton']",['Lee Isaac Chung'],"['Daisy Edgar-Jones', 'Glen Powell', 'Anthony Ramos', 'Brandon Perea', 'Maura Tierney', 'Harry Hadden-Paton', 'Sasha Lane', 'Daryl McCormack', 'Kiernan Shipka', 'Nik Dodani']","$155,000,000 (estimated)","$81,251,415","$372,262,265","$267,762,265","July 19, 2024","['United States', 'Japan']","['El Reno, Oklahoma, USA']","['Universal Pictures', 'Warner Bros.', 'Amblin Entertainment']","Awards, 37 nominations total","['Disaster', 'Action', 'Adventure', 'Thriller']","['English', 'Korean']"
9. Mufasa: The Lion King,2024,1h 58m,PG,6.6,83K,56.0,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",https://www.imdb.com/title/tt13186482/?ref_=sr_i_9,['Jeff Nathanson'],['Barry Jenkins'],"['Aaron Pierre', 'Kelvin Harrison Jr.', 'Tiffany Boone', 'Kagiso Lediga', 'Preston Nyman', 'Blue Ivy Carter', 'John Kani', 'Mads Mikkelsen', 'Seth Rogen', 'Billy Eichner']","$200,000,000 (estimated)","$35,409,365","$722,631,756","$254,567,693","December 20, 2024","['United States', 'Canada']",['Botswana'],['Walt Disney Pictures'],"Awards, 1 win & 18 nominations total","['Animal Adventure', 'Computer Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'Musical']","['English', 'Swahili']"
10. Sonic the Hedgehog 3,2024,1h 50m,PG,6.9,83K,56.0,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",https://www.imdb.com/title/tt18259086/?ref_=sr_i_10,"['Pat Casey', 'Josh Miller', 'John Whittington']",['Jeff Fowler'],"['Jim Carrey', 'Ben Schwartz', 'Keanu Reeves', 'Idris Elba', ""Colleen O'Shaughnessey"", 'James Marsden', 'Tika Sumpter', 'Lee Majdoub', 'Krysten Ritter', 'Adam Pally']","$122,000,000 (estimated)","$60,102,146","$492,162,604","$236,115,100","December 20, 2024","['United States', 'Japan']","['London, England, UK']","['Paramount Pictures', 'Sega Sammy Group', 'Original Film']","Awards, 1 win & 6 nominations total","['Animal Adventure', 'Fantasy Epic', 'Globetrotting Adventure', 'Superhero', 'Supernatural Fantasy', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['English', 'Spanish', 'Japanese', 'French']"
11. Godzilla X Kong: The New Empire,2024,1h 55m,PG-13,6.0,137K,47.0,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",https://www.imdb.com/title/tt14539740/?ref_=sr_i_11,"['Terry Rossio', 'Adam Wingard', 'Simon Barrett']",['Adam Wingard'],"['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns', 'Fala Chen', 'Rachel House', 'Ron Smyck', 'Chantelle Jamieson', 'Greg Hatton']","$135,000,000 (estimated)","$80,006,561","$572,050,016","$196,350,016","March 29, 2024","['United States', 'Australia']","['Gibraltar, UK']","['Warner Bros.', 'Legendary Pictures', 'Screen Queensland']","Awards, 4 wins & 6 nominations total","['Godzilla', 'Action Epic', 'Dinosaur Adventure', 'Disaster', 'Globetrotting Adventure', 'Kaiju', 'Supernatural Fantasy', 'Action', 'Adventure', 'Fantasy']",['English']
12. Kung Fu Panda 4,2024,1h 34m,PG,6.3,84K,54.0,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",https://www.imdb.com/title/tt21692408/?ref_=sr_i_12,"['Jonathan Aibel', 'Glenn Berger', 'Darren Lemke']","['Mike Mitchell', 'Stephanie Stine']","['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston', 'James Hong', 'Ian McShane', 'Ke Huy Quan', 'Ronny Chieng', 'Lori Tan Chinn']","$85,000,000 (estimated)","$57,989,905","$547,946,428","$193,590,620","March 8, 2024","['United States', 'China', 'Japan']",,"['DreamWorks Animation', 'China Film Group Corporation (CFGC)', 'Dentsu']","Awards, 12 nominations total","['Kung Fu Panda', 'Animal Adventure', 'Buddy Comedy', 'Computer Animation', 'Kung Fu', 'Martial Arts', 'Slapstick', 'Wuxia', 'Action', 'Adventure']",['English']
13. Bad Boys: Ride or Die,2024,1h 55m,R,6.5,115K,54.0,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",https://www.imdb.com/title/tt4919268/?ref_=sr_i_13,"['Chris Bremner', 'Will Beall', 'George Gallo']","['Adil El Arbi', 'Bilall Fallah']","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Paola Núñez', 'Eric Dane', 'Ioan Gruffudd', 'Jacob Scipio', 'Melanie Liburd', 'Tasha Smith']","$100,000,000 (estimated)","$56,527,324","$404,550,184","$193,573,217","June 7, 2024",['United States'],"['Admiral Raphael Semmes Drive, Stone Mountain, Georgia, USA (Gatorland)']","['Columbia Pictures', '2.0 Entertainment', 'Don Simpson/Jerry Bruckheimer Films']","Awards, 1 win & 4 nominations total","['Action Epic', 'Adventure Epic', 'Buddy Comedy', 'Buddy Cop', 'Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",['English']
14. Gladiator II,2024,2h 28m,R,6.4,305K,64.0,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",https://www.imdb.com/title/tt9218128/?ref_=sr_i_14,"['David Franzoni', 'Peter Craig', 'David Scarpa']",['Ridley Scott'],"['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas']","$250,000,000 (estimated)","$55,034,715","$462,180,717","$172,438,016","November 22, 2024","['United Kingdom', 'United States']",['Morocco'],"['Paramount Pictures', 'Scott Free Productions', 'Red Wagon Films']","Nominated for 1 Oscar, 9 wins & 113 nominations total","['Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Adventure', 'Drama']","['English', 'Latin']"
15. Kingdom of the Planet of the Apes,2024,2h 25m,PG-13,6.8,170K,66.0,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",https://www.imdb.com/title/tt11389872/?ref_=sr_i_15,"['Josh Friedman', 'Rick Jaffa', 'Amanda Silver']",['Wes Ball'],"['Owen Teague', 'Freya Allan', 'Kevin Durand', 'Peter Macon', 'William H. Macy', 'Eka Darville', 'Travis Jeffery', 'Lydia Peckham', 'Neil Sandilands', 'Ras-Samuel']","$160,000,000 (estimated)","$58,400,788","$397,378,150","$171,130,165","May 10, 2024","['United States', 'Canada']","['Helensburgh, New South Wales, Australia']","['20th Century Studios', 'Oddball Entertainment', 'Jason T. Reed Productions']","Nominated for 1 Oscar, 4 wins & 62 nominations total","['Planet of the Apes', 'Action Epic', 'Adventure Epic', 'Dystopian Sci-Fi', 'Epic', 'Sci-Fi Epic', 'Action', 'Adventure', 'Drama', 'Sci-Fi']","['English', 'American Sign Language']"
16. It Ends with Us,2024,2h 10m,PG-13,6.3,104K,53.0,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",https://www.imdb.com/title/tt10655524/?ref_=sr_i_16,"['Christy Hall', 'Colleen Hoover']",['Justin Baldoni'],"['Blake Lively', 'Justin Baldoni', 'Jenny Slate', 'Brandon Sklenar', 'Hasan Minhaj', 'Kevin McKidd', 'Amy Morton', 'Alex Neustaedter', 'Isabela Ferrer', 'Robert Clohessy']","$25,000,000 (estimated)","$50,016,652","$351,441,044","$148,518,266","August 9, 2024",['United States'],"['Plainfield, New Jersey, USA']","['Columbia Pictures', 'Saks Picture Company', 'Wayfarer Studios']","Awards, 1 win & 5 nominations total","['Drama', 'Romance']",['English']
17. The Wild Robot,2024,1h 42m,PG,8.2,230K,85.0,A sentient robot stranded on an uninhabited island raises an orphaned gosling while trying to fit in with the local wildlife.,https://www.imdb.com/title/tt29623480/?ref_=sr_i_17,"['Chris Sanders', 'Peter Brown']",['Chris Sanders'],"[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor', 'Bill Nighy', 'Stephanie Hsu', 'Matt Berry', 'Ving Rhames', 'Mark Hamill', ""Catherine O'Hara"", 'Boone Storm']","$78,000,000 (estimated)","$35,790,150","$334,509,500","$143,901,945","September 27, 2024","['United States', 'Japan']",,"['Dentsu', 'DreamWorks Animation']","Nominated for 3 Oscars, 96 wins & 108 nominations total","['Animal Adventure', 'Artificial Intelligence', 'Computer Animation', 'Psychological Drama', 'Survival', 'Adventure', 'Animation', 'Family', 'Sci-Fi']","['English', 'German', 'French', 'Spanish', 'Swahili', 'Japanese']"
18. Venom: The Last Dance,2024,1h 50m,PG-13,6.0,159K,41.0,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,https://www.imdb.com/title/tt16366836/?ref_=sr_i_18,"['Kelly Marcel', 'Tom Hardy', 'Todd McFarlane']",['Kelly Marcel'],"['Tom Hardy', 'Chiwetel Ejiofor', 'Juno Temple', 'Rhys Ifans', 'Stephen Graham', 'Peggy Lu', 'Clark Backo', 'Alanna Ubach', 'Cristo Fernández', 'Jared Abrahamson']","$120,000,000 (estimated)","$51,012,404","$478,937,618","$139,755,882","October 25, 2024","['United States', 'United Kingdom', 'Spain', 'Canada']","['Cartagena, Murcia, Spain']","['Columbia Pictures', 'Marvel Entertainment', 'Arad Productions']","Awards, 3 wins & 8 nominations total","['Marvel', 'Alien Invasion', 'Dark Fantasy', 'Kaiju', 'Road Trip', 'Superhero', 'Supernatural Fantasy', 'Action', 'Fantasy', 'Horror']","['English', 'Spanish']"
19. A Quiet Place: Day One,2024,1h 39m,PG-13,6.2,179K,68.0,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,https://www.imdb.com/title/tt13433802/?ref_=sr_i_19,"['Michael Sarnoski', 'John Krasinski', 'Bryan Woods']",['Michael Sarnoski'],"[""Lupita Nyong'o"", 'Joseph Quinn', 'Alex Wolff', 'Djimon Hounsou', 'Eliane Umuhire', 'Takunda Khumalo', 'Alfie Todd', 'Avy Berry', 'Ronnie Le Drew', 'Benjamin Wong']","$67,000,000 (estimated)","$52,202,495","$261,907,653","$139,051,884","June 28, 2024",['United States'],"['New York City, New York, USA (second unit)']","['Paramount Pictures', 'Platinum Dunes', 'Sunday Night']","Awards, 5 wins & 12 nominations total","['Alien Invasion', 'Dystopian Sci-Fi', 'Monster Horror', 'Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Supernatural Horror', 'Drama', 'Horror', 'Sci-Fi']","['English', 'American Sign Language']"
20. Ghostbusters: Frozen Empire,2024,1h 55m,PG-13,6.1,107K,46.0,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",https://www.imdb.com/title/tt21235248/?ref_=sr_i_20,"['Gil Kenan', 'Jason Reitman', 'Ivan Reitman']",['Gil Kenan'],"['Paul Rudd', 'Carrie Coon', 'Finn Wolfhard', 'Mckenna Grace', 'Kumail Nanjiani', 'Patton Oswalt', ""Celeste O'Connor"", 'Logan Kim', 'Emily Alyn Lind', 'James Acaster']","$100,000,000 (estimated)","$45,004,673","$201,967,521","$113,376,590","March 22, 2024","['United States', 'Canada', 'United Kingdom']","['Winnersh Film Studios, Winnersh, England, UK (Studio)']","['Columbia Pictures', 'Ghostcorps', 'TSG Entertainment']","Awards, 8 nominations total","['Supernatural Fantasy', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['English', 'Korean', 'French']"
21. IF,2024,1h 44m,PG,6.4,68K,46.0,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,https://www.imdb.com/title/tt11152168/?ref_=sr_i_21,['John Krasinski'],['John Krasinski'],"['Cailey Fleming', 'Ryan Reynolds', 'John Krasinski', 'Fiona Shaw', 'Steve Carell', 'Phoebe Waller-Bridge', 'Louis Gossett Jr.', 'Alan Kim', 'Liza Colón-Zayas', 'Bobby Moynihan']","$110,000,000 (estimated)","$33,715,801","$190,535,708","$111,375,918","May 17, 2024","['United States', 'Canada']","['Coney Island, Brooklyn, New York City, New York, USA']","['Paramount Pictures', 'Sunday Night', 'Maximum Effort']","Awards, 7 nominations total","['Computer Animation', 'High-Concept Comedy', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",['English']
22. Alien: Romulus,2024,1h 59m,R,7.1,291K,64.0,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",https://www.imdb.com/title/tt18412256/?ref_=sr_i_22,"[""Dan O'Bannon"", 'Ronald Shusett', 'Fede Alvarez']",['Fede Alvarez'],"['Cailee Spaeny', 'David Jonsson', 'Archie Renaux', 'Isabela Merced', 'Spike Fearn', 'Aileen Wu', 'Rosie Ede', 'Soma Simon', 'Bence Okeke', 'Viktor Orizu']","$80,000,000 (estimated)","$42,003,361","$350,865,342","$105,313,091","August 16, 2024","['United Kingdom', 'United States', 'Hungary', 'Australia', 'New Zealand', 'Canada']","['Origo Studios, Budapest, Hungary']","['20th Century Studios', 'TSG Entertainment', 'Scott Free Productions']","Nominated for 1 Oscar, 16 wins & 57 nominations total","['Alien', 'Alien Invasion', 'Cyberpunk', 'Dystopian Sci-Fi', 'Monster Horror', 'Space Sci-Fi', 'Survival', 'Horror', 'Sci-Fi', 'Thriller']",['English']
23. Red One,2024,2h 3m,PG-13,6.2,160K,34.0,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas.",https://www.imdb.com/title/tt14948432/?ref_=sr_i_23,"['Chris Morgan', 'Hiram Garcia']",['Jake Kasdan'],"['Dwayne Johnson', 'Chris Evans', 'Lucy Liu', 'J.K. Simmons', 'Bonnie Hunt', 'Kristofer Hivju', 'Kiernan Shipka', 'Mary Elizabeth Ellis', 'Wesley Kimmel', 'Nick Kroll']","$250,000,000 (estimated)","$32,106,112","$186,000,759","$97,000,759","November 15, 2024","['Canada', 'United States']","['Morning Brew - 685 Auahi Street #113, Honolulu, Hawaii, USA (Coffee Shop scene at beginning of film)']","['Amazon MGM Studios', 'Seven Bucks Productions', 'Chris Morgan Productions']","Awards, 6 nominations total","['Holiday Comedy', 'Supernatural Fantasy', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Holiday', 'Mystery']",['English']
24. Bob Marley: One Love,2024,1h 47m,PG-13,6.2,40K,43.0,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music.",https://www.imdb.com/title/tt8521778/?ref_=sr_i_24,"['Terence Winter', 'Frank E. Flowers', 'Zach Baylin']",['Reinaldo Marcus Green'],"['Kingsley Ben-Adir', 'Lashana Lynch', 'James Norton', 'Tosin Cole', 'Umi Myers', 'Anthony Welsh', 'Nia Ashi', 'Aston Barrett Jr.', 'Anna-Share Blake', ""Gawaine 'J-Summa' Campbell""]",,"$28,659,004","$180,971,146","$96,981,216","February 14, 2024",['United States'],"['Kingston, Jamaica']","['Paramount Pictures', 'Plan B Entertainment', 'Tuff Gong Pictures']","Awards, 3 wins & 14 nominations total","['Docudrama', 'Biography', 'Drama', 'Music']",['English']
25. Nosferatu,2024,2h 12m,R,7.1,270K,78.0,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",https://www.imdb.com/title/tt5040012/?ref_=sr_i_25,"['Robert Eggers', 'Henrik Galeen', 'Bram Stoker']",['Robert Eggers'],"['Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård', 'Aaron Taylor-Johnson', 'Willem Dafoe', 'Emma Corrin', 'Ralph Ineson', 'Simon McBurney', 'Adéla Hesová', 'Milena Konstantinova']","$50,000,000 (estimated)","$21,652,560","$181,954,339","$95,608,235","December 25, 2024",['United States'],"['Corvin Castle, Transylvania region, Romania (Castle shown in the trailer, 40-second mark)']","['Focus Features', 'Maiden Voyage Pictures', 'Studio 8']","Nominated for 4 Oscars, 62 wins & 198 nominations total","['Dark Fantasy', 'Folk Horror', 'Supernatural Horror', 'Vampire Horror', 'Fantasy', 'Horror', 'Mystery']","['English', 'Romanian', 'Romany', 'Russian', 'Latin', 'German']"
26. The Fall Guy,2024,2h 6m,PG-13,6.8,269K,73.0,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",https://www.imdb.com/title/tt1684562/?ref_=sr_i_26,"['Glen A. Larson', 'Drew Pearce']",['David Leitch'],"['Ryan Gosling', 'Emily Blunt', 'Aaron Taylor-Johnson', 'Hannah Waddingham', 'Teresa Palmer', 'Stephanie Hsu', 'Winston Duke', 'Ben Knight', 'Matuse', 'Adam Dunn']","$130,000,000 (estimated)","$27,747,035","$181,073,291","$92,900,355","May 3, 2024","['Canada', 'Australia', 'United States']","['Sydney, New South Wales, Australia']","['87North', 'Australian Government', 'Entertainment 360']","Awards, 25 wins & 48 nominations total","['Romantic Comedy', 'Showbiz Drama', 'Action', 'Comedy', 'Drama', 'Romance']",['English']
27. The Garfield Movie,2024,1h 41m,PG,5.7,28K,31.0,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist.",https://www.imdb.com/title/tt5779228/?ref_=sr_i_27,"['Paul A. Kaplan', 'Mark Torgove', 'David Reynolds']",['Mark Dindal'],"['Chris Pratt', 'Samuel L. Jackson', 'Hannah Waddingham', 'Ving Rhames', 'Nicholas Hoult', 'Cecily Strong', 'Harvey Guillén', 'Brett Goldstein', 'Bowen Yang', 'Snoop Dogg']","$60,000,000 (estimated)","$24,006,629","$257,211,519","$91,956,547","May 24, 2024","['United States', 'United Kingdom', 'Hong Kong']",,"['Columbia Pictures', 'Alcon Entertainment', 'Double Negative (DNEG)']","Awards, 2 wins & 2 nominations total","['Animal Adventure', 'Computer Animation', 'Farce', 'Quirky Comedy', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['English']
28. A Complete Unknown,2024,2h 21m,R,7.3,120K,70.0,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.",https://www.imdb.com/title/tt11563598/?ref_=sr_i_28,"['James Mangold', 'Jay Cocks', 'Elijah Wald']",['James Mangold'],"['Timothée Chalamet', 'Edward Norton', 'Elle Fanning', 'Joe Tippett', 'Eriko Hatsune', 'Peter Gray Lewis', 'Peter Gerety', 'Lenny Grossman', 'David Wenzel', 'Scoot McNairy']","$70,000,000 (estimated)","$11,655,553","$140,508,652","$75,001,720","December 25, 2024",['United States'],"['Jersey City, New Jersey, USA']","['Searchlight Pictures', 'Veritas Entertainment', 'White Water']","Nominated for 8 Oscars, 29 wins & 134 nominations total","['Docudrama', 'Period Drama', 'Showbiz Drama', 'Biography', 'Drama', 'Music']",['English']
