Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
107. My Old Ass,2024,1h 29m,R,6.9,48K,74.0,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love.",https://www.imdb.com/title/tt18559464/?ref_=sr_i_107,['Megan Park'],['Megan Park'],"['Maisy Stella', 'Aubrey Plaza', 'Percy Hynes White', 'Maddie Ziegler', 'Kerrice Brooks', 'Maria Dizzia', 'Alain Goulem', 'Seth Isaac Johnson', 'Carter Trozzolo', 'Alexandria Rivera']",,"$167,853","$5,726,780","$5,372,282","September 27, 2024","['United Kingdom', 'Canada', 'United States']","['Muskoka, Ontario, Canada']","['Indian Paintbrush', 'LuckyChap', 'Scythia Films']","Awards, 12 wins & 34 nominations total","['Coming-of-Age', 'Comedy', 'Drama', 'Fantasy', 'Romance']",['English']
108. My Hero Academia: You're Next,2024,1h 50m,PG-13,7.0,4.2K,,"Deku, Bakugo, Todoroki and the rest of U.A. High Class 1-A must face off against Dark Might and the obscure crime organisation under his control, the Gollini Family.",https://www.imdb.com/title/tt32176689/?ref_=sr_i_108,"['Kôhei Horikoshi', 'Yôsuke Kuroda']",['Tensai Okamura'],"['Daiki Yamashita', 'Nobuhiko Okamoto', 'Yûki Kaji', 'Ayane Sakura', 'Yoshimasa Hosoya', 'Kaito Ishikawa', 'Marina Inoue', 'Toshiki Masuda', 'Eri Kitamura', 'Aoi Yûki']",,"$3,007,027","$32,224,616","$5,041,781","October 11, 2024",['Japan'],,"['Bones', 'Nippon Television Network (NTV)', 'Yomiuri Telecasting Corporation (YTV)']","Awards, 1 nomination total","['Japanese', 'Anime', 'Hand-Drawn Animation', 'Superhero', 'Action', 'Adventure', 'Animation', 'Sci-Fi']",['Japanese']
109. Kinds of Kindness,2024,2h 44m,R,6.4,73K,64.0,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",https://www.imdb.com/title/tt22408160/?ref_=sr_i_109,"['Yorgos Lanthimos', 'Efthimis Filippou']",['Yorgos Lanthimos'],"['Emma Stone', 'Jesse Plemons', 'Willem Dafoe', 'Yorgos Stefanakos', 'Margaret Qualley', 'Fadeke Adeola', 'Hong Chau', 'Tessa Bourgeois', 'Kencil Mejia', 'Mamoudou Athie']","$15,000,000 (estimated)","$377,289","$16,398,509","$5,038,931","July 5, 2024","['Ireland', 'United Kingdom', 'United States', 'Greece']","[""Baby's Snack Box - 2025 Orleans Ave, New Orleans, Louisiana, USA""]","['Searchlight Pictures', 'Film4', 'TSG Entertainment']","Awards, 3 wins & 9 nominations total","['Dark Comedy', 'Psychological Horror', 'Tragedy', 'Comedy', 'Drama', 'Horror']",['English']
110. Drive-Away Dolls,2024,1h 24m,R,5.4,29K,56.0,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals.",https://www.imdb.com/title/tt19356262/?ref_=sr_i_110,"['Ethan Coen', 'Tricia Cooke']",['Ethan Coen'],"['Margaret Qualley', 'Geraldine Viswanathan', 'Beanie Feldstein', 'Joey Slotnick', 'C.J. Wilson', 'Colman Domingo', 'Pedro Pascal', 'Bill Camp', 'Matt Damon', 'Connie Jackson']",,"$2,404,330","$7,935,363","$5,028,215","February 23, 2024","['United Kingdom', 'United States']","['Lawrence, Pennsylvania, USA (The Butter Churn)']","['Focus Features', 'Working Title Films']","Awards, 1 win & 4 nominations total","['Buddy Comedy', 'Quirky Comedy', 'Road Trip', 'Action', 'Comedy', 'Thriller']",['English']
111. I Saw the TV Glow,2024,1h 40m,PG-13,5.8,47K,86.0,"In late-90s suburbia, a lonely teenager meets a girl at school who introduces him to a mysterious late-night T.V. show. As time goes on, however, questions begin to arise about why the show sometimes seems more real than their own lives.",https://www.imdb.com/title/tt15574270/?ref_=sr_i_111,['Jane Schoenbrun'],['Jane Schoenbrun'],"['Justice Smith', 'Jack Haven', 'Ian Foreman', 'Helena Howard', 'Lindsey Jordan', 'Danielle Deadwyler', 'Fred Durst', ""Conner O'Malley"", 'Emma Portner', 'Madaline Riley']","$10,000,000 (estimated)","$119,015","$5,407,916","$5,017,817","May 17, 2024","['United States', 'United Kingdom']","['601 Main St, Asbury Park, New Jersey, USA (The Saint music venue)']","['A24', 'Fruit Tree', 'Smudge Films']","Awards, 13 wins & 95 nominations total","['Body Horror', 'Coming-of-Age', 'Psychological Drama', 'Psychological Horror', 'Suspense Mystery', 'Drama', 'Horror', 'Mystery']",['English']
112. Flow,2024,1h 25m,PG,7.8,151K,87.0,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",https://www.imdb.com/title/tt4772188/?ref_=sr_i_112,"['Gints Zilbalodis', 'Matiss Kaza', 'Ron Dyens']",['Gints Zilbalodis'],,"€3,500,000 (estimated)","$50,811","$30,901,538","$4,844,117","February 14, 2025","['Latvia', 'Belgium', 'France']",,"['Dream Well Studio', 'Sacrebleu Productions', 'Take Five']","Won 1 Oscar, 63 wins & 79 nominations total","['Animal Adventure', 'Computer Animation', 'Survival', 'Adventure', 'Animation', 'Family', 'Fantasy']",['None']
113. Dìdi,2024,1h 33m,R,7.3,16K,78.0,"In 2008, during the last month of summer before high school begins, an impressionable 13-year-old Taiwanese American boy learns what his family can't teach him: how to skate, how to flirt, and how to love your mom.",https://www.imdb.com/title/tt30319503/?ref_=sr_i_113,['Sean Wang'],['Sean Wang'],"['Izaac Wang', 'Joan Chen', 'Shirley Chen', 'Zhang Li Hua', 'Mahaela Park', 'Raul Dial', 'Aaron Chang', 'Chiron Cillia Denk', 'Sunil Mukherjee Maurillo', 'Montay Boseman']",,"$207,307","$5,244,935","$4,839,360","August 16, 2024",['United States'],"['Fremont, California, USA']","['Antigravity Academy', 'Spark Features', 'Unapologetic Projects']","Awards, 21 wins & 39 nominations total","['Coming-of-Age', 'Teen Drama', 'Comedy', 'Drama']","['English', 'Mandarin']"
114. The Last Showgirl,2024,1h 28m,R,6.5,22K,66.0,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.,https://www.imdb.com/title/tt31193791/?ref_=sr_i_114,['Kate Gersten'],['Gia Coppola'],"['Pamela Anderson', 'Brenda Song', 'Kiernan Shipka', 'Dave Bautista', 'Jamie Lee Curtis', 'Billie Lourd', 'Linda Montana', 'John Clofine', 'Giovani L. DiCandilo', 'Gypsy Wood']","$1,800,000 (estimated)","$77,589","$6,928,430","$4,799,804","January 10, 2025",['United States'],"['Las Vegas, Nevada, USA']","['Utopia', 'Digital Ignition Entertainment', 'High Frequency Entertainment']","Nominated for 1 BAFTA Award, 8 wins & 29 nominations total","['Showbiz Drama', 'Workplace Drama', 'Drama']",['English']
115. Land of Bad,2024,1h 53m,R,6.6,60K,57.0,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.,https://www.imdb.com/title/tt19864802/?ref_=sr_i_115,"['David Frigerio', 'William Eubank']",['William Eubank'],"['Liam Hemsworth', 'Russell Crowe', 'Luke Hemsworth', 'Ricky Whittle', 'Milo Ventimiglia', 'Chika Ikogwe', 'Daniel MacPherson', 'Robert Rabiah', 'Jack Finsterer', 'Chris Masters Mah']","A$25,000,000 (estimated)","$1,840,510","$7,021,101","$4,620,045","February 16, 2024","['United States', 'Australia']","['Gold Coast, Queensland, Australia']","['Volition Media Partners', 'Broken Open Pictures', 'Cutting Edge']","Awards, 1 nomination total","['Martial Arts', 'Spy', 'Action', 'Thriller']",['English']
116. The Exorcism,2024,1h 35m,R,4.2,14K,46.0,A troubled actor begins to exhibit a disruptive behavior while shooting a horror film. His estranged daughter wonders if he's slipping back into his past addictions or if there's something more sinister at play.,https://www.imdb.com/title/tt11240348/?ref_=sr_i_116,"['M.A. Fortin', 'Joshua John Miller']",['Joshua John Miller'],"['Russell Crowe', 'Ryan Simpkins', 'Sam Worthington', 'Chloe Bailey', 'Adam Goldberg', 'Adrian Pasdar', 'David Hyde Pierce', 'Tracey Bonner', 'Marcenae Lynette', 'Joshua John Miller']","$22,000,000 (estimated)","$2,457,041","$12,610,418","$4,530,418","June 21, 2024",['United States'],"['Wilmington, North Carolina, USA']","['Vertical Entertainment', 'Outerbanks Entertainment', 'Miramax']",,"['Psychological Horror', 'Supernatural Horror', 'Horror', 'Thriller']",['English']
