Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Black Panther,https://www.imdb.com/title/tt1825683/?ref_=sr_t_1,2018,2h 14m,PG-13,7.3,860K
2. Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=sr_t_2,2018,2h 29m,PG-13,8.4,1.3M
3. Incredibles 2,https://www.imdb.com/title/tt3606756/?ref_=sr_t_3,2018,1h 58m,PG,7.5,345K
4. Jurassic World: Fallen Kingdom,https://www.imdb.com/title/tt4881806/?ref_=sr_t_4,2018,2h 8m,PG-13,6.1,354K
5. Aquaman,https://www.imdb.com/title/tt1477834/?ref_=sr_t_5,2018,2h 23m,PG-13,6.8,532K
6. Deadpool 2,https://www.imdb.com/title/tt5463162/?ref_=sr_t_6,2018,1h 59m,R,7.6,696K
7. The Grinch,https://www.imdb.com/title/tt2709692/?ref_=sr_t_7,2018,1h 25m,PG,6.4,101K
8. Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/?ref_=sr_t_8,2018,2h 27m,PG-13,7.7,389K
9. Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/?ref_=sr_t_9,2018,2h 14m,PG-13,7.9,612K
10. Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/?ref_=sr_t_10,2018,1h 58m,PG-13,7.0,464K
11. A Star Is Born,https://www.imdb.com/title/tt1517451/?ref_=sr_t_11,2018,2h 16m,R,7.6,431K
12. Solo: A Star Wars Story,https://www.imdb.com/title/tt3778644/?ref_=sr_t_12,2018,2h 15m,PG-13,6.9,389K
13. Venom,https://www.imdb.com/title/tt1270797/?ref_=sr_t_13,2018,1h 52m,PG-13,6.6,566K
14. Ralph Breaks the Internet,https://www.imdb.com/title/tt5848272/?ref_=sr_t_14,2018,1h 52m,PG,7.0,191K
15. Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/?ref_=sr_t_15,2018,1h 57m,PG,8.4,709K
16. A Quiet Place,https://www.imdb.com/title/tt6644200/?ref_=sr_t_16,2018,1h 30m,PG-13,7.5,617K
17. Crazy Rich Asians,https://www.imdb.com/title/tt3104988/?ref_=sr_t_17,2018,2h,PG-13,6.9,198K
18. Mary Poppins Returns,https://www.imdb.com/title/tt5028340/?ref_=sr_t_18,2018,2h 10m,PG,6.7,97K
19. Hotel Transylvania 3: Summer Vacation,https://www.imdb.com/title/tt5220122/?ref_=sr_t_19,2018,1h 37m,PG,6.3,90K
20. Fantastic Beasts: The Crimes of Grindelwald,https://www.imdb.com/title/tt4123430/?ref_=sr_t_20,2018,2h 14m,PG-13,6.5,317K
