Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. The Testament of Dr. Mabuse,1933,2h 1m,Not Rated,7.9,15K,,A criminal mastermind uses hypnosis to rule the rackets after death.,https://www.imdb.com/title/tt0023563/?ref_=sr_i_1
2. King Kong,1933,1h 40m,Approved,7.9,96K,92,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.",https://www.imdb.com/title/tt0024216/?ref_=sr_i_2
3. The Invisible Man,1933,1h 11m,Approved,7.6,44K,87,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",https://www.imdb.com/title/tt0024184/?ref_=sr_i_3
4. Duck Soup,1933,1h 9m,Approved,7.7,64K,93,"Rufus T. Firefly is named the dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of his wealthy backer Mrs. Teasdale, contending with two inept spies who can't seem to keep straight which side they're on.",https://www.imdb.com/title/tt0023969/?ref_=sr_i_4
5. Baby Face,1933,1h 11m,Approved,7.5,9.3K,,A young woman who has been abused by men all her life decides to turn the tables and exploit her hapless colleagues at a big-city bank to make a cozy life for herself.,https://www.imdb.com/title/tt0023775/?ref_=sr_i_5
6. Alice in Wonderland,1933,1h 16m,Approved,6.3,3K,54,In Victorian England a bored young girl dreams that she has entered a fantasy world called Wonderland populated by fantastical characters.,https://www.imdb.com/title/tt0023753/?ref_=sr_i_6
7. Penthouse,1933,1h 30m,Approved,6.8,1.5K,,"A lawyer's fiancée leaves him after he defends a racketeer accused of murder, but she needs his help when her new beau is accused of killing an old flame.",https://www.imdb.com/title/tt0024435/?ref_=sr_i_7
8. Sagebrush Trail,1933,54m,Passed,5.4,1.5K,,"A man framed for murder escapes prison and goes west, where he joins a gang with the real killer involved.",https://www.imdb.com/title/tt0024516/?ref_=sr_i_8
9. Little Women,1933,1h 55m,Passed,7.1,8.6K,92,A chronicle of the lives of sisters growing up in 19th-century New England. Four sisters fight to keep their family together and find love while their father is off fighting in the Civil War.,https://www.imdb.com/title/tt0024264/?ref_=sr_i_9
10. Mystery of the Wax Museum,1933,1h 17m,Passed,6.8,7.7K,,The disappearance of people and corpses leads a reporter to a wax museum and a sinister sculptor.,https://www.imdb.com/title/tt0024368/?ref_=sr_i_10
11. Design for Living,1933,1h 31m,Passed,7.4,8.7K,,"A woman cannot decide between two men who love her, and the trio agree to try living together in a platonic friendly relationship.",https://www.imdb.com/title/tt0023940/?ref_=sr_i_11
12. Sons of the Desert,1933,1h 8m,Passed,7.5,10K,,"When Stan and Ollie trick their wives into thinking that they are taking a medicinal cruise while they're actually going to a convention, the wives find out the truth the hard way.",https://www.imdb.com/title/tt0024601/?ref_=sr_i_12
13. Cavalcade,1933,1h 52m,Approved,5.7,6.7K,73,"A portrayal of the triumphs and tragedies of two English families, the upper-crust Marryots and the working-class Bridgeses, from 1899 to 1933.",https://www.imdb.com/title/tt0023876/?ref_=sr_i_13
14. The Ghoul,1933,1h 20m,Approved,5.8,3.8K,,An Egyptologist returns from the dead to take revenge on those who have violated his tomb.,https://www.imdb.com/title/tt0024055/?ref_=sr_i_14
15. Employees' Entrance,1933,1h 15m,Passed,7.2,1.9K,,A working girl is menaced by her tyrannical employer.,https://www.imdb.com/title/tt0023986/?ref_=sr_i_15
16. The Life of Jimmy Dolan,1933,1h 28m,Approved,6.8,809,,"Prizefighter Jimmy Dolan accidentally kills someone, fleeing to a children's health farm. He bonds with the kids and caretakers, confronting his cynicism. Recognized by a detective, Jimmy must choose - escape or face responsibility.",https://www.imdb.com/title/tt0024257/?ref_=sr_i_16
17. Riders of Destiny,1933,53m,Passed,5.4,1.3K,,Loner rider Singin' Sandy Saunders rides into town to discover local ranchers are being victimized by a land-grabbing villain who controls the water supply and wants their land.,https://www.imdb.com/title/tt0024500/?ref_=sr_i_17
18. His Private Secretary,1933,1h,Passed,5.5,842,,"Dick Wallace secretly marries a minister's grand-daughter but his father, who thinks she is a gold digger, is opposed. She takes a job with the company under her maiden name to prove she's okay.",https://www.imdb.com/title/tt0024124/?ref_=sr_i_18
19. College Humor,1933,1h 20m,Passed,5.9,266,,A college professor and the school's star football player are both rivals for the same beautiful coed.,https://www.imdb.com/title/tt0023900/?ref_=sr_i_19
20. Ecstasy,1933,1h 22m,TV-MA,6.6,3.2K,,"Eva has just got married to an older gentleman. She leaves him, and one day, she meets a young man, and they fall in love. Fate brings the husband together with the young lover that has taken Eva from him.",https://www.imdb.com/title/tt0022867/?ref_=sr_i_20
21. Gambling Ship,1933,1h 12m,Passed,5.9,365,,"Tired of the dangerous life as gambling boss, Ace Corbin 'retires' from the racket and travels cross-country by train to begin a new life with a new name. On the train, he meets Eleanor and they fall in love. Eleanor is afraid to tell Ace she's a soiled dove and Ace doesn't tell Eleanor of his shady past. Old enemies won't let Ace begin his new life, and old commitments's won't free Eleanor of her sordid ties. Ace's old life and Eleanor's deception collide with the typical results. But love conquers all!",https://www.imdb.com/title/tt0024048/?ref_=sr_i_21
22. 42nd Street,1933,1h 29m,Approved,7.3,14K,83,"When the leading lady of a Broadway musical breaks her ankle, she is replaced by a young unknown actress, who becomes the star of the show.",https://www.imdb.com/title/tt0024034/?ref_=sr_i_22
23. Deluge,1933,1h 10m,,6.4,909,,"A massive earthquake strikes the United States, which destroys the West Coast and unleashes a massive flood that threatens to destroy the East Coast as well.",https://www.imdb.com/title/tt0023938/?ref_=sr_i_23
24. Dancing Lady,1933,1h 32m,Approved,6.8,2.9K,,An attractive dancer is rescued from jail by a rich man who helps her to have her first big opportunity at a musical play on Broadway.,https://www.imdb.com/title/tt0023926/?ref_=sr_i_24
25. I'm No Angel,1933,1h 27m,Passed,6.9,4.4K,,Circus performer Tira seeks a better life pursuing the company of wealthy New York men with improbable comic complications along the way.,https://www.imdb.com/title/tt0024166/?ref_=sr_i_25
26. Gold Diggers of 1933,1933,1h 37m,Passed,7.7,10K,,"A wealthy composer rescues unemployed Broadway performers with a new play, but insists on remaining anonymous.",https://www.imdb.com/title/tt0024069/?ref_=sr_i_26
27. Dinner at Eight,1933,1h 51m,Approved,7.5,9.8K,,"As an aspiring New York socialite prepares to host a lavish dinner party, her guests find themselves consumed by a tangle of business, romantic, and personal crises.",https://www.imdb.com/title/tt0023948/?ref_=sr_i_27
28. Footlight Parade,1933,1h 44m,G,7.5,6.7K,80,"Chester Kent struggles against time, romance, and a rival's spy to produce spectacular live ""prologues"" for movie houses.",https://www.imdb.com/title/tt0024028/?ref_=sr_i_28
29. Queen Christina,1933,1h 39m,Approved,7.5,9.4K,,"Queen Christina of Sweden is a popular monarch who is loyal to her country. However, when she falls in love with a Spanish envoy, she must choose between the throne and the man she loves.",https://www.imdb.com/title/tt0024481/?ref_=sr_i_29
30. The Private Life of Henry VIII,1933,1h 37m,Approved,7.0,5.5K,,King Henry VIII marries five more times after his divorce from his first wife Catherine of Aragon.,https://www.imdb.com/title/tt0024473/?ref_=sr_i_30
31. Ladies They Talk About,1933,1h 9m,Approved,6.6,2.3K,,"Attractive Nan, member of a bank-robbery gang, goes to prison thanks to evangelist Dave Slade...who loves her.",https://www.imdb.com/title/tt0024238/?ref_=sr_i_31
32. Flying Down to Rio,1933,1h 29m,Passed,6.6,4.4K,72,A bandleader woos a Latin flame who is already engaged to his employer.,https://www.imdb.com/title/tt0024025/?ref_=sr_i_32
33. The Story of Temple Drake,1933,1h 10m,Not Rated,7.1,2.2K,,"A wealthy but neurotic Southern belle finds herself trapped in the hideout of a gang of vicious bootleggers. The gang's leader lusts after her, and is determined not to let anything stand in the way of his having her.",https://www.imdb.com/title/tt0024617/?ref_=sr_i_33
34. Bombshell,1933,1h 36m,Passed,7.1,3.5K,81,"A glamorous film star rebels against the studio, her pushy press agent and a family of hangers-on.",https://www.imdb.com/title/tt0023825/?ref_=sr_i_34
35. She Done Him Wrong,1933,1h 6m,Passed,6.3,7.7K,,"In the Gay Nineties, a seductive nightclub singer contends with several suitors, including a jealous escaped convict and a handsome temperance league member.",https://www.imdb.com/title/tt0024548/?ref_=sr_i_35
36. Lady for a Day,1933,1h 36m,Approved,7.4,5.3K,,"A gangster tries to make Apple Annie, the Times Square apple seller, a lady for a day.",https://www.imdb.com/title/tt0024240/?ref_=sr_i_36
37. The Kennel Murder Case,1933,1h 13m,Approved,6.8,4.7K,,"Philo Vance, accompanied by his prize-losing Scottish terrier, investigates the locked-room murder of a prominent and much-hated collector whose broken Chinese vase provides an important clue.",https://www.imdb.com/title/tt0024210/?ref_=sr_i_37
38. Son of Kong,1933,1h 10m,Passed,5.6,5.8K,50,"The showman who brought Kong to New York returns to Skull Island and finds Kong's son, a spunky 12-footer with a winning personality and his dad's awesome strength.",https://www.imdb.com/title/tt0024593/?ref_=sr_i_38
