Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. Sergeant York,1941,2h 14m,Approved,7.7,20K,,"A Tennessee farmer and marksman is drafted in World War I, and struggles with his pacifist inclinations before becoming one of the most celebrated war heroes.",https://www.imdb.com/title/tt0034167/?ref_=sr_i_1
2. Citizen Kane,1941,1h 59m,PG,8.2,496K,100,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",https://www.imdb.com/title/tt0033467/?ref_=sr_i_2
3. Darshan,1941,,,6.7,13,,,https://www.imdb.com/title/tt0033516/?ref_=sr_i_3
4. The Maltese Falcon,1941,1h 40m,Approved,7.9,175K,97,A San Francisco private detective is swept up in the hunt for a priceless 16th-century statuette after his partner is murdered in a seemingly ordinary tailing job.,https://www.imdb.com/title/tt0033870/?ref_=sr_i_4
5. You'll Never Get Rich,1941,1h 28m,Approved,6.7,3.3K,,"In order to cover up his philandering ways, a married Broadway producer sets one of his dancers up on a date with a chorus girl for whom he had bought a gift, but the two dancers fall in love for real.",https://www.imdb.com/title/tt0034409/?ref_=sr_i_5
6. The Strawberry Blonde,1941,1h 39m,Approved,7.2,4.7K,86,"Quick-tempered yet likable Biff Grimes falls for the beautiful Virginia Brush, but he is not the only young man in the neighborhood who is smitten with her.",https://www.imdb.com/title/tt0034236/?ref_=sr_i_6
7. Dumbo,1941,1h 4m,G,7.2,152K,96,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",https://www.imdb.com/title/tt0033563/?ref_=sr_i_7
8. Suspicion,1941,1h 39m,Approved,7.2,46K,74,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.",https://www.imdb.com/title/tt0034248/?ref_=sr_i_8
9. Sullivan's Travels,1941,1h 30m,Approved,7.9,31K,89,A Hollywood director sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,https://www.imdb.com/title/tt0034240/?ref_=sr_i_9
10. How Green Was My Valley,1941,1h 58m,Approved,7.7,30K,88,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.",https://www.imdb.com/title/tt0033729/?ref_=sr_i_10
11. Come Live with Me,1941,1h 26m,Approved,7.0,2.9K,,"Seeking US citizenship, a Viennese refugee arranges a marriage of convenience with a struggling writer.",https://www.imdb.com/title/tt0033477/?ref_=sr_i_11
12. Ball of Fire,1941,1h 51m,Approved,7.7,16K,78,A group of professors working on a new encyclopedia while residing in a Manhattan mansion take in a sassy nightclub singer who the police need to help them bring down her mob-boss lover.,https://www.imdb.com/title/tt0033373/?ref_=sr_i_12
13. High Sierra,1941,1h 40m,Approved,7.5,21K,,"After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort.",https://www.imdb.com/title/tt0033717/?ref_=sr_i_13
14. A Woman's Face,1941,1h 46m,Approved,7.2,4.4K,57,A female blackmailer with a disfiguring facial scar meets a plastic surgeon who offers her the possibility of looking like a normal woman.,https://www.imdb.com/title/tt0034399/?ref_=sr_i_14
15. The Man Who Came to Dinner,1941,1h 53m,Approved,7.5,9.9K,71,An acerbic critic wreaks havoc when a hip injury forces him to move in with a Midwestern family.,https://www.imdb.com/title/tt0033874/?ref_=sr_i_15
16. The Little Foxes,1941,1h 56m,Approved,7.9,14K,,"The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the Deep South at the turn of the twentieth century.",https://www.imdb.com/title/tt0033836/?ref_=sr_i_16
17. Mr. & Mrs. Smith,1941,1h 35m,Approved,6.3,12K,63,A couple who have been married for three years are shocked to learn that their marriage is not legally valid.,https://www.imdb.com/title/tt0033922/?ref_=sr_i_17
18. Blood and Sand,1941,2h 5m,Approved,6.7,3.5K,,Illiterate peasant Juan Gallardo rises meteorically to fame and fortune in the bullfight arena only to sow the seeds of his own fall.,https://www.imdb.com/title/tt0033405/?ref_=sr_i_18
19. The Wolf Man,1941,1h 10m,Approved,7.2,35K,72,"Upon his return to his father's estate, aristocrat Larry Talbot meets a beautiful woman, attends a mystical carnival and uncovers a horrifying curse.",https://www.imdb.com/title/tt0034398/?ref_=sr_i_19
20. The Lady Eve,1941,1h 34m,Approved,7.7,26K,96,"A trio of classy card sharks targets a socially awkward brewery heir, until one of them falls in love with him.",https://www.imdb.com/title/tt0033804/?ref_=sr_i_20
21. The Sea Wolf,1941,1h 40m,Approved,7.5,5.1K,73,"After being fished out of the sea by a sailing ship, three fugitives find themselves prisoners of the ship's brutal skipper who refuses to put them ashore, and they hatch an escape plan during a crew mutiny.",https://www.imdb.com/title/tt0034162/?ref_=sr_i_21
22. Out of the Fog,1941,1h 25m,Approved,6.7,2.8K,,A Brooklyn pier racketeer bullies boat-owners into paying protection money but two fed-up fishermen decide to eliminate the gangster themselves rather than complain to the police.,https://www.imdb.com/title/tt0033987/?ref_=sr_i_22
23. Ladies in Retirement,1941,1h 31m,Approved,7.1,2.2K,,"The housekeeper to a retired actress tries at the same time to look after her own two emotionally disturbed sisters, with dramatic results.",https://www.imdb.com/title/tt0033802/?ref_=sr_i_23
24. Rage in Heaven,1941,1h 25m,Approved,6.4,1.4K,,Robert Montgomery and George Sanders team up to play against type in this probing psychological thriller that features Ingrid Bergman as the object of their obsessions.,https://www.imdb.com/title/tt0034078/?ref_=sr_i_24
25. Meet John Doe,1941,2h 2m,Approved,7.6,17K,63,"A penniless drifter is recruited by an ambitious columnist to impersonate a non-existent person who said he'd be committing suicide as a protest, and a social movement begins.",https://www.imdb.com/title/tt0033891/?ref_=sr_i_25
26. Dr. Jekyll and Mr. Hyde,1941,1h 53m,Approved,6.8,11K,,Dr. Jekyll allows his dark side to run wild after he drinks a potion that turns him into the evil Mr. Hyde.,https://www.imdb.com/title/tt0033553/?ref_=sr_i_26
27. The Great Lie,1941,1h 48m,Approved,7.1,4.8K,,"After a newlywed's husband apparently dies in a plane crash, she discovers that her rival for his affections is pregnant by him.",https://www.imdb.com/title/tt0033677/?ref_=sr_i_27
28. The 49th Parallel,1941,2h 3m,Approved,7.3,8.6K,,"Early in WW2 the crew of a destroyed submarine become stranded in Canada and must make their way south to the United States, at that time still neutral.",https://www.imdb.com/title/tt0033627/?ref_=sr_i_28
29. The Devil and Daniel Webster,1941,1h 47m,Approved,7.5,6.6K,,"A struggling farmer in 1840 New Hampshire makes a pact with Satan for economic success, then enlists famed orator Daniel Webster to extract him from the consequences of his contract.",https://www.imdb.com/title/tt0033532/?ref_=sr_i_29
30. The Reluctant Dragon,1941,1h 14m,G,6.7,4.3K,,Humorist Robert Benchley learns about the animation process at Walt Disney Studios while trying to find the great man himself to pitch him the idea of making a cartoon about a shy dragon.,https://www.imdb.com/title/tt0034091/?ref_=sr_i_30
31. That Hamilton Woman,1941,2h 5m,Approved,7.2,5.6K,,"The story of courtesan and dance-hall girl Emma Hamilton, including her relationships with Sir William Hamilton and Admiral Horatio Nelson, and her rise and fall, set during the Napoleonic Wars.",https://www.imdb.com/title/tt0034272/?ref_=sr_i_31
32. Swamp Water,1941,1h 28m,Approved,7.0,2.4K,,"Attempting to find his lost dog in a vast Georgia swamp, Ben Ragan stumbles upon wanted murderer Tom Keefer who convinces Ben he was framed for the murder by the real killer.",https://www.imdb.com/title/tt0034251/?ref_=sr_i_32
33. Mister V,1941,2h,Approved,7.2,2K,,"Professor Horatio Smith, while seeming very unassuming, rescues victims of Nazi persecution during World War II.",https://www.imdb.com/title/tt0034027/?ref_=sr_i_33
34. Hellzapoppin',1941,1h 24m,Approved,7.4,4K,,"Olsen and Johnson, a pair of stage comedians, try to turn their play into a movie and bring together a young couple in love, while breaking the fourth wall every step of the way.",https://www.imdb.com/title/tt0033704/?ref_=sr_i_34
35. The Bride Came C.O.D.,1941,1h 32m,Approved,6.9,4.1K,,A financially-strapped charter pilot hires himself to an oil tycoon to kidnap his madcap daughter and prevent her from marrying a vapid band leader.,https://www.imdb.com/title/tt0033432/?ref_=sr_i_35
36. The Shanghai Gesture,1941,1h 35m,Approved,6.5,3.3K,,"In Shanghai, dragon lady 'Mother' Gin Sling operates a gambling house for wealthy patrons but she clashes with influential land developer Sir Guy Charteris who wants to put her out of business.",https://www.imdb.com/title/tt0034175/?ref_=sr_i_36
37. Down in San Diego,1941,1h 10m,Approved,6.4,117,,"A group of neighborhood teenagers discover some suspicious goings-on near a naval base in San Diego, and suspect that a foreign espionage ring is at work trying to find out military secrets.",https://www.imdb.com/title/tt0033551/?ref_=sr_i_37
38. Forced Landing,1941,1h 7m,Approved,5.4,109,,"On faraway Mosaque, an American pilot finds that he is in a desperate struggle with a military officer intent on sabotaging a local fort.",https://www.imdb.com/title/tt0033620/?ref_=sr_i_38
39. Affectionately Yours,1941,1h 28m,Approved,5.7,719,,"A globe-trotting married reporter pursuing women abroad learns his wife is leaving him for someone else. As he rushes home to save his marriage, a woman from Lisbon follows him.",https://www.imdb.com/title/tt0033319/?ref_=sr_i_39
40. Man Hunt,1941,1h 45m,Approved,7.1,7.2K,,"In July 1939, British hunter Thorndike, vacationing in Bavaria, has Hitler in his gun sight. He is captured, beaten, left for dead, and escapes back to London where he is hounded by German agents and aided by a young woman.",https://www.imdb.com/title/tt0033873/?ref_=sr_i_40
41. Penny Serenade,1941,1h 59m,Approved,7.1,9K,,A couple's big dreams give way to a life full of unforeseen sadness and unexpected joy.,https://www.imdb.com/title/tt0034012/?ref_=sr_i_41
42. Shadow of the Thin Man,1941,1h 37m,Approved,7.2,7.7K,63,A jockey has been shot dead at the race track. Famous detective Nick Charles and his wife Nora happen to be on the scene and Lt. Abrahams asks for Nick's expert help.,https://www.imdb.com/title/tt0034172/?ref_=sr_i_42
43. Sun Valley Serenade,1941,1h 26m,Approved,7.1,2.2K,,"After Phil Corey's band arrives at the Idaho ski resort, its pianist Ted Scott is smitten with a Norwegian refugee he has sponsored, Karen Benson. Later, soloist Vivian Dawn quits and Karen stages an ice show as a substitute.",https://www.imdb.com/title/tt0034241/?ref_=sr_i_43
44. Blondie in Society,1941,1h 16m,Approved,6.7,389,,Dagwood brings home a pedigreed Great Dane which an important company client wants and which Blondie enters in the big dog show. A highlight of this film is the canine burping display.,https://www.imdb.com/title/tt0033404/?ref_=sr_i_44
45. Tobacco Road,1941,1h 24m,Approved,6.3,2.8K,,Hillbilly family farm life in 1941 rural Georgia.,https://www.imdb.com/title/tt0034297/?ref_=sr_i_45
46. Dressed to Kill,1941,1h 14m,Approved,6.5,1.4K,,Detective Michael Shayne and his girlfriend Joanne are on their way to be married when a scream from a nearby hotel room draws his attention to a pair of theatrical murders.,https://www.imdb.com/title/tt0033558/?ref_=sr_i_46
47. They Died with Their Boots On,1941,2h 22m,Approved,7.2,7.6K,75,A highly fictionalized account of the life of George Armstrong Custer from his arrival at West Point in 1857 to his death at the battle of the Little Big Horn in 1876.,https://www.imdb.com/title/tt0034277/?ref_=sr_i_47
48. Here Comes Mr. Jordan,1941,1h 34m,Approved,7.5,8.1K,69,Boxer Joe Pendleton dies 50 years too soon due to a heavenly mistake and is given a new life as a millionaire playboy.,https://www.imdb.com/title/tt0033712/?ref_=sr_i_48
49. Moon Over Miami,1941,1h 31m,Approved,6.7,1.5K,,Sisters Kay and Barbara arrive in Miami from Texas looking for rich husbands.,https://www.imdb.com/title/tt0033918/?ref_=sr_i_49
50. Hold That Ghost,1941,1h 26m,Approved,7.2,4.7K,,"After inheriting a fortune from a gangster, two dim-witted service station attendants find themselves stranded in a haunted house.",https://www.imdb.com/title/tt0033723/?ref_=sr_i_50
51. The Devil and Miss Jones,1941,1h 32m,Approved,7.6,5.4K,,"A tycoon goes undercover to ferret out agitators at a department store, but gets involved in their lives instead.",https://www.imdb.com/title/tt0033533/?ref_=sr_i_51
