Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. American Sniper,https://www.imdb.com/title/tt2179136/?ref_=sr_t_1,2014,2h 13m,R,7.3,543K,58800000,547659020,350159020,633456,['Clint Eastwood'],"['Jason Hall', 'Chris Kyle', 'Scott McEwen']","['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner']","['Action', 'Biography', 'Drama', 'War']",['United States'],"['Northridge, Los Angeles, California, USA']","['Warner Bros.', 'Village Roadshow Pictures', 'RatPac-Dune Entertainment']","['English', 'Arabic']",0,43,0,2014
2. The Hunger Games: Mockingjay - Part 1,https://www.imdb.com/title/tt1951265/?ref_=sr_t_2,2014,2h 3m,PG-13,6.6,516K,125000000,759159711,337135885,121897634,['Francis Lawrence'],"['Peter Craig', 'Danny Strong', 'Suzanne Collins']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']","['Dystopian Sci-Fi', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['United States', 'Canada', 'France']","['Thomaston, Georgia, USA']","['Lionsgate', 'Color Force', 'French Tax Credit']",['English'],0,32,0,2014
3. Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/?ref_=sr_t_3,2014,2h 1m,PG-13,8.0,1.3M,170000000,773350376,333718600,94320883,['James Gunn'],"['James Gunn', 'Nicole Perlman', 'Dan Abnett']","['Chris Pratt', 'Vin Diesel', 'Bradley Cooper']","['Quest', 'Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']","['United States', 'United Kingdom']","['Longcross Studios, Chobham Lane, Longcross, Chertsey, Surrey, England, UK']","['Marvel Studios', 'Longcross Studios', 'Moving Pictures Company']",['English'],0,103,2,2014
4. Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/?ref_=sr_t_4,2014,2h 16m,PG-13,7.7,920K,170000000,714421503,259766572,95023721,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely', 'Joe Simon']","['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']","['Conspiracy Thriller', 'Political Thriller', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",['United States'],"['West 3rd and Lakeside Avenue, Cleveland, Ohio, USA']",['Marvel Studios'],"['English', 'French']",0,52,1,2014
5. The Lego Movie,https://www.imdb.com/title/tt1490017/?ref_=sr_t_5,2014,1h 40m,PG,7.7,397K,60000000,470759687,257966122,69050279,"['Phil Lord', 'Christopher Miller']","['Phil Lord', 'Christopher Miller', 'Dan Hageman']","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks']","['Computer Animation', 'Dystopian Sci-Fi', 'Globetrotting Adventure', 'Quest', 'Quirky Comedy', 'Satire', 'Slapstick', 'Stop Motion Animation', 'Action', 'Adventure']","['United States', 'Denmark', 'Australia', 'Norway']","['Disney Studios, Moore Park, Sydney, New South Wales, Australia']","['Warner Bros.', 'Village Roadshow Pictures', 'RatPac-Dune Entertainment']","['English', 'Turkish']",0,67,1,2014
6. The Hobbit: The Battle of the Five Armies,https://www.imdb.com/title/tt2310332/?ref_=sr_t_6,2014,2h 24m,R,7.4,589K,250000000,962253946,255138261,54724334,['Peter Jackson'],"['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']","['Ian McKellen', 'Martin Freeman', 'Richard Armitage']","['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Adventure', 'Fantasy']","['New Zealand', 'United States']","['Hobbiton - 501 Buckland Road, Matamata, New Zealand']","['New Line Cinema', 'Metro-Goldwyn-Mayer (MGM)', 'WingNut Films']",['English'],0,56,1,2014
7. Transformers: Age of Extinction,https://www.imdb.com/title/tt2109248/?ref_=sr_t_7,2014,2h 45m,PG-13,5.6,337K,210000000,1105261713,245439076,100038390,['Michael Bay'],['Ehren Kruger'],"['Mark Wahlberg', 'Nicola Peltz Beckham', 'Jack Reynor']","['Action', 'Adventure', 'Sci-Fi']","['United States', 'China', 'Hong Kong']","['Detroit, Michigan, USA']","['Paramount Pictures', 'Hasbro', 'Di Bonaventura Pictures']","['English', 'Chinese']",0,23,0,2014
8. Maleficent,https://www.imdb.com/title/tt1587310/?ref_=sr_t_8,2014,1h 37m,PG,6.9,408K,180000000,759853685,241410378,69431298,['Robert Stromberg'],"['Linda Woolverton', 'Charles Perrault', 'Milt Banta']","['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']","['Dark Fantasy', 'Fairy Tale', 'Sword & Sorcery', 'Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']","['United States', 'India', 'Canada', 'Italy', 'United Kingdom', 'Zambia']","['Ashridge Estate, Moneybury Hill, Ringshall, Berkhamsted, Hertfordshire, England, UK']","['Walt Disney Pictures', 'Roth Films', 'Jolie Pas']",['English'],0,44,1,2014
9. X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/?ref_=sr_t_9,2014,2h 12m,PG-13,7.9,762K,200000000,746045700,233921534,90823660,['Bryan Singer'],"['Simon Kinberg', 'Jane Goldman', 'Matthew Vaughn']","['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman']","['Superhero', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['United Kingdom', 'United States', 'Canada']","['Vaudreuil-Dorion, Québec, Canada']","['Twentieth Century Fox', 'Marvel Entertainment', 'TSG Entertainment']","['English', 'Vietnamese', 'French']",0,48,1,2014
10. Big Hero 6,https://www.imdb.com/title/tt2245084/?ref_=sr_t_10,2014,1h 42m,PG,7.8,520K,165000000,657870525,222527828,56215889,"['Don Hall', 'Chris Williams']","['Jordan Roberts', 'Robert L. Baird', 'Daniel Gerson']","['Ryan Potter', 'Scott Adsit', 'Jamie Chung']","['Computer Animation', 'Quest', 'Superhero', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",['United States'],"['Walt Disney Animation Studios - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['English'],0,58,0,2014
