Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. Safety Last!,1923,1h 14m,Not Rated,8.1,25K,,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,https://www.imdb.com/title/tt0014429/?ref_=sr_i_1
2. The Hunchback of Notre Dame,1923,2h 13m,Passed,7.2,6.9K,,"In 15th-century Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with a gypsy dancer.",https://www.imdb.com/title/tt0014142/?ref_=sr_i_2
3. The Wheel,1923,6h 57m,Not Rated,7.5,2.8K,,"A railway engineer adopts a young girl orphaned by a train crash. Years later when she starts getting suitors, he grapples with whether or not to tell her the truth about her parentage.",https://www.imdb.com/title/tt0014417/?ref_=sr_i_3
4. Three Ages,1923,1h 3m,Not Rated,7.0,5.8K,,The misadventures of Buster in three separate historical periods.,https://www.imdb.com/title/tt0014538/?ref_=sr_i_4
5. The Ten Commandments,1923,2h 16m,Passed,6.8,3K,,"After hearing the story of Moses, the sons of a devout Christian mother go their own ways, and the atheist brother's breaking of the Ten Commandments leads to tragedy.",https://www.imdb.com/title/tt0014532/?ref_=sr_i_5
6. Our Hospitality,1923,1h 5m,Passed,7.7,14K,,"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.",https://www.imdb.com/title/tt0014341/?ref_=sr_i_6
7. A Woman of Paris: A Drama of Fate,1923,1h 22m,Passed,6.9,7K,76,A kept woman runs into her former fiancé and finds herself torn between love and comfort.,https://www.imdb.com/title/tt0014624/?ref_=sr_i_7
8. Zaza,1923,1h 24m,,6.6,968,,"Zaza is the favorite actress at an open-air theater in a small French town. When diplomat Bernard Dufresne comes to the village, he stays away for fear he will fall for her. But when Zaza is badly injured, he has no choice.",https://www.imdb.com/title/tt0014636/?ref_=sr_i_8
9. The Pilgrim,1923,47m,TV-G,7.2,6.3K,,"Disguised as a priest, an escaped convict makes his way to Texas. He ends up in a small rural town where the townsfolk mistake him for their new church minister.",https://www.imdb.com/title/tt0014358/?ref_=sr_i_9
10. Hollywood,1923,1h 20m,Passed,6.6,98,,"Angela comes to Hollywood with only two things: her dream to become a movie star, and Grandpa. She leaves Grandma, an aunt, her brother, and her longtime boyfriend back in Centerville. Despite seeing major movie stars around every corner and knocking on every casting office door in town, at the end of her first day she is still unemployed. To her horror, when she arrives back at their hotel, she finds that Grandpa has been cast in a movie by William DeMille and quickly becomes a star during the ensuing weeks. Her family, worried that Angela and Grandpa are getting into trouble, come to Hollywood to drag them back home. In short order Aunt, Grandma, brother, boyfriend, and even the parrot become superstars, but Angela is still unemployed.",https://www.imdb.com/title/tt0014137/?ref_=sr_i_10
11. Why Worry?,1923,1h 3m,TV-G,7.3,2.3K,,A hypochondriac vacations in the tropics for the fresh air - and finds himself in the middle of a revolution instead.,https://www.imdb.com/title/tt0014611/?ref_=sr_i_11
12. The Covered Wagon,1923,1h 38m,,6.6,902,,"Two wagon caravans converge at what is now Kansas City, and combine for the westward push to Oregon. On their quest the pilgrims will experience desert heat, mountain snow, hunger, and Indian attacks. To complicate matters further, a love triangle develops, as pretty Molly must chose between Sam, a brute, and Will, the dashing captain of the other caravan. Can Will overcome the skeleton in his closet and win Molly's heart?",https://www.imdb.com/title/tt0013951/?ref_=sr_i_12
13. The Blue Lagoon,1923,1h 20m,,5.3,44,,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",https://www.imdb.com/title/tt0210575/?ref_=sr_i_13
14. Souls for Sale,1923,1h 30m,Passed,7.0,1.2K,,"A young woman hits Hollywood, determined to become a star.",https://www.imdb.com/title/tt0014497/?ref_=sr_i_14
