Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link
1. Modern Times,1936,1h 27m,G,8.5,287K,96,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,https://www.imdb.com/title/tt0027977/?ref_=sr_i_1
2. The Crime of Monsieur Lange,1936,1h 17m,Not Rated,7.2,4.1K,,"The boss of a publishing company is a womanizer and a jerk, but what would happen if he suddenly disappeared?",https://www.imdb.com/title/tt0027478/?ref_=sr_i_2
3. César,1936,2h 48m,Not Rated,7.6,1.9K,,"After letting his son be raised by another man, a retired seaman tries to rebuild his family.",https://www.imdb.com/title/tt0027489/?ref_=sr_i_3
4. Fury,1936,1h 32m,Approved,7.8,15K,,"When a wrongly-accused prisoner barely survives a lynch-mob attack and is presumed dead, he vindictively decides to fake his death and frame the mob for his supposed murder.",https://www.imdb.com/title/tt0027652/?ref_=sr_i_4
5. My Man Godfrey,1936,1h 34m,Approved,7.9,29K,82,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,https://www.imdb.com/title/tt0028010/?ref_=sr_i_5
6. Sabotage,1936,1h 16m,Approved,7.0,21K,85,"A Scotland Yard undercover detective is on the trail of a saboteur who is part of a plot to set off a bomb in London. But when the detective's cover is blown, the plot begins to unravel.",https://www.imdb.com/title/tt0028212/?ref_=sr_i_6
7. The Great Ziegfeld,1936,2h 56m,Approved,6.6,9.9K,69,"The ups and downs of Florenz Ziegfeld Jr., famed producer of extravagant stage revues, are portrayed.",https://www.imdb.com/title/tt0027698/?ref_=sr_i_7
8. Mr. Deeds Goes to Town,1936,1h 55m,Approved,7.8,25K,,A unassuming greeting card poet from a small town in Vermont heads to New York City upon inheriting a massive fortune and is immediately hounded by those who wish to take advantage of him.,https://www.imdb.com/title/tt0027996/?ref_=sr_i_8
9. The Charge of the Light Brigade,1936,1h 55m,Approved,7.0,5.9K,,"A major countermands orders and attacks to avenge a previous massacre of men, women, and children.",https://www.imdb.com/title/tt0027438/?ref_=sr_i_9
10. After the Thin Man,1936,1h 52m,Approved,7.6,13K,76,"Private detective Nick Charles and his wealthy wife Nora are back home at last and hoping for a quiet New Year when there is a murder. The obvious suspect is his wife, Nora's cousin, Selma.",https://www.imdb.com/title/tt0027260/?ref_=sr_i_10
11. Camille,1936,1h 49m,Approved,7.3,9.6K,,"A Parisian courtesan must choose between the young man who loves her and the callous baron who wants her, even as her own health begins to fail.",https://www.imdb.com/title/tt0028683/?ref_=sr_i_11
12. Things to Come,1936,1h 40m,Approved,6.6,10K,,"The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel.",https://www.imdb.com/title/tt0028358/?ref_=sr_i_12
13. Dracula's Daughter,1936,1h 11m,Approved,6.3,9.2K,,"When Countess Marya Zaleska appears in London, mysterious events occur that lead Dr. Von Helsing to believe that the Countess must be a vampire.",https://www.imdb.com/title/tt0027545/?ref_=sr_i_13
14. Born to Dance,1936,1h 46m,Approved,6.7,2.2K,,"On leave, a sailor falls in love with a young lady aspiring to become a Broadway dancer, but their relationship is jeopardized by an established Broadway star, who is also enamored by him.",https://www.imdb.com/title/tt0027387/?ref_=sr_i_14
15. The Walking Dead,1936,1h 6m,Approved,6.6,3.7K,,"After hapless pianist and ex-con John Elman is framed for murder, he is resurrected by a scientist after his execution.",https://www.imdb.com/title/tt0028478/?ref_=sr_i_15
16. The Last of the Mohicans,1936,1h 31m,Approved,6.6,2K,,"During the brutal French and Indian War, the legendary scout Hawkeye is prevailed upon to escort Major Duncan Heyward, and the two daughters of Fort William Henry commander Colonel Munro -- Alice and Cora -- to safety through.",https://www.imdb.com/title/tt0027869/?ref_=sr_i_16
