Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Star Wars: Episode VII - The Force Awakens,https://www.imdb.com/title/tt2488496/?ref_=sr_t_1,2015,2h 18m,PG-13,7.8,990K,245000000,2071310218,936662225,247966675,['J.J. Abrams'],"['Lawrence Kasdan', 'J.J. Abrams', 'Michael Arndt']","['Daisy Ridley', 'John Boyega', 'Oscar Isaac']",[],"['United States', 'United Kingdom']","['Skellig Michael, County Kerry, Ireland']","['Lucasfilm', 'Bad Robot']",['English'],0,140,5,2015
2. Jurassic World,https://www.imdb.com/title/tt0369610/?ref_=sr_t_2,2015,2h 4m,PG-13,6.9,693K,150000000,1671537444,653406625,208806270,['Colin Trevorrow'],"['Rick Jaffa', 'Amanda Silver', 'Colin Trevorrow']","['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']",[],"['United States', 'Canada']","[""Kualoa Ranch - 49560 Kamehameha Highway, Ka'a'awa, O'ahu, Hawaii, USA""]","['Universal Pictures', 'Amblin Entertainment', 'Legendary Entertainment']",['English'],0,58,0,2015
3. Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/?ref_=sr_t_3,2015,2h 21m,PG-13,7.3,946K,250000000,1405018048,459005868,191271109,['Joss Whedon'],"['Joss Whedon', 'Stan Lee', 'Jack Kirby']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",[],['United States'],"['Chittagong, Bangladesh']",['Marvel Studios'],"['English', 'Korean']",0,52,0,2015
4. Inside Out,https://www.imdb.com/title/tt2096673/?ref_=sr_t_4,2015,1h 35m,PG,8.1,847K,175000000,859076254,356461711,90440272,"['Pete Docter', 'Ronnie Del Carmen']","['Pete Docter', 'Ronnie Del Carmen', 'Meg LeFauve']","['Amy Poehler', 'Bill Hader', 'Lewis Black']",[],['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Pixar Animation Studios', 'Walt Disney Pictures']","['English', 'Portuguese', 'Latvian']",0,118,0,2015
5. Furious 7,https://www.imdb.com/title/tt2820852/?ref_=sr_t_5,2015,2h 17m,PG-13,7.1,422K,190000000,1515342457,353007020,147187040,['James Wan'],"['Chris Morgan', 'Gary Scott Thompson']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",[],"['United States', 'China', 'Japan', 'Canada', 'United Arab Emirates']","['Abu Dhabi, United Arab Emirates']","['Universal Pictures', 'Media Rights Capital (MRC)', 'China Film Co., Ltd.']","['English', 'Thai', 'Arabic', 'Spanish']",0,36,0,2015
6. Minions,https://www.imdb.com/title/tt2293640/?ref_=sr_t_6,2015,1h 31m,PG,6.4,269K,74000000,1159457503,336045770,115718405,"['Kyle Balda', 'Pierre Coffin']",['Brian Lynch'],"['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']",[],['United States'],"['New York City, New York, USA']","['Illumination Entertainment', 'Universal Pictures']","['English', 'Spanish', 'Italian']",0,29,1,2015
7. The Hunger Games: Mockingjay - Part 2,https://www.imdb.com/title/tt1951266/?ref_=sr_t_7,2015,2h 17m,PG-13,6.6,386K,160000000,661456867,281723902,102665981,['Francis Lawrence'],"['Peter Craig', 'Danny Strong', 'Suzanne Collins']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",[],"['United States', 'Germany', 'Canada', 'France']","['Tempelhof Airport, Tempelhof, Berlin, Germany']","['Lionsgate', 'Color Force', 'Studio Babelsberg']",['English'],0,34,0,2015
8. The Martian,https://www.imdb.com/title/tt3659388/?ref_=sr_t_8,2015,2h 24m,PG-13,8.0,954K,108000000,630621406,228433663,54308575,['Ridley Scott'],"['Drew Goddard', 'Andy Weir']","['Matt Damon', 'Jessica Chastain', 'Kristen Wiig']",[],"['United States', 'United Kingdom', 'Hungary', 'Jordan']","['Wadi Rum, Jordan']","['Twentieth Century Fox', 'TSG Entertainment', 'Scott Free Productions']","['English', 'Mandarin']",0,199,7,2015
9. Cinderella,https://www.imdb.com/title/tt1661199/?ref_=sr_t_9,2015,1h 45m,PG,6.9,195K,95000000,542358331,201151353,67877361,['Kenneth Branagh'],"['Chris Weitz', 'Charles Perrault']","['Lily James', 'Cate Blanchett', 'Richard Madden']",[],"['United Kingdom', 'United States', 'Denmark', 'Canada', 'Italy']","['Old Royal Naval College, Greenwich, London, England, UK']","['Walt Disney Pictures', 'Allison Shearmur Productions', 'Beagle Pug Films']",['English'],0,38,1,2015
10. Spectre,https://www.imdb.com/title/tt2379713/?ref_=sr_t_10,2015,2h 28m,PG-13,6.8,476K,245000000,880707597,200074609,70403148,['Sam Mendes'],"['John Logan', 'Neal Purvis', 'Robert Wade']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",[],"['United Kingdom', 'United States', 'Morocco', 'Italy', 'Austria', 'Canada', 'Mexico']","['Erfoud, Morocco']","['B24', 'Columbia Pictures', 'Danjaq']","['English', 'German', 'Italian', 'Spanish', 'French', 'Ukrainian']",0,37,0,2015
11. Mission: Impossible - Rogue Nation,https://www.imdb.com/title/tt2381249/?ref_=sr_t_11,2015,2h 11m,PG-13,7.4,420K,150000000,682716636,195042377,55520089,['Christopher McQuarrie'],"['Bruce Geller', 'Christopher McQuarrie', 'Drew Pearce']","['Tom Cruise', 'Rebecca Ferguson', 'Jeremy Renner']",[],"['United States', 'China', 'United Kingdom', 'Austria', 'Morocco', 'Hong Kong']","['Marrakech, Morocco']","['Paramount Pictures', 'Skydance Media', 'Bad Robot']","['English', 'Swedish', 'German', 'Russian']",0,26,0,2015
12. Pitch Perfect 2,https://www.imdb.com/title/tt2848292/?ref_=sr_t_12,2015,1h 55m,PG-13,6.4,173K,29000000,287144079,184296230,69216890,['Elizabeth Banks'],"['Kay Cannon', 'Mickey Rapkin']","['Anna Kendrick', 'Rebel Wilson', 'Hailee Steinfeld']",[],['United States'],"['Baton Rouge, Louisiana, USA']","['Brownstone Productions (II)', 'Gold Circle Films', 'Universal Pictures']","['English', 'German']",0,17,0,2015
13. The Revenant,https://www.imdb.com/title/tt1663202/?ref_=sr_t_13,2015,2h 36m,R,8.0,898K,135000000,532950503,183637894,474560,['Alejandro G. Iñárritu'],"['Mark L. Smith', 'Alejandro G. Iñárritu', 'Michael Punke']","['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter']",[],"['United States', 'Hong Kong', 'Taiwan', 'Argentina']","['Ushuaia, Tierra del Fuego, Argentina']","['New Regency Productions', 'RatPac Entertainment', 'New Regency Productions']","['English', 'Pawnee', 'French']",0,193,0,2015
14. Ant-Man,https://www.imdb.com/title/tt0478970/?ref_=sr_t_14,2015,1h 57m,PG-13,7.2,740K,130000000,519311965,180202163,57225526,['Peyton Reed'],"['Edgar Wright', 'Joe Cornish', 'Adam McKay']","['Paul Rudd', 'Michael Douglas', 'Corey Stoll']",[],['United States'],"['Trilith Studios, 461 Sandy Creek Road, Fayetteville, Georgia, USA']","['Marvel Studios', 'Gary Sanchez Productions']",['English'],0,34,1,2015
15. Home,https://www.imdb.com/title/tt2224026/?ref_=sr_t_15,2015,1h 34m,PG,6.5,115K,135000000,386041607,177397510,52107731,['Tim Johnson'],"['Tom J. Astle', 'Matt Ember', 'Adam Rex']","['Jim Parsons', 'Rihanna', 'Steve Martin']",[],"['United States', 'India']","['Glendale, California, USA']",['DreamWorks Animation'],"['English', 'French']",0,10,0,2015
16. Hotel Transylvania 2,https://www.imdb.com/title/tt2510894/?ref_=sr_t_16,2015,1h 29m,PG,6.6,149K,80000000,475186976,169700110,48464322,['Genndy Tartakovsky'],"['Robert Smigel', 'Adam Sandler', 'Todd Durham']","['Adam Sandler', 'Andy Samberg', 'Selena Gomez']",[],"['United States', 'Canada']",[],"['Columbia Pictures', 'LStar Capital', 'Sony Pictures Animation']",['English'],0,11,0,2015
17. Fifty Shades of Grey,https://www.imdb.com/title/tt2322441/?ref_=sr_t_17,2015,2h 5m,R,4.2,342K,40000000,569651467,166167230,85171450,['Sam Taylor-Johnson'],"['Kelly Marcel', 'E.L. James']","['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle']",[],['United States'],"['Vancouver, British Columbia, Canada']","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",['English'],0,30,1,2015
18. The SpongeBob Movie: Sponge Out of Water,https://www.imdb.com/title/tt2279373/?ref_=sr_t_18,2015,1h 32m,PG,6.0,63K,74000000,325186032,162994032,55365012,"['Paul Tibbitt', 'Mike Mitchell']","['Jonathan Aibel', 'Glenn Berger', 'Stephen Hillenburg']","['Tom Kenny', 'Antonio Banderas', 'Bill Fagerbakke']",[],"['United States', 'South Korea', 'Australia']","['Savannah, Georgia, USA']","['Paramount Animation', 'Nickelodeon Movies', 'United Plankton Pictures']",['English'],0,9,0,2015
19. Straight Outta Compton,https://www.imdb.com/title/tt1398426/?ref_=sr_t_19,2015,2h 27m,R,7.8,224K,28000000,201634991,161197785,60200180,['F. Gary Gray'],"['Jonathan Herman', 'Andrea Berloff', 'S. Leigh Savidge']","[""O'Shea Jackson Jr."", 'Corey Hawkins', 'Jason Mitchell']",[],"['United States', 'Japan']","['Los Angeles, California, USA']","['Universal Pictures', 'Legendary Entertainment', 'New Line Cinema']",['English'],0,40,1,2015
