Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Star Wars: Episode VII - The Force Awakens,https://www.imdb.com/title/tt2488496/?ref_=sr_t_1,2015,2h 18m,PG-13,7.8,990K
2. Jurassic World,https://www.imdb.com/title/tt0369610/?ref_=sr_t_2,2015,2h 4m,PG-13,6.9,693K
3. Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/?ref_=sr_t_3,2015,2h 21m,PG-13,7.3,946K
4. Inside Out,https://www.imdb.com/title/tt2096673/?ref_=sr_t_4,2015,1h 35m,PG,8.1,847K
5. Furious 7,https://www.imdb.com/title/tt2820852/?ref_=sr_t_5,2015,2h 17m,PG-13,7.1,422K
6. Minions,https://www.imdb.com/title/tt2293640/?ref_=sr_t_6,2015,1h 31m,PG,6.4,269K
7. The Hunger Games: Mockingjay - Part 2,https://www.imdb.com/title/tt1951266/?ref_=sr_t_7,2015,2h 17m,PG-13,6.6,386K
8. The Martian,https://www.imdb.com/title/tt3659388/?ref_=sr_t_8,2015,2h 24m,PG-13,8.0,954K
9. Cinderella,https://www.imdb.com/title/tt1661199/?ref_=sr_t_9,2015,1h 45m,PG,6.9,195K
10. Spectre,https://www.imdb.com/title/tt2379713/?ref_=sr_t_10,2015,2h 28m,PG-13,6.8,476K
11. Mission: Impossible - Rogue Nation,https://www.imdb.com/title/tt2381249/?ref_=sr_t_11,2015,2h 11m,PG-13,7.4,420K
12. Pitch Perfect 2,https://www.imdb.com/title/tt2848292/?ref_=sr_t_12,2015,1h 55m,PG-13,6.4,173K
13. The Revenant,https://www.imdb.com/title/tt1663202/?ref_=sr_t_13,2015,2h 36m,R,8.0,898K
14. Ant-Man,https://www.imdb.com/title/tt0478970/?ref_=sr_t_14,2015,1h 57m,PG-13,7.2,740K
15. Home,https://www.imdb.com/title/tt2224026/?ref_=sr_t_15,2015,1h 34m,PG,6.5,115K
16. Hotel Transylvania 2,https://www.imdb.com/title/tt2510894/?ref_=sr_t_16,2015,1h 29m,PG,6.6,149K
17. Fifty Shades of Grey,https://www.imdb.com/title/tt2322441/?ref_=sr_t_17,2015,2h 5m,R,4.2,342K
18. The SpongeBob Movie: Sponge Out of Water,https://www.imdb.com/title/tt2279373/?ref_=sr_t_18,2015,1h 32m,PG,6.0,63K
19. Straight Outta Compton,https://www.imdb.com/title/tt1398426/?ref_=sr_t_19,2015,2h 27m,R,7.8,224K
20. San Andreas,https://www.imdb.com/title/tt2126355/?ref_=sr_t_20,2015,1h 54m,PG-13,6.1,263K
