Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
26. Made in U.S.A,1966,1h 30m,Not Rated,6.2,4.7K,,"In the near future, leftist writer Paula goes from Paris to the French town of Atlantic-Cité when she learns of the death of a former colleague and lover, Richard P. Is she there to investigate? On the surface, faces are beautiful, colors bright, clothes trendy. Beneath, little is clear: some talk to Paula as if she's Alice in Wonderland, corpses pile up, and ideological struggles insert themselves. A murder victim's nephew and a political party's hired hands hover around Paula. Is obscuring things her goal or is it life that's obscure?",https://www.imdb.com/title/tt0060647/?ref_=sr_i_26,,,
27. The Battle of Algiers,1966,2h 1m,Not Rated,8.1,68K,,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",https://www.imdb.com/title/tt0058946/?ref_=sr_i_27,,,
28. Au hasard Balthazar,1966,1h 35m,Not Rated,7.7,24K,,The story of a mistreated donkey and the people around him. A study on saintliness and a sister piece to Bresson's Mouchette.,https://www.imdb.com/title/tt0060138/?ref_=sr_i_28,,,
29. The Nun,1966,2h 20m,GP,7.5,3.3K,,Suzanne is forced against her will to take vows as a nun and three mothers superior treat her in radically different ways. Suzanne's virtue brings disaster to everyone in this faithful adaptation of a bitter attack on religious abuses.,https://www.imdb.com/title/tt0060891/?ref_=sr_i_29,,,
30. Django,1966,1h 31m,R,7.2,32K,,A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a Klan of Southern racists and a band of Mexican Revolutionaries.,https://www.imdb.com/title/tt0060315/?ref_=sr_i_30,,,
31. King of Hearts,1966,1h 42m,Not Rated,7.3,4.5K,,"During World War I, a British private, sent ahead to a French town to scout for enemy presence, is mistaken for a King by the colorful patients of an insane asylum.",https://www.imdb.com/title/tt0060908/?ref_=sr_i_31,,,
32. Time to Die,1966,1h 30m,,7.4,571,,"After serving his conviction, a former gunman returns to his town planning to live a quiet life, however, the sons of a man he killed have other plans.",https://www.imdb.com/title/tt0059803/?ref_=sr_i_32,,,
33. Blow-Up,1966,1h 51m,Not Rated,7.4,69K,,A fashion photographer unknowingly captures a death on film after following two lovers in a park.,https://www.imdb.com/title/tt0060176/?ref_=sr_i_33,,,
34. Persona,1966,1h 23m,Not Rated,8.0,134K,,A nurse is put in charge of a mute actress and finds that their personae are melding together.,https://www.imdb.com/title/tt0060827/?ref_=sr_i_34,,,
35. El Dorado,1966,2h 6m,Approved,7.5,31K,,"Cole Thornton, a gunfighter for hire, joins forces with old friend, Sheriff J.P. Hara. Together with an old Indian fighter and a gambler, they help a rancher and his family fight a rival rancher who's trying to steal their water.",https://www.imdb.com/title/tt0061619/?ref_=sr_i_35,,,
36. The Sand Pebbles,1966,3h 2m,Approved,7.5,17K,,"In 1926, a U.S. Naval engineer gets assigned to a gunboat on a rescue mission in war-torn China.",https://www.imdb.com/title/tt0060934/?ref_=sr_i_36,,,
37. The Trouble with Angels,1966,1h 52m,PG,7.3,6K,,Two high-spirited young students at St. Francis Academy keep things hopping for the challenged Mother Superior and her staff of bewildered Sisters.,https://www.imdb.com/title/tt0061122/?ref_=sr_i_37,,,
38. Who's Afraid of Virginia Woolf?,1966,2h 11m,Approved,8.0,82K,,"A middle-aged New England associate professor and his wife, with the help of alcohol, use their young guests to fuel anguish and emotional pain towards each other over the course of a distressing night.",https://www.imdb.com/title/tt0061184/?ref_=sr_i_38,,,
39. One Million Years B.C.,1966,1h 32m,Approved,5.7,9.9K,,"Prehistoric man Tumak is banished from his savage tribe and meets pretty Loana, who belongs to a gentler coastal tribe, but he must fight caveman Payto to win her favors.",https://www.imdb.com/title/tt0060782/?ref_=sr_i_39,,,
40. Batman: The Movie,1966,1h 45m,PG,6.5,36K,,The Dynamic Duo face four super-villains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,https://www.imdb.com/title/tt0060153/?ref_=sr_i_40,,,
41. Daisies,1966,1h 15m,Not Rated,7.2,16K,,"After realizing that all world is spoiled, Marie and Marie are committed to be spoiled themselves. They rip off older men, feast in lavish meals and do all kinds of mischief. But what is all this leading to?",https://www.imdb.com/title/tt0060959/?ref_=sr_i_41,,,
42. Fahrenheit 451,1966,1h 52m,Not Rated,7.2,46K,,"In an oppressive future, a fireman whose duty is to destroy all books begins to question his task.",https://www.imdb.com/title/tt0060390/?ref_=sr_i_42,,,
43. Fantastic Voyage,1966,1h 40m,PG,6.8,21K,,"When a blood clot renders a scientist comatose, a submarine and its crew are shrunk and injected into his bloodstream in order to save him.",https://www.imdb.com/title/tt0060397/?ref_=sr_i_43,,,
44. The Silencers,1966,1h 42m,TV-PG,5.9,3.9K,,Retired agent Matt Helm is re-activated in order to stop an evil organization from exploding an atom bomb over the USA and starting WWIII.,https://www.imdb.com/title/tt0060980/?ref_=sr_i_44,,,
45. Seconds,1966,1h 46m,R,7.6,23K,,An unhappy middle-aged banker agrees to a procedure that will fake his death and give him a completely new look and identity - one that comes with its own price.,https://www.imdb.com/title/tt0060955/?ref_=sr_i_45,,,
46. Manos: The Hands of Fate,1966,1h 10m,Not Rated,1.7,38K,,"A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.",https://www.imdb.com/title/tt0060666/?ref_=sr_i_46,,,
47. Murderers' Row,1966,1h 45m,Approved,5.8,2.6K,,Handsome top-secret American agent Matt Helm must recover a laser-weapons inventor who has been kidnapped by arch-villain Julian Wall.,https://www.imdb.com/title/tt0060728/?ref_=sr_i_47,,,
48. The Reptile,1966,1h 30m,Approved,6.1,4.2K,,"In a Cornish village, various locals die from mysterious snake bites, but the coroner rules the deaths as heart attacks, until a family of newcomers starts an investigation.",https://www.imdb.com/title/tt0060893/?ref_=sr_i_48,,,
49. Torn Curtain,1966,2h 8m,PG,6.6,30K,,An American scientist publicly defects to East Germany as part of a cloak and dagger mission to steal a formula before planning an escape back to the West.,https://www.imdb.com/title/tt0061107/?ref_=sr_i_49,,,
50. How to Steal a Million,1966,2h 3m,Approved,7.5,30K,,The daughter of an art forger teams up with a burglar to steal one of her father's forgeries and protect his secret.,https://www.imdb.com/title/tt0060522/?ref_=sr_i_50,,,
